DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
67511.0,0.26904602200341476,DR,K-LL,81
67199.0,0.5094068277897326,DR,K-LL,82
67258.0,0.2668937082968259,DR,K-LL,82
70684.0,7.248299802122784e-06,TR,KL-LLL,82
70773.0,1.6630999590433367e-06,TR,KL-LLL,82
71142.0,1.6947999018850235e-05,TR,KL-LLL,82
71369.0,2.8295991792505364e-05,TR,KL-LLL,82
66900.0,0.9453478103234836,DR,K-LL,83
66974.0,0.49620346354130174,DR,K-LL,83
67012.0,0.1635315412140924,DR,K-LL,83
70416.0,1.7580999997679808e-07,TR,KL-LLL,83
70427.0,1.6910999723364353e-05,TR,KL-LLL,83
70457.0,2.7896999999035714e-08,TR,KL-LLL,83
70536.0,2.0446999629411765e-05,TR,KL-LLL,83
70758.0,3.0149999999941767e-09,TR,KL-LLL,83
70862.0,1.968099975325877e-05,TR,KL-LLL,83
70930.0,3.406299868921833e-05,TR,KL-LLL,83
71054.0,0.000127469986768343,TR,KL-LLL,83
74019.0,1.0324999999798282e-08,QR,KLL-LLLL,83
74333.0,3.5621999999068065e-08,QR,KLL-LLLL,83
74354.0,1.4451999999652147e-08,QR,KLL-LLLL,83
74588.0,7.795299998973742e-08,QR,KLL-LLLL,83
74909.0,1.4561999997157085e-07,QR,KLL-LLLL,83
63213.0,1.2660796565548518,DR,K-LL,84
63273.0,1.214662106272739,DR,K-LL,84
66714.0,0.5628926960410033,DR,K-LL,84
66724.0,0.39970294413408375,DR,K-LL,84
66767.0,0.1943739447164183,DR,K-LL,84
66818.0,0.12824349715775757,DR,K-LL,84
66848.0,0.33201079015588947,DR,K-LL,84
66909.0,0.04264222323892609,DR,K-LL,84
66970.0,0.0,TR,KL-LLL,84
67095.0,2.5677999992722865e-07,TR,KL-LLL,84
67142.0,4.090599594966248e-05,TR,KL-LLL,84
67188.0,1.7563999995108449e-07,TR,KL-LLL,84
67293.0,8.284499998867277e-08,TR,KL-LLL,84
67372.0,0.00028006944298350874,TR,KL-LLL,84
70339.0,7.83499998287961e-07,TR,KL-LLL,84
70398.0,1.7531999369442688e-05,TR,KL-LLL,84
70549.0,0.0,TR,KL-LLL,84
70551.0,3.877399997053823e-07,TR,KL-LLL,84
70637.0,2.9963999838191608e-06,TR,KL-LLL,84
70666.0,2.6207999096137905e-05,TR,KL-LLL,84
70704.0,1.091399941671022e-05,TR,KL-LLL,84
70723.0,2.9488998487824644e-05,TR,KL-LLL,84
70865.0,7.317899163054932e-05,TR,KL-LLL,84
70876.0,5.544198956282644e-05,TR,KL-LLL,84
71096.0,1.1491999997963881e-07,QR,KLL-LLLL,84
71155.0,1.9590999999420153e-08,QR,KLL-LLLL,84
74231.0,1.8989999999100875e-08,QR,KLL-LLLL,84
74459.0,4.6046999983530995e-08,QR,KLL-LLLL,84
74644.0,1.1206999997544276e-07,QR,KLL-LLLL,84
74735.0,3.7734999989088317e-08,QR,KLL-LLLL,84
59423.0,0.5313592895936488,DR,K-LL,85
62946.0,2.4641152979449887,DR,K-LL,85
62958.0,0.3054502165750429,DR,K-LL,85
62989.0,0.01952637419627322,DR,K-LL,85
63069.0,2.1970706112568625,DR,K-LL,85
