DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
16556.0,1.0706580420062997,DR,K-LL,39
16405.0,2.2476763133010156,DR,K-LL,40
16431.0,1.309180091587749,DR,K-LL,40
16611.0,2.5280967431253056e-05,TR,KL-LLL,40
16613.0,0.009107203372749293,TR,KL-LLL,40
16808.0,0.001031587733429792,TR,KL-LLL,40
16873.0,0.001861480739201689,TR,KL-LLL,40
16255.0,4.379935087162538,DR,K-LL,41
16290.0,2.7404504706312878,DR,K-LL,41
16300.0,1.228731398707926,DR,K-LL,41
16455.0,0.01577394222533232,TR,KL-LLL,41
16470.0,0.0022364881096487814,TR,KL-LLL,41
16481.0,0.0068600030369447024,TR,KL-LLL,41
16495.0,0.018244238389790002,TR,KL-LLL,41
16611.0,5.1158999999447845e-09,TR,KL-LLL,41
16650.0,0.0012742962377705318,TR,KL-LLL,41
16684.0,0.0021694818032038264,TR,KL-LLL,41
16686.0,1.5266998682413496e-05,QR,KLL-LLLL,41
16706.0,0.009651561786035531,TR,KL-LLL,41
16830.0,4.642598897138066e-05,QR,KLL-LLLL,41
16856.0,0.00020108990921749518,QR,KLL-LLLL,41
16909.0,1.9968997776172017e-05,QR,KLL-LLLL,41
17083.0,6.41349821748234e-05,QR,KLL-LLLL,41
15935.0,4.0000049128420105,DR,K-LL,42
15966.0,3.449154041005749,DR,K-LL,42
16119.0,2.680127969803159,DR,K-LL,42
16137.0,2.646824696888234,DR,K-LL,42
16153.0,1.0145825920923337,DR,K-LL,42
16171.0,1.8417565348304166,DR,K-LL,42
16175.0,0.36293038673485034,DR,K-LL,42
16176.0,1.0903546389742127,DR,K-LL,42
16234.0,0.0,TR,KL-LLL,42
16288.0,3.676399439033311e-05,TR,KL-LLL,42
16305.0,0.002049060197445622,TR,KL-LLL,42
16332.0,0.0001577198598474364,TR,KL-LLL,42
16345.0,1.0161999948484264e-06,TR,KL-LLL,42
16351.0,0.00621298746391084,TR,KL-LLL,42
