DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
1337.2,0.032517233412804526,DR,K-LL,5
1311.8,0.009563714362041155,DR,K-LL,6
1312.2,0.005032164095292826,DR,K-LL,6
1312.5,0.0013204271608671918,DR,K-LL,6
1318.8,0.006023181202358694,DR,K-LL,6
1354.4,4.614544979616399e-05,TR,KL-LLL,6
1365.0,8.117800406572007e-05,TR,KL-LLL,6
1272.7,8.627800509290246,DR,K-LL,7
1273.2,2.563297484927645,TR,KL-LLL,7
1273.4,2.084044303095609,QR,KLL-LLLL,7
1282.4,0.004945359687694554,TR,KL-LLL,7
1282.5,0.7307268977527346,DR,K-LL,7
1284.1000000000001,11.125140258199547,TR,KL-LLL,7
1284.5,1.9870139591971105,TR,KL-LLL,7
1287.8,0.00018265602539359796,DR,K-LL,7
1308.5,0.0,TR,KL-LLL,7
1308.8,0.07341276407298812,QR,KLL-LLLL,7
1309.1,0.015223438536188391,QR,KLL-LLLL,7
1322.4,0.058758653161192755,TR,KL-LLL,7
1322.6,0.10001171048558977,QR,KLL-LLLL,7
1331.8,0.018835153203503024,TR,KL-LLL,7
1332.0,0.020894358897620566,TR,KL-LLL,7
1368.0,6.557760739716833e-05,QR,KLL-LLLL,7
1231.3,0.004174754840600832,DR,K-LL,8
1244.3,5.575168196648853,DR,K-LL,8
1244.3999999999999,2.8264123792442786,DR,K-LL,8
1244.4,4.582112409998777,DR,K-LL,8
1247.3999999999999,2.090115495335284,DR,K-LL,8
1247.9,4.40584866357166,TR,KL-LLL,8
1248.0,0.9067726928647513,DR,K-LL,8
1248.1000000000001,3.4891524820579676,DR,K-LL,8
1252.5,9.298250217593809,DR,K-LL,8
1256.1000000000001,5.379478264571073,TR,KL-LLL,8
1259.4,0.0,TR,KL-LLL,8
1259.8,7.000499069360544e-07,TR,KL-LLL,8
1260.0,2.4929803273372502e-05,QR,KLL-LLLL,8
1278.0,0.021711661024003372,TR,KL-LLL,8
1278.3999999999999,0.02559123497948316,TR,KL-LLL,8
