DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
79499.0,0.2150553521722086,DR,K-LL,87
79164.0,0.40372840898393936,DR,K-LL,88
79227.0,0.206409159760987,DR,K-LL,88
83961.0,2.9352999706032604e-06,TR,KL-LLL,88
84083.0,1.0088999864287955e-06,TR,KL-LLL,88
84456.0,9.684699709762459e-06,TR,KL-LLL,88
84727.0,1.599099762328468e-05,TR,KL-LLL,88
78843.0,0.7655870651956863,DR,K-LL,89
78923.0,0.385930191966247,DR,K-LL,89
78967.0,0.11437862777818486,DR,K-LL,89
83679.0,4.379499998692633e-07,TR,KL-LLL,89
83697.0,6.971899959703977e-06,TR,KL-LLL,89
83727.0,7.844099999309395e-08,TR,KL-LLL,89
83832.0,9.214499928241416e-06,TR,KL-LLL,89
84047.0,2.551699999996209e-09,TR,KL-LLL,89
84161.0,1.1613999921985481e-05,TR,KL-LLL,89
84236.0,2.0025999588903243e-05,TR,KL-LLL,89
84394.0,7.096499628195645e-05,TR,KL-LLL,89
88636.0,5.176399999953859e-09,QR,KLL-LLLL,89
88951.0,1.3019999999886238e-08,QR,KLL-LLLL,89
88990.0,7.69219999991064e-09,QR,KLL-LLLL,89
89264.0,4.654799999665486e-08,QR,KLL-LLLL,89
89585.0,7.751199999264025e-08,QR,KLL-LLLL,89
73836.0,1.0769005082441203,DR,K-LL,90
73900.0,1.1020107956967267,DR,K-LL,90
78661.0,0.4553316559625972,DR,K-LL,90
78679.0,0.313212440575545,DR,K-LL,90
78722.0,0.1511840195386894,DR,K-LL,90
78778.0,0.08935064921792876,DR,K-LL,90
78828.0,0.2652655552075373,DR,K-LL,90
78902.0,0.029682269591051857,DR,K-LL,90
78935.0,0.0,TR,KL-LLL,90
79072.0,2.052299999579004e-07,TR,KL-LLL,90
79124.0,2.4170998725602728e-05,TR,KL-LLL,90
79174.0,1.6263999996224118e-07,TR,KL-LLL,90
79311.0,5.5804999995374475e-08,TR,KL-LLL,90
79399.0,0.0001976897483629432,TR,KL-LLL,90
83648.0,3.062699997637194e-07,TR,KL-LLL,90
