DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
2492.7,0.23550579454461504,DR,K-LL,10
2452.1,0.09041799702829335,DR,K-LL,11
2453.9,0.03933730307914104,DR,K-LL,11
2455.3,0.008355870008221607,DR,K-LL,11
2464.5,0.04555370289658155,DR,K-LL,11
2519.9,0.0002943606652440197,TR,KL-LLL,11
2536.9,0.0005299506324721984,TR,KL-LLL,11
2393.7,12.302344286200201,DR,K-LL,12
2395.7,2.553924098378901,TR,KL-LLL,12
2396.5,2.2732506079116632,QR,KLL-LLLL,12
2409.2000000000003,2.6610466946786353,DR,K-LL,12
2409.4,0.033216700524986764,TR,KL-LLL,12
2412.7000000000003,7.901119120346833,TR,KL-LLL,12
2413.6,1.5345364176305125,TR,KL-LLL,12
2418.9,0.005722731918694775,QR,KLL-LLLL,12
2449.7,0.0,TR,KL-LLL,12
2451.4,0.04170899881964467,QR,KLL-LLLL,12
2452.7,0.009409107306360768,QR,KLL-LLLL,12
2472.0,0.04166150618448627,TR,KL-LLL,12
2473.1,0.05062972825683491,TR,KL-LLL,12
2484.8,0.02164628722161318,TR,KL-LLL,12
2485.9,0.010026580677645128,QR,KLL-LLLL,12
2541.5,0.0002849368337062721,QR,KLL-LLLL,12
2332.2999999999997,0.05600419436613258,DR,K-LL,13
2351.7,8.305080617606258,DR,K-LL,13
2351.7,7.759260899096005,DR,K-LL,13
2351.7000000000003,5.33833438814535,DR,K-LL,13
2356.6,1.5930351535729015,DR,K-LL,13
2357.9,5.5815767934786,TR,KL-LLL,13
2358.0,1.2996248585536558,DR,K-LL,13
2358.7999999999997,3.2682875620393226,DR,K-LL,13
2364.9,8.370390694294903,DR,K-LL,13
2370.7000000000003,4.759933339631791,TR,KL-LLL,13
2375.4,0.0,TR,KL-LLL,13
2377.2999999999997,4.960797944070562e-06,TR,KL-LLL,13
2378.2000000000003,0.00013063762678390873,QR,KLL-LLLL,13
2403.9,0.021742603849866614,TR,KL-LLL,13
2405.0,0.0,TR,KL-LLL,13
2405.0,0.026983927930244192,TR,KL-LLL,13
2405.7999999999997,0.013109289101768635,TR,KL-LLL,13
2406.4,0.009882336868006915,TR,KL-LLL,13
2406.7,0.00880745804818672,TR,KL-LLL,13
2418.6,0.08725069463556834,TR,KL-LLL,13
2423.1,0.022594462212665294,TR,KL-LLL,13
2425.2000000000003,0.17312367122654473,TR,KL-LLL,13
2426.6,0.10172898313593765,TR,KL-LLL,13
2426.7,0.08943491522787762,TR,KL-LLL,13
2435.9,0.042081661646463174,TR,KL-LLL,13
2437.6,0.06500305677509013,QR,KLL-LLLL,13
2467.7,7.293997676344134e-06,QR,KLL-LLLL,13
2469.7,0.005356436676362095,QR,KLL-LLLL,13
2471.2,0.0032247277525958573,QR,KLL-LLLL,13
2481.4,0.004364023057738612,QR,KLL-LLLL,13
2291.6,0.14178763380041642,DR,K-LL,14
2293.0,0.03732041518451749,DR,K-LL,14
2294.4,0.49894461760501657,DR,K-LL,14
2297.9,0.0,TR,KL-LLL,14
2309.2999999999997,16.674294207291986,DR,K-LL,14
2309.4,22.801425841019046,DR,K-LL,14
2311.7,1.3376749213747239,DR,K-LL,14
2314.7999999999997,3.699871797395007,DR,K-LL,14
2318.6,7.438783707926919,DR,K-LL,14
2331.8,3.088199999996873e-11,TR,KL-LLL,14
2331.9,0.0011507365507912892,TR,KL-LLL,14
2332.0,0.0011942605346061106,TR,KL-LLL,14
2334.4,0.0009842783399374756,TR,KL-LLL,14
2341.3,2.6771999999776163e-10,TR,KL-LLL,14
2341.5,0.00029237613807011156,TR,KL-LLL,14
2341.5,3.222690154935443e-05,TR,KL-LLL,14
2355.5,0.017248896348794132,TR,KL-LLL,14
2355.8,7.559599993534282e-08,TR,KL-LLL,14
2361.4,0.029853133557395457,TR,KL-LLL,14
2364.6,0.03676511097828057,TR,KL-LLL,14
2364.9,0.021243004640146796,TR,KL-LLL,14
2367.7,1.495299999378166e-08,TR,KL-LLL,14
2368.7999999999997,1.4505993081772676e-05,TR,KL-LLL,14
2376.4,0.4439608015466475,TR,KL-LLL,14
2377.4,1.0869616373430107,TR,KL-LLL,14
2380.0,0.13197923316300456,TR,KL-LLL,14
2389.8,0.00011676953980553754,QR,KLL-LLLL,14
2391.9,1.8330983022490457e-05,QR,KLL-LLLL,14
2392.8,0.0006211810002768045,QR,KLL-LLLL,14
2406.7,0.0018212258666910122,QR,KLL-LLLL,14
2406.8,0.003168930952778075,QR,KLL-LLLL,14
2410.7999999999997,0.0003506484093888614,QR,KLL-LLLL,14
2412.1,0.0010708719351655786,QR,KLL-LLLL,14
2426.6,0.053194990487063165,QR,KLL-LLLL,14
2220.5,0.1343060511631996,DR,K-LL,15
2221.1,0.6185773434693213,DR,K-LL,15
2223.5,0.7195623249993633,DR,K-LL,15
2227.3,0.01817968377305156,DR,K-LL,15
2228.6,0.014245200293043879,DR,K-LL,15
