DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
60384.0,0.3107085566724489,DR,K-LL,77
60088.0,0.5916767648116038,DR,K-LL,78
60143.0,0.3145496739690859,DR,K-LL,78
62885.0,1.3559999254409823e-05,TR,KL-LLL,78
62957.0,2.33279991290361e-06,TR,KL-LLL,78
63317.0,2.466999776079724e-05,TR,KL-LLL,78
63519.0,4.1503980992163755e-05,TR,KL-LLL,78
59803.0,1.0904049067968213,DR,K-LL,79
59874.0,0.5863287234395229,DR,K-LL,79
59908.0,0.20380867757742013,DR,K-LL,79
62628.0,7.538499999954143e-09,TR,KL-LLL,79
62635.0,3.043099899537691e-05,TR,KL-LLL,79
62666.0,5.022999996631941e-07,TR,KL-LLL,79
62731.0,3.611499879786452e-05,TR,KL-LLL,79
62950.0,3.337499999992331e-09,TR,KL-LLL,79
63047.0,2.8423999446292917e-05,TR,KL-LLL,79
63111.0,4.9225997054631895e-05,TR,KL-LLL,79
63217.0,0.00018930996858483565,TR,KL-LLL,79
65522.0,1.9075999999261177e-08,QR,KLL-LLLL,79
65829.0,7.112799999602163e-08,QR,KLL-LLLL,79
65839.0,2.327399999902923e-08,QR,KLL-LLLL,79
66051.0,1.121499999772566e-07,QR,KLL-LLLL,79
66365.0,2.1022999993651186e-07,QR,KLL-LLLL,79
56809.0,1.4187074244332596,DR,K-LL,80
56867.0,1.3104141046528466,DR,K-LL,80
59617.0,0.649944493752501,DR,K-LL,80
59622.0,0.4706509731933276,DR,K-LL,80
59666.0,0.22965033727634981,DR,K-LL,80
59714.0,0.1603714677624355,DR,K-LL,80
59734.0,0.38708209949961503,DR,K-LL,80
59788.0,0.05335590240030028,DR,K-LL,80
59858.0,0.0,TR,KL-LLL,80
59976.0,3.096199998860203e-07,TR,KL-LLL,80
60019.0,5.907899086677155e-05,TR,KL-LLL,80
60063.0,1.4952999996166304e-07,TR,KL-LLL,80
60151.0,1.058999999799844e-07,TR,KL-LLL,80
60225.0,0.0003611690034109307,TR,KL-LLL,80
62529.0,2.0046999879295785e-06,TR,KL-LLL,80
62586.0,3.0593997930903606e-05,TR,KL-LLL,80
62733.0,7.949699986356058e-07,TR,KL-LLL,80
62738.0,0.0,TR,KL-LLL,80
62816.0,3.998599968875713e-06,TR,KL-LLL,80
62845.0,3.7131998081056944e-05,TR,KL-LLL,80
62882.0,1.5821998681676473e-05,TR,KL-LLL,80
62898.0,4.4044996372534386e-05,TR,KL-LLL,80
63019.0,0.00011041997942646838,TR,KL-LLL,80
63027.0,8.22769753612357e-05,TR,KL-LLL,80
63247.0,1.6328999995585937e-07,QR,KLL-LLLL,80
63303.0,4.3026999996990266e-08,QR,KLL-LLLL,80
65702.0,3.838299999606632e-08,QR,KLL-LLLL,80
65905.0,6.694999996251055e-08,QR,KLL-LLLL,80
66096.0,1.8043999993185143e-07,QR,KLL-LLLL,80
66169.0,6.0706999969647e-08,QR,KLL-LLLL,80
53731.0,0.5580702605581603,DR,K-LL,81
56555.0,2.7614190894452624,DR,K-LL,81
56564.0,0.2387660880809258,DR,K-LL,81
56595.0,0.018879365878024627,DR,K-LL,81
56661.0,2.470241528058654,DR,K-LL,81
56747.0,1.143499999998265e-09,TR,KL-LLL,81
56848.0,0.0023020952051953096,TR,KL-LLL,81
56913.0,0.005193057252557566,TR,KL-LLL,81
57020.0,0.029784791981364914,TR,KL-LLL,81
59450.0,1.1726921154956476,DR,K-LL,81
59521.0,0.6232679595586502,DR,K-LL,81
59557.0,0.22290361956925853,DR,K-LL,81
59573.0,6.135699999940087e-09,TR,KL-LLL,81
59675.0,1.0633999910925389e-05,TR,KL-LLL,81
59712.0,1.6576999999981165e-09,TR,KL-LLL,81
59736.0,0.00014852997490637958,TR,KL-LLL,81
59750.0,4.6478999389053296e-06,TR,KL-LLL,81
59766.0,2.103499993783175e-06,TR,KL-LLL,81
59784.0,5.1700999790920275e-06,TR,KL-LLL,81
59886.0,5.478599999725266e-08,TR,KL-LLL,81
59897.0,2.0921999999083028e-08,TR,KL-LLL,81
59963.0,0.0007029786291938948,TR,KL-LLL,81
60040.0,7.820399382478581e-05,QR,KLL-LLLL,81
60112.0,3.323299929507197e-05,QR,KLL-LLLL,81
60151.0,0.00010308997925129678,QR,KLL-LLLL,81
62539.0,4.3209999999977096e-10,TR,KL-LLL,81
62638.0,3.3136998947637265e-05,TR,KL-LLL,81
62704.0,6.144499387515236e-05,TR,KL-LLL,81
62809.0,0.00022003992803389845,TR,KL-LLL,81
62915.0,1.4619999998294952e-07,QR,KLL-LLLL,81
62923.0,2.1214999995182898e-07,QR,KLL-LLLL,81
62954.0,1.5291999999969234e-09,QR,KLL-LLLL,81
63021.0,6.666999999596761e-08,QR,KLL-LLLL,81
65879.0,2.7065999985305457e-07,QR,KLL-LLLL,81
53244.0,1.3166456292001816,DR,K-LL,82
53319.0,0.1513680407786461,DR,K-LL,82
53417.0,0.2344095191006616,DR,K-LL,82
53626.0,0.07995587716372957,DR,K-LL,82
56162.0,0.9370569062463376,DR,K-LL,82
56220.0,0.23711275788338187,DR,K-LL,82
56237.0,0.057447418245899495,DR,K-LL,82
56242.0,1.6503024040866614,DR,K-LL,82
56325.0,0.09632041995047654,DR,K-LL,82
56352.0,1.5192832348496288,DR,K-LL,82
56393.0,0.003246524313408189,DR,K-LL,82
56407.0,0.8629742857406997,DR,K-LL,82
56528.0,1.394549498968744,DR,K-LL,82
56537.0,0.13556609036114142,DR,K-LL,82
56628.0,0.027934526982413596,TR,KL-LLL,82
