DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
23836.0,0.8213063569979759,DR,K-LL,48
23651.0,1.6641765228561716,DR,K-LL,49
23683.0,0.9556903072111991,DR,K-LL,49
24084.0,0.0016958752067400492,TR,KL-LLL,49
24090.0,2.309798110711215e-05,TR,KL-LLL,49
24329.0,0.0004254785479116652,TR,KL-LLL,49
24415.0,0.0007575562387523822,TR,KL-LLL,49
23470.0,3.0730309895623256,DR,K-LL,50
23513.0,1.8799534663501016,DR,K-LL,50
23527.0,0.8168479185954518,DR,K-LL,50
23900.0,0.0026563789042773397,TR,KL-LLL,50
23913.0,0.0003470197953721944,TR,KL-LLL,50
23929.0,0.0009306974759665154,TR,KL-LLL,50
23948.0,0.003597978602683014,TR,KL-LLL,50
24090.0,5.020399999962773e-09,TR,KL-LLL,50
24143.0,0.00046724966510276896,TR,KL-LLL,50
24183.0,0.0008602680439392058,TR,KL-LLL,50
24215.0,0.003815772895370468,TR,KL-LLL,50
24364.0,1.9673999839494156e-06,QR,KLL-LLLL,50
24543.0,4.274499931115941e-06,QR,KLL-LLLL,50
24566.0,2.097999929029239e-05,QR,KLL-LLLL,50
24646.0,3.441399954444446e-06,QR,KLL-LLLL,50
24856.0,1.453899935781171e-05,QR,KLL-LLLL,50
22903.0,3.229385528055563,DR,K-LL,51
22940.0,2.5809621553440163,DR,K-LL,51
23313.0,1.6146021136629152,DR,K-LL,51
23330.0,1.8492413483379377,DR,K-LL,51
23352.0,0.7196863793177908,DR,K-LL,51
23376.0,1.2248327088813304,DR,K-LL,51
23380.0,0.6850153659670124,DR,K-LL,51
23387.0,0.228181181662401,DR,K-LL,51
23456.0,0.0,TR,KL-LLL,51
23524.0,7.676699842693812e-06,TR,KL-LLL,51
23548.0,0.0009561244511405774,TR,KL-LLL,51
23577.0,1.687199890019848e-05,TR,KL-LLL,51
23599.0,7.574899978144674e-07,TR,KL-LLL,51
23639.0,0.003522702827887685,TR,KL-LLL,51
23781.0,0.0009187948602021905,TR,KL-LLL,51
23814.0,0.0026922660117630094,TR,KL-LLL,51
23898.0,3.8974992685497744e-05,TR,KL-LLL,51
23927.0,0.0,TR,KL-LLL,51
