DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
57050.0,0.333528788660048,DR,K-LL,75
56762.0,0.6369650751322681,DR,K-LL,76
56816.0,0.3409694921742256,DR,K-LL,76
59263.0,1.8680998528127723e-05,TR,KL-LLL,76
59327.0,2.7539998734952954e-06,TR,KL-LLL,76
59680.0,2.9811996597630494e-05,TR,KL-LLL,76
59870.0,5.03459709052136e-05,TR,KL-LLL,76
56485.0,1.1703659357259895,DR,K-LL,77
56553.0,0.6365181207266943,DR,K-LL,77
56586.0,0.22653529565038844,DR,K-LL,77
59011.0,2.2327999999581923e-08,TR,KL-LLL,77
59016.0,4.0736998087317734e-05,TR,KL-LLL,77
59047.0,1.1711999980947952e-06,TR,KL-LLL,77
59106.0,4.8302997801604775e-05,TR,KL-LLL,77
59321.0,3.49479999999126e-09,TR,KL-LLL,77
59415.0,3.3995999176187185e-05,TR,KL-LLL,77
59478.0,5.93069955539404e-05,TR,KL-LLL,77
59575.0,0.00023104995132820262,TR,KL-LLL,77
61599.0,2.4826999998700732e-08,QR,KLL-LLLL,77
61900.0,1.0125999999163623e-07,QR,KLL-LLLL,77
61906.0,3.011599999830971e-08,QR,KLL-LLLL,77
62107.0,1.3566999996546662e-07,QR,KLL-LLLL,77
62416.0,2.684599998925488e-07,QR,KLL-LLLL,77
53791.0,1.5016371762201441,DR,K-LL,78
53847.0,1.362351574336619,DR,K-LL,78
56300.0,0.6979247024677369,DR,K-LL,78
56303.0,0.5102352136513346,DR,K-LL,78
56346.0,0.24925764747407064,DR,K-LL,78
56393.0,0.17860853451279382,DR,K-LL,78
56409.0,0.41789688296523114,DR,K-LL,78
56459.0,0.059435457900424,DR,K-LL,78
56532.0,0.0,TR,KL-LLL,78
56646.0,3.448199998528997e-07,TR,KL-LLL,78
56688.0,7.113398619827411e-05,TR,KL-LLL,78
56731.0,1.9041999993518137e-07,TR,KL-LLL,78
56811.0,1.2077999997286331e-07,TR,KL-LLL,78
56882.0,0.00041246864853585223,TR,KL-LLL,78
58904.0,3.2302999674165884e-06,TR,KL-LLL,78
58958.0,4.065999619701952e-05,TR,KL-LLL,78
59102.0,1.1138999971864977e-06,TR,KL-LLL,78
59110.0,0.0,TR,KL-LLL,78
