DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
83884.0,0.19904888746782917,DR,K-LL,89
83541.0,0.37264385907222125,DR,K-LL,90
83606.0,0.18883020725985059,DR,K-LL,90
88867.0,2.200299983965727e-06,TR,KL-LLL,90
89002.0,8.525299906131396e-07,TR,KL-LLL,90
89371.0,8.038699805874345e-06,TR,KL-LLL,90
89659.0,1.3224998421339034e-05,TR,KL-LLL,90
83213.0,0.7106181274709287,DR,K-LL,91
83294.0,0.35311528207098375,DR,K-LL,91
83340.0,0.10048401329650072,DR,K-LL,91
88581.0,4.922799998395425e-07,TR,KL-LLL,91
88600.0,5.145399979046069e-06,TR,KL-LLL,91
88630.0,1.4453999997723773e-07,TR,KL-LLL,91
88746.0,7.134799957556653e-06,TR,KL-LLL,91
88953.0,2.3867999999967765e-09,TR,KL-LLL,91
89071.0,9.652199947641298e-06,TR,KL-LLL,91
89148.0,1.6741999720899632e-05,TR,KL-LLL,91
89320.0,5.833899755988011e-05,TR,KL-LLL,91
94082.0,4.082599999972104e-09,QR,KLL-LLLL,91
94393.0,9.36649999994268e-09,QR,KLL-LLLL,91
94440.0,6.341799999941017e-09,QR,KLL-LLLL,91
94729.0,3.935799999767093e-08,QR,KLL-LLLL,91
95045.0,6.395499999512103e-08,QR,KLL-LLLL,91
77676.0,1.0170108182756679,DR,K-LL,92
77742.0,1.0642171801805578,DR,K-LL,92
83034.0,0.4224259829490074,DR,K-LL,92
83054.0,0.2873220359885368,DR,K-LL,92
83097.0,0.13830083492485518,DR,K-LL,92
83155.0,0.078405816014376,DR,K-LL,92
83214.0,0.24528135438778018,DR,K-LL,92
83292.0,0.026038024246333707,DR,K-LL,92
83310.0,0.0,TR,KL-LLL,92
83452.0,1.9189999996427137e-07,TR,KL-LLL,92
83506.0,2.020199913728194e-05,TR,KL-LLL,92
83556.0,1.588899999650898e-07,TR,KL-LLL,92
83707.0,4.844099999662424e-08,TR,KL-LLL,92
83798.0,0.00017699980415649346,TR,KL-LLL,92
88569.0,2.77539999812008e-07,TR,KL-LLL,92
88635.0,5.998799935294239e-06,TR,KL-LLL,92
88761.0,0.0,TR,KL-LLL,92
88781.0,3.63929999978537e-08,TR,KL-LLL,92
88873.0,1.9115999942364148e-06,TR,KL-LLL,92
88904.0,1.3274999786128725e-05,TR,KL-LLL,92
88941.0,5.172099884516531e-06,TR,KL-LLL,92
88971.0,1.3462999722248687e-05,TR,KL-LLL,92
89163.0,3.265299853975596e-05,TR,KL-LLL,92
89185.0,2.551599804259314e-05,TR,KL-LLL,92
89381.0,5.8094999995392384e-08,QR,KLL-LLLL,92
89447.0,4.948199999967389e-09,QR,KLL-LLLL,92
94365.0,4.882399999947255e-09,QR,KLL-LLLL,92
94656.0,2.3997999996062327e-08,QR,KLL-LLLL,92
94804.0,4.862999999588386e-08,QR,KLL-LLLL,92
94941.0,1.638999999818248e-08,QR,KLL-LLLL,92
