DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
9126.9,1.3004804777879269,DR,K-LL,27
9021.2,2.690739248448101,DR,K-LL,28
9037.0,1.5256752458634337,DR,K-LL,28
9079.4,0.0004667289187890633,TR,KL-LLL,28
9086.6,0.0993413379695374,TR,KL-LLL,28
9221.5,0.002584353709517941,TR,KL-LLL,28
9263.3,0.00471754768465206,TR,KL-LLL,28
8910.3,7.35044392725889,DR,K-LL,29
8933.4,4.3017007657140125,DR,K-LL,29
8937.5,1.9524711100403906,DR,K-LL,29
8969.1,0.39775858393036,TR,KL-LLL,29
8982.0,0.023033756656471237,TR,KL-LLL,29
8987.300000000001,0.13744534855620086,TR,KL-LLL,29
8995.699999999999,0.20979035847886257,TR,KL-LLL,29
9048.1,0.0005057775830565633,QR,KLL-LLLL,29
9078.1,4.6622999999138346e-09,TR,KL-LLL,29
9098.300000000001,0.005585739427400564,TR,KL-LLL,29
9118.800000000001,0.0053194377133275956,TR,KL-LLL,29
9138.4,0.025143470242208144,TR,KL-LLL,29
9154.800000000001,0.0023221615508237166,QR,KLL-LLLL,29
9178.1,0.004689005219084265,QR,KLL-LLLL,29
9201.1,0.00027568915292832324,QR,KLL-LLLL,29
9327.0,0.0003455090264767858,QR,KLL-LLLL,29
8758.2,3.443130636301023,DR,K-LL,30
8785.300000000001,5.568470523628314,DR,K-LL,30
8810.9,6.6918003726193795,DR,K-LL,30
8823.1,4.478792853402171,DR,K-LL,30
8833.300000000001,1.4540436108981214,DR,K-LL,30
8843.7,0.7028238914923453,DR,K-LL,30
8844.9,3.462348193191083,DR,K-LL,30
8847.800000000001,2.076196520032497,DR,K-LL,30
8885.8,0.0,TR,KL-LLL,30
8889.0,0.1271743570713147,TR,KL-LLL,30
8905.800000000001,0.1765804762718652,TR,KL-LLL,30
8914.1,0.00012415980348010796,TR,KL-LLL,30
8922.699999999999,0.0024092594758524486,TR,KL-LLL,30
8954.300000000001,0.001736067336958346,TR,KL-LLL,30
8954.9,0.0004465488136217497,TR,KL-LLL,30
8972.699999999999,0.0014575765297689927,TR,KL-LLL,30
8980.0,0.0,TR,KL-LLL,30
8980.8,0.01625011764679563,TR,KL-LLL,30
8988.0,0.002791912795580866,TR,KL-LLL,30
9007.4,0.0022150593913724936,TR,KL-LLL,30
9015.9,0.023428853527661313,TR,KL-LLL,30
9020.3,0.014924211294007934,TR,KL-LLL,30
9032.6,0.010089665771993437,TR,KL-LLL,30
9033.4,0.033045360796114275,TR,KL-LLL,30
9072.4,0.0030776916361128443,QR,KLL-LLLL,30
9098.6,0.0004985167646250344,QR,KLL-LLLL,30
9125.2,3.5062998841844217e-06,QR,KLL-LLLL,30
9141.699999999999,3.907398337900004e-05,QR,KLL-LLLL,30
9184.9,0.0002495270744967505,QR,KLL-LLLL,30
9192.6,0.000720654881053255,QR,KLL-LLLL,30
8613.7,1.2701567718293427,DR,K-LL,31
8656.3,0.18228100879103037,DR,K-LL,31
8667.5,8.690386146980504,DR,K-LL,31
8683.4,0.33791093745710565,DR,K-LL,31
8689.4,11.737910002663341,DR,K-LL,31
8699.3,2.4905999997774223e-09,TR,KL-LLL,31
8724.7,13.376578293652232,DR,K-LL,31
8747.2,4.954536921766445,DR,K-LL,31
8752.6,0.006071384625068468,TR,KL-LLL,31
8755.4,3.5165627776847157,DR,K-LL,31
8764.0,0.014336662354988098,TR,KL-LLL,31
8770.1,5.4614999997725326e-09,TR,KL-LLL,31
8781.300000000001,0.06748440565271446,TR,KL-LLL,31
8806.5,0.03518309599560696,TR,KL-LLL,31
8812.199999999999,0.00018171934082819897,TR,KL-LLL,31
8816.2,3.859299999351301e-08,TR,KL-LLL,31
8827.699999999999,0.04739656858591985,TR,KL-LLL,31
8842.9,0.011968879515579723,TR,KL-LLL,31
8848.4,3.1250999959999095e-07,TR,KL-LLL,31
8849.1,0.002076969859153165,TR,KL-LLL,31
8849.699999999999,0.0006573275453807068,TR,KL-LLL,31
8873.2,0.0720879090716294,TR,KL-LLL,31
8874.3,7.3376999997197715e-09,TR,KL-LLL,31
8897.3,0.01122737829541892,TR,KL-LLL,31
8915.1,0.00012577989612019873,QR,KLL-LLLL,31
8922.1,0.10640463525823664,TR,KL-LLL,31
8922.5,0.026064789758899448,TR,KL-LLL,31
8939.2,5.756999983846239e-07,QR,KLL-LLLL,31
8948.1,0.004086441875408072,QR,KLL-LLLL,31
8975.4,5.634899811589273e-06,QR,KLL-LLLL,31
8988.6,0.00011615994525996629,QR,KLL-LLLL,31
8996.0,0.0006338472349758596,QR,KLL-LLLL,31
9003.0,0.00026450972765645637,QR,KLL-LLLL,31
9065.6,0.002473341502386758,QR,KLL-LLLL,31
8455.8,0.20004547012687457,DR,K-LL,32
8458.5,2.5584644231725555,DR,K-LL,32
8492.3,0.35571409266955467,DR,K-LL,32
8511.0,1.5748502214100708,DR,K-LL,32
8527.3,0.1939826960979499,DR,K-LL,32
8534.0,0.6028443607489224,DR,K-LL,32
8543.9,3.051892331987291,DR,K-LL,32
8553.0,0.18181234372621022,DR,K-LL,32
8578.3,1.469279505641791,DR,K-LL,32
8586.8,7.758546688667194,DR,K-LL,32
8599.1,4.918866190503576,DR,K-LL,32
8610.3,0.04137231579584735,DR,K-LL,32
8614.6,0.39322884797399993,DR,K-LL,32
8614.8,10.671008571473878,DR,K-LL,32
8615.5,5.662581648432815,DR,K-LL,32
8651.5,4.706361220094728,DR,K-LL,32
8655.5,0.09507022788385047,TR,KL-LLL,32
8665.7,1.6775910684575457,DR,K-LL,32
8681.3,3.5287345245486166,DR,K-LL,32
8685.2,0.030011227404912418,TR,KL-LLL,32
8686.7,0.611844196594373,DR,K-LL,32
8705.8,0.6833968893795129,DR,K-LL,32
8708.0,0.02522797442272723,TR,KL-LLL,32
8730.1,0.0007354246320422998,TR,KL-LLL,32
8742.6,0.008024841163910397,TR,KL-LLL,32
8750.7,0.021470666892477317,TR,KL-LLL,32
8754.6,0.043801653437428444,TR,KL-LLL,32
8794.6,0.0577694440171694,TR,KL-LLL,32
8813.4,0.007306132153931913,TR,KL-LLL,32
8329.2,2.4041141479263084,DR,K-LL,33
8346.2,0.014707292921102231,DR,K-LL,33
8355.3,0.4296190161571705,DR,K-LL,33
8401.9,0.0,DR,K-LL,33
8405.6,4.007842479092953,DR,K-LL,33
8436.4,0.08401338032450736,DR,K-LL,33
8446.2,0.39707535568922664,DR,K-LL,33
8467.0,3.629098472582405,DR,K-LL,33
8475.1,3.0683978843813264,DR,K-LL,33
8476.1,0.21527151132779648,DR,K-LL,33
8487.8,9.960901453702014,DR,K-LL,33
8505.6,0.08861026598685022,DR,K-LL,33
8510.7,13.37450332705216,DR,K-LL,33
8548.7,14.813862026874874,DR,K-LL,33
8572.6,5.5507986069389,DR,K-LL,33
8594.4,1.6343294575975116,DR,K-LL,33
