DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
3053.3,0.3879848935443513,DR,K-LL,12
3006.0,0.18152661207448922,DR,K-LL,13
3008.9,0.07423553141133257,DR,K-LL,13
3011.2,0.01238024857661858,DR,K-LL,13
3021.0,0.07980351045027519,DR,K-LL,13
3084.9,0.0005114084392915674,TR,KL-LLL,13
3104.5,0.0009237418601532246,TR,KL-LLL,13
2940.5,12.512908122129012,DR,K-LL,14
2943.7000000000003,2.5239498543493597,TR,KL-LLL,14
2944.8,2.1811922444716516,TR,KL-LLL,14
2958.4000000000005,3.4562230691605738,DR,K-LL,14
2959.1,0.049087652340353435,TR,KL-LLL,14
2963.0999999999995,5.792206059553613,TR,KL-LLL,14
2963.9,1.3733729818033795,TR,KL-LLL,14
2970.8,0.010239329744838958,QR,KLL-LLLL,14
3005.3,0.0,TR,KL-LLL,14
3008.0,0.03316618937860692,TR,KL-LLL,14
3010.0,0.007958850877540734,QR,KLL-LLLL,14
3031.2000000000003,0.037846626324367125,TR,KL-LLL,14
3032.8,0.0377622133098227,TR,KL-LLL,14
3045.4,0.022624223768578876,TR,KL-LLL,14
3047.2,0.007052993988045033,QR,KLL-LLLL,14
3110.9,0.0004021051464570163,QR,KLL-LLLL,14
2871.0,0.12231576109747333,DR,K-LL,15
2892.7,9.51111868203997,DR,K-LL,15
2892.7000000000003,6.313366271739433,DR,K-LL,15
2893.2,7.8357405893865035,DR,K-LL,15
2898.5,1.0305837445835369,DR,K-LL,15
2900.7,1.3236231794435875,DR,K-LL,15
2900.7000000000003,5.419283782315822,TR,KL-LLL,15
2901.9000000000005,3.1199146624449874,DR,K-LL,15
2908.6,6.735269593087381,DR,K-LL,15
2915.4000000000005,3.8879505038901088,TR,KL-LLL,15
2920.5,0.0,TR,KL-LLL,15
2923.5,9.263194450223265e-06,TR,KL-LLL,15
2925.0,0.00022003479296237103,TR,KL-LLL,15
2953.0,0.016933489348232685,TR,KL-LLL,15
2954.4000000000005,0.02070296460376833,TR,KL-LLL,15
2954.6,0.0,TR,KL-LLL,15
2955.7999999999997,0.009523013506446989,TR,KL-LLL,15
2956.9000000000005,0.006092228377295294,TR,KL-LLL,15
2957.4,0.008373134112101423,TR,KL-LLL,15
2970.0,0.08095963904030257,TR,KL-LLL,15
2974.5999999999995,0.003810839534556524,TR,KL-LLL,15
2977.7000000000003,0.1564542817560032,TR,KL-LLL,15
