DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
2233.6,0.17426553189007765,DR,K-LL,9
2196.2,0.06181434314136874,DR,K-LL,10
2197.6,0.02797088498685297,DR,K-LL,10
2198.7,0.006434146889400622,DR,K-LL,10
2207.4,0.032908872817613885,DR,K-LL,10
2258.8,0.00021584417974015465,TR,KL-LLL,10
2274.4,0.0003880245000946177,TR,KL-LLL,10
2141.5,11.945252125164801,DR,K-LL,11
2143.1,2.5815474355678076,TR,KL-LLL,11
2143.7,2.3031969543334454,QR,KLL-LLLL,11
2155.9,2.2077766455656924,DR,K-LL,11
2155.9,0.025582127205977533,TR,KL-LLL,11
2158.9,8.923735869726327,TR,KL-LLL,11
2159.7,1.6213036568387014,TR,KL-LLL,11
2164.4,0.0035696790355813296,QR,KLL-LLLL,11
2193.3,0.0,TR,KL-LLL,11
2194.6,0.046771767138355735,QR,KLL-LLLL,11
2195.6,0.01029509503776167,QR,KLL-LLLL,11
2213.9,0.044096151927415526,TR,KL-LLL,11
2214.7,0.058388625186898045,QR,KLL-LLLL,11
2226.0,0.021005226484840548,TR,KL-LLL,11
2226.8,0.01180740455508954,QR,KLL-LLLL,11
2278.4,0.0002289876369505818,QR,KLL-LLLL,11
2084.1,0.03629145190757622,DR,K-LL,12
2102.2,7.564304716386784,DR,K-LL,12
2102.2,7.6126038832093235,DR,K-LL,12
2102.2999999999997,4.835766778035341,DR,K-LL,12
2106.8,1.9246171698721104,DR,K-LL,12
2107.7999999999997,5.582637051840063,TR,KL-LLL,12
2108.0,1.2598048498972734,DR,K-LL,12
2108.6,3.376952417848921,DR,K-LL,12
2114.4,9.018977013799256,DR,K-LL,12
2119.6,5.118459999382283,TR,KL-LLL,12
2124.1,0.0,TR,KL-LLL,12
2125.6,3.5804987675909018e-06,TR,KL-LLL,12
2126.2999999999997,9.855644509492867e-05,QR,KLL-LLLL,12
2150.7000000000003,0.023644871157008064,TR,KL-LLL,12
2151.6,0.0,TR,KL-LLL,12
2151.6,0.029814144558059728,TR,KL-LLL,12
2152.2000000000003,0.016280581001640156,TR,KL-LLL,12
2152.6,0.01311943692004319,TR,KL-LLL,12
2152.8,0.00919573833768765,TR,KL-LLL,12
2164.2999999999997,0.09069763194481122,TR,KL-LLL,12
2168.6,0.043200855678820906,TR,KL-LLL,12
2170.5,0.17352372243744588,TR,KL-LLL,12
2171.7000000000003,0.11790773959247781,TR,KL-LLL,12
2171.9,0.0928662174785743,TR,KL-LLL,12
2180.4,0.046499202510492166,TR,KL-LLL,12
2181.8,0.07764180592037477,TR,KL-LLL,12
2210.1,8.417796438067173e-06,QR,KLL-LLLL,12
2211.6,0.006379316929036415,QR,KLL-LLLL,12
2212.7,0.0036990577610897706,QR,KLL-LLLL,12
2222.6,0.0047747706977567875,QR,KLL-LLLL,12
2046.6000000000001,0.11038298453265807,DR,K-LL,13
2047.7,0.029062822468623448,DR,K-LL,13
2048.7,0.3828381172030519,DR,K-LL,13
2051.7000000000003,0.0,TR,KL-LLL,13
2062.8,21.20151816435361,DR,K-LL,13
2062.9,15.32176780361968,DR,K-LL,13
2065.3,1.2177470498483813,DR,K-LL,13
2067.7000000000003,3.1436988208095076,DR,K-LL,13
2071.2,7.125074896180548,DR,K-LL,13
2083.5,0.0,TR,KL-LLL,13
2083.6,0.0008852364717067726,TR,KL-LLL,13
2083.7,0.0008994291631363502,TR,KL-LLL,13
2085.8,0.0007252528233837399,TR,KL-LLL,13
2092.4,1.5565999999913152e-10,TR,KL-LLL,13
2092.5,0.00019830793822336981,TR,KL-LLL,13
2092.6,3.0459899417285e-05,TR,KL-LLL,13
2105.7000000000003,0.013097647432037837,TR,KL-LLL,13
2105.9,6.202199995027253e-08,TR,KL-LLL,13
2111.4,0.024167977653320873,TR,KL-LLL,13
2114.2,0.04530988138929974,TR,KL-LLL,13
2114.4,0.025599038425675347,TR,KL-LLL,13
2117.2,1.1977999995445269e-08,TR,KL-LLL,13
2118.0,6.565398284966301e-06,TR,KL-LLL,13
2125.5,0.5088198413625609,TR,KL-LLL,13
2126.2,1.2030229389223832,TR,KL-LLL,13
2128.4,0.12632081292095299,TR,KL-LLL,13
2137.7,9.913561896999823e-05,QR,KLL-LLLL,13
2139.4,1.532598635616064e-05,QR,KLL-LLLL,13
2140.0,0.0004777634915489393,QR,KLL-LLLL,13
2153.3,0.0036579421530868127,QR,KLL-LLLL,13
2153.4,0.0022044717785611114,QR,KLL-LLLL,13
2157.0,0.00028497881929261614,QR,KLL-LLLL,13
2158.1,0.0008037319697495212,QR,KLL-LLLL,13
2171.8,0.06083968012486614,QR,KLL-LLLL,13
1980.2,0.12264528314535032,DR,K-LL,14
1980.6,0.5098809235737343,DR,K-LL,14
1982.4000000000003,0.6495309872938729,DR,K-LL,14
1986.2,0.012515578840798113,DR,K-LL,14
1987.2,0.010145842246050373,DR,K-LL,14
1988.2,0.032757110863481265,DR,K-LL,14
1994.9,0.2677070309247205,DR,K-LL,14
2015.6,0.01785725671179049,DR,K-LL,14
2015.7,7.228621090320802,DR,K-LL,14
2015.7,11.053961844548414,DR,K-LL,14
2015.8,13.334784194459246,DR,K-LL,14
2016.8,6.575099222576483,DR,K-LL,14
2018.0999999999997,4.665869447789463,DR,K-LL,14
2029.2,4.268563770996566,DR,K-LL,14
2032.9,0.0058968131022190595,TR,KL-LLL,14
2033.9,0.046524690233123764,DR,K-LL,14
2034.2,7.92842706523983,DR,K-LL,14
2035.0,0.3294360823188867,DR,K-LL,14
2036.4000000000003,2.507003924408115,DR,K-LL,14
2046.3,0.037499099282139854,DR,K-LL,14
2048.4,1.4885920382907336,DR,K-LL,14
2052.9,0.016878022343051722,TR,KL-LLL,14
2052.9,0.005858934387267623,TR,KL-LLL,14
2059.0,0.01145458149182344,TR,KL-LLL,14
2064.9,0.38301369828137377,TR,KL-LLL,14
2066.2,0.47446085802344945,TR,KL-LLL,14
2066.3,0.16105075289020807,TR,KL-LLL,14
2067.3,0.4683015846220273,TR,KL-LLL,14
2079.3,0.019693288425577223,TR,KL-LLL,14
1923.4,1.073497631985014,DR,K-LL,15
1930.5,0.0016621749872367188,DR,K-LL,15
1931.2,0.020079445376777638,DR,K-LL,15
1932.8,0.0,DR,K-LL,15
1955.9,2.679761694658498,DR,K-LL,15
1957.1,1.0533741751700918,DR,K-LL,15
1963.3,0.0014516684742615557,DR,K-LL,15
1964.4,0.03026221949447735,DR,K-LL,15
1965.6,0.20868460195600308,DR,K-LL,15
1967.2,2.920261217345275,DR,K-LL,15
1967.8,1.891901572175848,DR,K-LL,15
1981.0,24.780581752368857,DR,K-LL,15
1981.1,17.901112860962407,DR,K-LL,15
1984.5,0.03319531224105462,DR,K-LL,15
1986.8,3.586933371189482,DR,K-LL,15
2002.6,3.49275569078125,DR,K-LL,15
