DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
5468.9,1.0139039000840089,DR,K-LL,19
5395.3,1.2132598245056956,DR,K-LL,20
5403.599999999999,0.561393694813831,DR,K-LL,20
5414.3,0.011986761770052456,TR,KL-LLL,20
5423.900000000001,0.22183200632971753,TR,KL-LLL,20
5519.9,0.00199164227423287,TR,KL-LLL,20
5549.3,0.003623948358984681,TR,KL-LLL,20
5307.6,10.417540237014139,DR,K-LL,21
5319.0,3.2575175374462857,DR,K-LL,21
5321.3,2.043247036465617,DR,K-LL,21
5335.8,3.0983195261276846,DR,K-LL,21
5341.5,0.06381062954754575,TR,KL-LLL,21
5346.7,0.7545739127816009,TR,KL-LLL,21
5349.2,1.3026605147293504,TR,KL-LLL,21
5367.9,0.005761876648368983,QR,KLL-LLLL,21
5410.0,3.755999999899704e-09,TR,KL-LLL,21
5418.599999999999,0.014689779300913815,TR,KL-LLL,21
5426.3,0.005451583789373183,QR,KLL-LLLL,21
5450.2,0.031388071939516794,TR,KL-LLL,21
5454.5,0.012871227867657221,TR,KL-LLL,21
5470.7,0.017865210891201064,QR,KLL-LLLL,21
5478.599999999999,0.001682439903861641,QR,KLL-LLLL,21
5571.3,0.0006019946821023245,QR,KLL-LLLL,21
5207.8,0.9950336852137084,DR,K-LL,22
5234.3,7.572225138017768,DR,K-LL,22
5237.2,10.657693686341267,DR,K-LL,22
5241.9,6.414368783996384,DR,K-LL,22
5249.0,1.2097649115052316,DR,K-LL,22
5254.4,1.0738668783116287,DR,K-LL,22
5255.900000000001,5.022363233764535,DR,K-LL,22
5257.7,2.842049746972956,DR,K-LL,22
5270.0,1.4662526883673868,TR,KL-LLL,22
5281.2,1.1458154778335166,TR,KL-LLL,22
5284.1,0.0,TR,KL-LLL,22
5294.8,4.7197931337648314e-05,TR,KL-LLL,22
5299.2,0.0009141571126898284,TR,KL-LLL,22
5330.8,0.004690787695479999,TR,KL-LLL,22
