DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
22948.0,0.8473468675689226,DR,K-LL,47
22767.0,1.722845860991586,DR,K-LL,48
22799.0,0.9913188215203284,DR,K-LL,48
23168.0,0.0020304632217356755,TR,KL-LLL,48
23173.0,2.4423978085171594e-05,TR,KL-LLL,48
23407.0,0.00047039815902908625,TR,KL-LLL,48
23490.0,0.0008389524962211232,TR,KL-LLL,48
22589.0,3.1923215651000874,DR,K-LL,49
22631.0,1.9589896531160704,DR,K-LL,49
22645.0,0.8549862995210802,DR,K-LL,49
22987.0,0.003183568508053708,TR,KL-LLL,49
23000.0,0.00042822967755232297,TR,KL-LLL,49
23015.0,0.001154495970799738,TR,KL-LLL,49
23034.0,0.004281468708622982,TR,KL-LLL,49
23173.0,5.044799999961037e-09,TR,KL-LLL,49
23225.0,0.0005197895686127045,TR,KL-LLL,49
23264.0,0.000954607500057409,TR,KL-LLL,49
23294.0,0.0042404653867699,TR,KL-LLL,49
23417.0,2.422299974876363e-06,QR,KLL-LLLL,49
23593.0,5.4637998837037054e-06,QR,KLL-LLLL,49
23616.0,2.6672998814030346e-05,QR,KLL-LLLL,49
23692.0,4.103999932779577e-06,QR,KLL-LLLL,49
23899.0,1.717899907081502e-05,QR,KLL-LLLL,49
22057.0,3.3175344412880654,DR,K-LL,50
22093.0,2.658720441866993,DR,K-LL,50
22435.0,1.698616960595355,DR,K-LL,50
22452.0,1.9218235933933772,DR,K-LL,50
22473.0,0.7480673534566138,DR,K-LL,50
22496.0,1.2790734638660952,DR,K-LL,50
22501.0,0.7203832583452965,DR,K-LL,50
22506.0,0.23994609956870738,DR,K-LL,50
22575.0,0.0,TR,KL-LLL,50
22641.0,9.090499770142445e-06,TR,KL-LLL,50
22664.0,0.0010500930178637072,TR,KL-LLL,50
22693.0,2.1744998102199032e-05,TR,KL-LLL,50
22713.0,8.110199974154489e-07,TR,KL-LLL,50
22753.0,0.0038549562204699284,TR,KL-LLL,50
22869.0,0.0011273920240977664,TR,KL-LLL,50
22901.0,0.0032017502759579732,TR,KL-LLL,50
22984.0,4.479299002652014e-05,TR,KL-LLL,50
23013.0,0.0,TR,KL-LLL,50
23036.0,0.00013861991279902732,TR,KL-LLL,50
23064.0,0.0005309891851955992,TR,KL-LLL,50
23086.0,0.0004646074634511103,TR,KL-LLL,50
23092.0,0.0012867931355829017,TR,KL-LLL,50
23120.0,0.0019006735540740916,TR,KL-LLL,50
23127.0,0.0031052620303157782,TR,KL-LLL,50
23277.0,2.2949999807234898e-06,QR,KLL-LLLL,50
23310.0,3.5552999532152033e-06,QR,KLL-LLLL,50
23462.0,1.6402998527701275e-05,QR,KLL-LLLL,50
23540.0,3.436599772599416e-06,QR,KLL-LLLL,50
23687.0,1.943499832463574e-05,QR,KLL-LLLL,50
23692.0,6.461499238415763e-06,QR,KLL-LLLL,50
21510.0,0.9746320531062809,DR,K-LL,51
21889.0,0.021696691723792384,DR,K-LL,51
21901.0,6.550552159557987,DR,K-LL,51
21920.0,0.029514520082685403,DR,K-LL,51
21939.0,5.586222055918041,DR,K-LL,51
21993.0,5.465399999890512e-09,TR,KL-LLL,51
22056.0,0.005824929906722115,TR,KL-LLL,51
22092.0,0.01374023128400417,TR,KL-LLL,51
22125.0,0.07750018900137187,TR,KL-LLL,51
22300.0,3.9253893347659967,DR,K-LL,51
22342.0,2.125831505654987,DR,K-LL,51
22359.0,1.0553578179140952,DR,K-LL,51
22367.0,8.024299999735464e-09,TR,KL-LLL,51
22434.0,0.0004824895764556871,TR,KL-LLL,51
22464.0,2.8413999998880443e-08,TR,KL-LLL,51
22464.0,3.9764989161391394e-05,TR,KL-LLL,51
22483.0,0.003743563778683337,TR,KL-LLL,51
22499.0,0.00020128987386518521,TR,KL-LLL,51
22503.0,0.00018097993502925864,TR,KL-LLL,51
22523.0,9.86119964278411e-06,TR,KL-LLL,51
22530.0,2.17089999895371e-07,TR,KL-LLL,51
22566.0,0.008588164091910903,TR,KL-LLL,51
22635.0,2.7062999830444026e-06,QR,KLL-LLLL,51
22678.0,2.285999922672037e-05,QR,KLL-LLLL,51
22699.0,0.0006229882414996331,QR,KLL-LLLL,51
22835.0,3.95809999996207e-09,TR,KL-LLL,51
22889.0,0.0008239986106992239,TR,KL-LLL,51
22929.0,0.0016911902909846348,TR,KL-LLL,51
22953.0,0.0066980348100665705,TR,KL-LLL,51
23039.0,9.275399739459246e-06,QR,KLL-LLLL,51
23053.0,3.937199999734029e-08,QR,KLL-LLLL,51
23069.0,1.714099999136671e-07,QR,KLL-LLLL,51
23088.0,2.1130999258184352e-05,QR,KLL-LLLL,51
23489.0,3.7644994052682115e-05,QR,KLL-LLLL,51
21243.0,1.4942744736627642,DR,K-LL,52
21250.0,0.10524980968868032,DR,K-LL,52
21328.0,0.406582417334179,DR,K-LL,52
21422.0,0.14640900980105206,DR,K-LL,52
21646.0,1.5325666872722983,DR,K-LL,52
21682.0,0.43213579469428726,DR,K-LL,52
21684.0,0.20878600162533079,DR,K-LL,52
21712.0,3.6903959305398066,DR,K-LL,52
21748.0,0.45159686813504796,DR,K-LL,52
21770.0,3.37489225759112,DR,K-LL,52
21799.0,5.366594940340569e-05,DR,K-LL,52
21799.0,1.773102531001287,DR,K-LL,52
21828.0,0.2617705203627955,DR,K-LL,52
21835.0,3.1506994939212056,DR,K-LL,52
21909.0,0.06391878378564929,TR,KL-LLL,52
21946.0,0.013265147230554119,TR,KL-LLL,52
22114.0,2.7173315458349583,DR,K-LL,52
22182.0,1.4570127196019218,DR,K-LL,52
22208.0,0.6598505453887913,DR,K-LL,52
22236.0,0.6218541104364167,DR,K-LL,52
22251.0,1.5029451401521348,DR,K-LL,52
22289.0,0.00018132969171647445,TR,KL-LLL,52
22292.0,0.22793739921148545,DR,K-LL,52
22328.0,2.52629999735405e-07,TR,KL-LLL,52
22352.0,2.5389998137546743e-05,TR,KL-LLL,52
22364.0,0.0041969816914799885,TR,KL-LLL,52
22370.0,0.0021696438998652216,TR,KL-LLL,52
22743.0,0.0038852072088882603,TR,KL-LLL,52
22776.0,0.0007717671991915071,TR,KL-LLL,52
21029.0,2.635674129069384,DR,K-LL,53
21062.0,0.0013311254590833124,DR,K-LL,53
21077.0,0.5718442362348921,DR,K-LL,53
21166.0,3.29526535199101,DR,K-LL,53
21223.0,0.09561131463913881,DR,K-LL,53
21466.0,0.0,DR,K-LL,53
21528.0,0.3800204879761857,DR,K-LL,53
21567.0,1.1085865625692657,DR,K-LL,53
21595.0,4.553784457673827,DR,K-LL,53
21601.0,0.023927569164067408,DR,K-LL,53
21614.0,7.156697342045517,DR,K-LL,53
21634.0,0.022412082178732768,DR,K-LL,53
21653.0,6.107628071245183,DR,K-LL,53
22029.0,4.215800764574128,DR,K-LL,53
22072.0,2.2828080932034216,DR,K-LL,53
22098.0,0.7248748876754483,DR,K-LL,53
