DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
33914.0,0.594441595751728,DR,K-LL,58
33691.0,1.1708109272657419,DR,K-LL,59
33732.0,0.6579492596983976,DR,K-LL,59
34576.0,0.0003001494295880427,TR,KL-LLL,59
34595.0,1.1155996823711498e-05,TR,KL-LLL,59
34879.0,0.00015579985919660425,TR,KL-LLL,59
34995.0,0.00027272870886761995,TR,KL-LLL,59
33475.0,2.1280175024128742,DR,K-LL,60
33527.0,1.2555677240835148,DR,K-LL,60
33548.0,0.5164418923872334,DR,K-LL,60
34365.0,0.0005053694751048254,TR,KL-LLL,60
34373.0,3.796799819731538e-05,TR,KL-LLL,60
34395.0,0.00010903997496785734,TR,KL-LLL,60
34424.0,0.0006741594286166778,TR,KL-LLL,60
34596.0,4.624399999977028e-09,TR,KL-LLL,60
34663.0,0.00016913996892549453,TR,KL-LLL,60
34711.0,0.00030891981786933996,TR,KL-LLL,60
34759.0,0.0013227976021331965,TR,KL-LLL,60
35291.0,3.048399997118797e-07,QR,KLL-LLLL,60
35515.0,4.7152999937987817e-07,QR,KLL-LLLL,60
35532.0,2.2387999939957736e-06,QR,KLL-LLLL,60
35647.0,7.208799985503132e-07,QR,KLL-LLLL,60
35897.0,2.8155999824228057e-06,QR,KLL-LLLL,60
32434.0,2.4364593140414015,DR,K-LL,61
32477.0,1.9732258716299613,DR,K-LL,61
33301.0,1.0195601236738454,DR,K-LL,61
33314.0,1.2756380931810318,DR,K-LL,61
33343.0,0.4881332749442345,DR,K-LL,61
33376.0,0.8095186020378057,DR,K-LL,61
33378.0,0.4186506075852092,DR,K-LL,61
33399.0,0.1394954758070569,DR,K-LL,61
33476.0,0.0,TR,KL-LLL,61
33560.0,1.716599994442039e-06,TR,KL-LLL,61
33590.0,0.0003622594442837453,TR,KL-LLL,61
33624.0,1.3979999946119768e-06,TR,KL-LLL,61
33659.0,3.7423999960409293e-07,TR,KL-LLL,61
33710.0,0.001478874126634555,TR,KL-LLL,61
34235.0,0.00012360992967740104,TR,KL-LLL,61
34276.0,0.0005197690671997286,TR,KL-LLL,61
34381.0,1.063799959728433e-05,TR,KL-LLL,61
34408.0,0.0,TR,KL-LLL,61
34446.0,2.9756997235222664e-05,TR,KL-LLL,61
34476.0,0.0001965399202565411,TR,KL-LLL,61
34504.0,0.00011757988631929242,TR,KL-LLL,61
34512.0,0.0003315696804911711,TR,KL-LLL,61
34563.0,0.0005842281258131967,TR,KL-LLL,61
34568.0,0.0008636879815663964,TR,KL-LLL,61
34750.0,9.425899977131372e-07,QR,KLL-LLLL,61
34792.0,9.399799977363032e-07,QR,KLL-LLLL,61
35367.0,1.3344999928400916e-06,QR,KLL-LLLL,61
35481.0,4.883799968394762e-07,QR,KLL-LLLL,61
35652.0,2.764599975627192e-06,QR,KLL-LLLL,61
35672.0,9.22959989073078e-07,QR,KLL-LLLL,61
31361.0,0.771351968510095,DR,K-LL,62
32235.0,0.008586833979670276,DR,K-LL,62
32242.0,4.759217213274448,DR,K-LL,62
32268.0,0.01907996823272203,DR,K-LL,62
32296.0,4.127404879510365,DR,K-LL,62
32369.0,3.193499999976945e-09,TR,KL-LLL,62
32443.0,0.004356972751612965,TR,KL-LLL,62
32489.0,0.009683151151157126,TR,KL-LLL,62
32540.0,0.053752791552576555,TR,KL-LLL,62
33144.0,2.4281736584871303,DR,K-LL,62
33197.0,1.3516762403519955,DR,K-LL,62
33220.0,0.5961799459309411,DR,K-LL,62
33231.0,1.1090999999647136e-08,TR,KL-LLL,62
33312.0,8.955998991869092e-05,TR,KL-LLL,62
33346.0,1.15629999998667e-08,TR,KL-LLL,62
33355.0,1.4933999896012738e-06,TR,KL-LLL,62
33368.0,0.0010647979583943091,TR,KL-LLL,62
33388.0,3.5580997195363456e-05,TR,KL-LLL,62
33396.0,3.694699823272252e-05,TR,KL-LLL,62
33436.0,5.651499990429534e-07,TR,KL-LLL,62
33440.0,1.4093999996985308e-07,TR,KL-LLL,62
33489.0,0.0030698599758704455,TR,KL-LLL,62
33567.0,6.032399941851553e-06,QR,KLL-LLLL,62
33621.0,1.6931999970790125e-06,QR,KLL-LLLL,62
33647.0,0.00023431982926675583,QR,KLL-LLLL,62
34207.0,1.7808999999941977e-09,TR,KL-LLL,62
34276.0,0.00023215992074084995,TR,KL-LLL,62
34325.0,0.0004486195015910691,TR,KL-LLL,62
34370.0,0.0017427925152680712,TR,KL-LLL,62
34473.0,2.963199982321101e-06,QR,KLL-LLLL,62
34482.0,3.6543999983614446e-07,QR,KLL-LLLL,62
34505.0,1.867499999281211e-07,QR,KLL-LLLL,62
34534.0,3.5380999846009237e-06,QR,KLL-LLLL,62
35430.0,4.690799932942977e-06,QR,KLL-LLLL,62
31023.0,1.296473419017454,DR,K-LL,63
31045.0,0.0791471076814271,DR,K-LL,63
31139.0,0.3298496000840387,DR,K-LL,63
31263.0,0.11485496046698447,DR,K-LL,63
31934.0,1.3071976282954056,DR,K-LL,63
31978.0,0.33738412446485744,DR,K-LL,63
31986.0,0.1421854208843966,DR,K-LL,63
32012.0,2.787022929324662,DR,K-LL,63
32059.0,0.27315828718918267,DR,K-LL,63
32085.0,2.4235721449262617,DR,K-LL,63
32118.0,0.0007338236445152432,DR,K-LL,63
32122.0,1.2423659858910576,DR,K-LL,63
32175.0,0.2172902034065833,DR,K-LL,63
32179.0,2.272771565302638,DR,K-LL,63
32268.0,0.04514944802892909,TR,KL-LLL,63
32312.0,0.00951899799191387,TR,KL-LLL,63
32917.0,1.5833575486094775,DR,K-LL,63
33003.0,0.9083336154424553,DR,K-LL,63
33035.0,0.39275794750569626,DR,K-LL,63
33068.0,0.4444709201843211,DR,K-LL,63
33101.0,0.9673276084039917,DR,K-LL,63
33146.0,1.3164998978597555e-05,TR,KL-LLL,63
33154.0,0.13412043670734453,DR,K-LL,63
33189.0,2.28089999848248e-07,TR,KL-LLL,63
33223.0,6.132399992044695e-07,TR,KL-LLL,63
33231.0,0.0014043907039854374,TR,KL-LLL,63
33252.0,0.0007192080359230168,TR,KL-LLL,63
34111.0,0.0010032954500751661,TR,KL-LLL,63
34154.0,0.00021745984083647242,TR,KL-LLL,63
30760.0,2.5365543046118075,DR,K-LL,64
30805.0,0.0022676801957983665,DR,K-LL,64
30815.0,0.46959072257886963,DR,K-LL,64
30941.0,3.151698002626536,DR,K-LL,64
31007.0,0.07251321424059622,DR,K-LL,64
31711.0,0.0,DR,K-LL,64
31787.0,0.2889409898845912,DR,K-LL,64
31835.0,0.7259161199788052,DR,K-LL,64
31883.0,3.32995087122363,DR,K-LL,64
31888.0,0.009408556541249634,DR,K-LL,64
31896.0,5.135069705000701,DR,K-LL,64
31922.0,0.01809310512862712,DR,K-LL,64
31951.0,4.458634201024273,DR,K-LL,64
32826.0,2.582619198560801,DR,K-LL,64
32880.0,1.4361259824434773,DR,K-LL,64
32910.0,0.45801828401820877,DR,K-LL,64
