DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
36212.0,0.5563159128619555,DR,K-LL,60
35982.0,1.0908797821197809,DR,K-LL,61
36024.0,0.6100091035344982,DR,K-LL,61
36991.0,0.00021490972321859105,TR,KL-LLL,61
37015.0,9.4854978325568e-06,TR,KL-LLL,61
37307.0,0.00012768991066459777,TR,KL-LLL,61
37430.0,0.00022262918704941517,TR,KL-LLL,61
35758.0,1.9816477561829617,DR,K-LL,62
35813.0,1.1595879927748114,DR,K-LL,62
35834.0,0.47070391830916924,DR,K-LL,62
36775.0,0.00037138973634549344,TR,KL-LLL,62
36782.0,2.3329999355361905e-05,TR,KL-LLL,62
36806.0,7.053199010736859e-05,TR,KL-LLL,62
36837.0,0.0004878997138191188,TR,KL-LLL,62
37015.0,4.516699999979273e-09,TR,KL-LLL,62
37085.0,0.00013920998015432744,TR,KL-LLL,62
37135.0,0.0002527598847861117,TR,KL-LLL,62
37187.0,0.0010724985080846094,TR,KL-LLL,62
37830.0,2.1833999985970398e-07,QR,KLL-LLLL,62
38063.0,3.1910999973101675e-07,QR,KLL-LLLL,62
38078.0,1.4667999975547763e-06,QR,KLL-LLLL,62
38202.0,5.502399992008792e-07,QR,KLL-LLLL,62
38460.0,2.0545999911401978e-06,QR,KLL-LLLL,62
34588.0,2.300933353722401,DR,K-LL,63
34633.0,1.880059029103272,DR,K-LL,63
35582.0,0.9367140084089505,DR,K-LL,63
35593.0,1.1869874999429177,DR,K-LL,63
35625.0,0.4515707942600632,DR,K-LL,63
35660.0,0.7474755355688616,DR,K-LL,63
35661.0,0.37978980754939806,DR,K-LL,63
35686.0,0.12653955982302323,DR,K-LL,63
35764.0,0.0,TR,KL-LLL,63
35851.0,1.341199996800862e-06,TR,KL-LLL,63
35882.0,0.00029781964668600645,TR,KL-LLL,63
35917.0,8.918799979331408e-07,TR,KL-LLL,63
35956.0,3.261299997155337e-07,TR,KL-LLL,63
36009.0,0.0012549823345486847,TR,KL-LLL,63
36645.0,8.268197010686404e-05,TR,KL-LLL,63
36688.0,0.0003798695282815267,TR,KL-LLL,63
36797.0,8.291499768890001e-06,TR,KL-LLL,63
36822.0,0.0,TR,KL-LLL,63
36865.0,2.3123998426298447e-05,TR,KL-LLL,63
36894.0,0.00016455994691935832,TR,KL-LLL,63
36924.0,9.342293213111718e-05,TR,KL-LLL,63
36931.0,0.0002642498079063589,TR,KL-LLL,63
36989.0,0.00047195883593176464,TR,KL-LLL,63
36993.0,0.0006892487884240466,TR,KL-LLL,63
37181.0,7.863899984941014e-07,QR,KLL-LLLL,63
37224.0,7.162399987589204e-07,QR,KLL-LLLL,63
37913.0,8.683699971163438e-07,QR,KLL-LLLL,63
38034.0,3.648099983361765e-07,QR,KLL-LLLL,63
38210.0,1.9798999881397637e-06,QR,KLL-LLLL,63
38234.0,6.766399944443854e-07,QR,KLL-LLLL,63
33382.0,0.7414216329694182,DR,K-LL,64
34384.0,0.018963997479970764,DR,K-LL,64
34390.0,4.490552515324486,DR,K-LL,64
34417.0,0.018516081339938213,DR,K-LL,64
34447.0,3.916786849224277,DR,K-LL,64
34523.0,2.8686999999826505e-09,TR,KL-LLL,64
34600.0,0.004102377186741359,TR,KL-LLL,64
34648.0,0.009053996148955825,TR,KL-LLL,64
34702.0,0.05029185272894243,TR,KL-LLL,64
35422.0,2.2404843581004825,DR,K-LL,64
35477.0,1.2465896371457106,DR,K-LL,64
35500.0,0.5388908963159876,DR,K-LL,64
35513.0,1.0394999999709292e-08,TR,KL-LLL,64
35596.0,6.865499440988314e-05,TR,KL-LLL,64
35631.0,1.4869999999790255e-08,TR,KL-LLL,64
35641.0,3.79279999369133e-07,TR,KL-LLL,64
35653.0,0.0008549587567085952,TR,KL-LLL,64
35674.0,2.6191998562322508e-05,TR,KL-LLL,64
35682.0,2.9078998973030892e-05,TR,KL-LLL,64
35728.0,3.5794999963108396e-07,TR,KL-LLL,64
35731.0,1.2895999997627682e-07,TR,KL-LLL,64
35782.0,0.0025822731386481983,TR,KL-LLL,64
35862.0,8.519899890523151e-06,QR,KLL-LLLL,64
35917.0,3.05939999910045e-07,QR,KLL-LLLL,64
35945.0,0.0002036398783682155,QR,KLL-LLLL,64
36619.0,1.5308999999959095e-09,TR,KL-LLL,64
36691.0,0.00018695995123918236,TR,KL-LLL,64
36742.0,0.0003576596990700638,TR,KL-LLL,64
36791.0,0.0013826955765899281,TR,KL-LLL,64
36897.0,2.3353999897776664e-06,QR,KLL-LLLL,64
36904.0,3.57639999851233e-07,QR,KLL-LLLL,64
36929.0,1.4117999996116436e-07,QR,KLL-LLLL,64
36961.0,2.473999992794651e-06,QR,KLL-LLLL,64
37985.0,3.304399968397053e-06,QR,KLL-LLLL,64
33030.0,1.2791527491683612,DR,K-LL,65
33055.0,0.07828851239933346,DR,K-LL,65
33151.0,0.3173583725040329,DR,K-LL,65
33282.0,0.11012779485386529,DR,K-LL,65
34072.0,1.2644944182578315,DR,K-LL,65
34117.0,0.32342339306094514,DR,K-LL,65
34127.0,0.13035065188881081,DR,K-LL,65
34151.0,2.6394578972667984,DR,K-LL,65
34201.0,0.24877501370242258,DR,K-LL,65
34228.0,2.296353129540925,DR,K-LL,65
34262.0,0.000989139143260878,DR,K-LL,65
34267.0,1.1821743725502865,DR,K-LL,65
34325.0,0.20719539151876382,DR,K-LL,65
34328.0,2.150087701367388,DR,K-LL,65
34420.0,0.04254520162112648,TR,KL-LLL,65
34465.0,0.009026044050421502,TR,KL-LLL,65
35188.0,1.450004803739249,DR,K-LL,65
35277.0,0.8367744274578551,DR,K-LL,65
35310.0,0.35738192651677847,DR,K-LL,65
35344.0,0.4153085387913622,DR,K-LL,65
35381.0,0.8954673652779603,DR,K-LL,65
35427.0,8.118399643100203e-06,TR,KL-LLL,65
35436.0,0.12189584175497649,DR,K-LL,65
35471.0,2.493999998284752e-07,TR,KL-LLL,65
35507.0,2.471999998765201e-07,TR,KL-LLL,65
35514.0,0.001169393906250786,TR,KL-LLL,65
35539.0,0.0005975922022533316,TR,KL-LLL,65
36524.0,0.0007944872876022671,TR,KL-LLL,65
36568.0,0.0001744899028981359,TR,KL-LLL,65
32758.0,2.5193986655818295,DR,K-LL,66
32805.0,0.004167530081191604,DR,K-LL,66
32814.0,0.44973735180308066,DR,K-LL,66
32948.0,3.1511119827772105,DR,K-LL,66
33015.0,0.06839066701146379,DR,K-LL,66
33841.0,0.0,DR,K-LL,66
33920.0,0.2744784067102417,DR,K-LL,66
33970.0,0.679203365713555,DR,K-LL,66
34022.0,3.155541723560277,DR,K-LL,66
34026.0,0.020689683450509595,DR,K-LL,66
34032.0,4.836826501993444,DR,K-LL,66
34060.0,0.01796416505166446,DR,K-LL,66
34092.0,4.223846001943712,DR,K-LL,66
35096.0,2.379910393340229,DR,K-LL,66
35152.0,1.322592692039972,DR,K-LL,66
35182.0,0.4200326581870579,DR,K-LL,66
