DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
30651.0,0.6560357429017941,DR,K-LL,55
30439.0,1.3016232452486332,DR,K-LL,56
30477.0,0.7366154350345513,DR,K-LL,56
31161.0,0.0004989482813415509,TR,KL-LLL,56
31175.0,1.4145994405609453e-05,TR,KL-LLL,56
31446.0,0.00021035971916380058,TR,KL-LLL,56
31552.0,0.0003704473942983264,TR,KL-LLL,56
30234.0,2.370869428118379,DR,K-LL,57
30283.0,1.4154209072517745,DR,K-LL,57
30302.0,0.5929661795502714,DR,K-LL,57
30957.0,0.0008120784864192388,TR,KL-LLL,57
30967.0,7.599599213114789e-05,TR,KL-LLL,57
30987.0,0.00020852989980940352,TR,KL-LLL,57
31013.0,0.0011022983563860197,TR,KL-LLL,57
31176.0,4.769699999973302e-09,TR,KL-LLL,57
31239.0,0.0002275499382144661,TR,KL-LLL,57
31284.0,0.0004186396340991396,TR,KL-LLL,57
31326.0,0.0018147950789961429,TR,KL-LLL,57
31716.0,5.137799991118372e-07,QR,KLL-LLLL,57
31926.0,8.731799976839121e-07,QR,KLL-LLLL,57
31945.0,4.289699976052886e-06,QR,KLL-LLLL,57
32049.0,1.109399996250078e-06,QR,KLL-LLLL,57
32287.0,4.571999949434447e-06,QR,KLL-LLLL,57
29363.0,2.6544529538185633,DR,K-LL,58
29404.0,2.1282010297118443,DR,K-LL,58
30064.0,1.1618156518132037,DR,K-LL,58
30078.0,1.422756225272847,DR,K-LL,58
30106.0,0.5484894071876125,DR,K-LL,58
30135.0,0.9138400732344307,DR,K-LL,58
30139.0,0.48460448770962783,DR,K-LL,58
30154.0,0.16146762350094196,DR,K-LL,58
30230.0,0.0,TR,KL-LLL,58
30309.0,2.5733999862787377e-06,TR,KL-LLL,58
30337.0,0.00048551889919088787,TR,KL-LLL,58
30369.0,2.880899974874375e-06,TR,KL-LLL,58
30400.0,4.6024999934745313e-07,TR,KL-LLL,58
30448.0,0.001903853377610521,TR,KL-LLL,58
30830.0,0.00022508974747956976,TR,KL-LLL,58
30868.0,0.0008392073499117342,TR,KL-LLL,58
30967.0,1.5506999065989538e-05,TR,KL-LLL,58
30994.0,0.0,TR,KL-LLL,58
31028.0,4.413699332149671e-05,TR,KL-LLL,58
31058.0,0.0002575598512749765,TR,KL-LLL,58
31084.0,0.00016766974747618494,TR,KL-LLL,58
31091.0,0.0004704592981340762,TR,KL-LLL,58
31135.0,0.0008062961458207158,TR,KL-LLL,58
31141.0,0.0012180955910259838,TR,KL-LLL,58
31314.0,1.2272999957673839e-06,QR,KLL-LLLL,58
31354.0,1.4066999944470407e-06,QR,KLL-LLLL,58
31781.0,2.526799972238004e-06,QR,KLL-LLLL,58
31885.0,7.799799911582094e-07,QR,KLL-LLLL,58
32050.0,4.6237999259234e-06,QR,KLL-LLLL,58
32065.0,1.5417999667124467e-06,QR,KLL-LLLL,58
28466.0,0.820133143178995,DR,K-LL,59
29172.0,0.0006440868116814333,DR,K-LL,59
29181.0,5.19413255178108,DR,K-LL,59
29205.0,0.020435707964269693,DR,K-LL,59
29230.0,4.468432592094256,DR,K-LL,59
29298.0,3.73869999996461e-09,TR,KL-LLL,59
29369.0,0.004750464539933026,TR,KL-LLL,59
29412.0,0.010693663214835598,TR,KL-LLL,59
29457.0,0.059423744181634916,TR,KL-LLL,59
29913.0,2.748514381388496,DR,K-LL,59
29963.0,1.5270448495828612,DR,K-LL,59
29984.0,0.6943683491831021,DR,K-LL,59
29994.0,1.2259999999524737e-08,TR,KL-LLL,59
30071.0,0.00013630997440207144,TR,KL-LLL,59
30104.0,1.5138999999752416e-08,TR,KL-LLL,59
30110.0,5.273999857206727e-06,TR,KL-LLL,59
30126.0,0.0014858956501955065,TR,KL-LLL,59
30144.0,5.672399222591319e-05,TR,KL-LLL,59
30151.0,5.41669957919425e-05,TR,KL-LLL,59
30184.0,1.18359999554577e-06,TR,KL-LLL,59
30190.0,1.6015999995710186e-07,TR,KL-LLL,59
30235.0,0.004011825717578816,TR,KL-LLL,59
30311.0,3.652299976633348e-06,QR,KLL-LLLL,59
30362.0,5.709999963562268e-06,QR,KLL-LLLL,59
30387.0,0.0002950597029483032,QR,KLL-LLLL,59
30799.0,2.232099999990195e-09,TR,KL-LLL,59
30864.0,0.00032353983273435626,TR,KL-LLL,59
30910.0,0.0006353389167496375,TR,KL-LLL,59
30949.0,0.002483683204580229,TR,KL-LLL,59
31048.0,4.166199961032974e-06,QR,KLL-LLLL,59
31058.0,3.4432999984173074e-07,QR,KLL-LLLL,59
31079.0,2.5709999985114465e-07,QR,KLL-LLLL,59
31105.0,5.929299953533097e-06,QR,KLL-LLLL,59
31833.0,8.075599784481189e-06,QR,KLL-LLLL,59
28148.0,1.3320079370787934,DR,K-LL,60
28165.0,0.08280614158709958,DR,K-LL,60
28255.0,0.3496754170446806,DR,K-LL,60
28370.0,0.12250513308829407,DR,K-LL,60
28888.0,1.3715494356356412,DR,K-LL,60
28929.0,0.3601469570273682,DR,K-LL,60
28935.0,0.16055114542240542,DR,K-LL,60
28962.0,3.0207298570997447,DR,K-LL,60
29006.0,0.3134439077685641,DR,K-LL,60
29031.0,2.636002726856568,DR,K-LL,60
29063.0,0.00038772804334426427,DR,K-LL,60
29066.0,1.3483386817866876,DR,K-LL,60
29111.0,0.23237273217785928,DR,K-LL,60
29116.0,2.475439287703196,DR,K-LL,60
29202.0,0.04947397903826793,TR,KL-LLL,60
29244.0,0.010349608056254771,TR,KL-LLL,60
29697.0,1.8154269477579654,DR,K-LL,60
29778.0,1.0291039228618073,DR,K-LL,60
29808.0,0.45226572592852543,DR,K-LL,60
29840.0,0.4905906870291748,DR,K-LL,60
29867.0,1.0876238203040038,DR,K-LL,60
29911.0,2.6917995151696593e-05,TR,KL-LLL,60
29917.0,0.1547611985765718,DR,K-LL,60
29953.0,1.6645999991169986e-07,TR,KL-LLL,60
29984.0,1.946799991359482e-06,TR,KL-LLL,60
29993.0,0.0018651820833263603,TR,KL-LLL,60
30009.0,0.0009581267537550043,TR,KL-LLL,60
30703.0,0.0014339899423479049,TR,KL-LLL,60
30743.0,0.00030438966062795513,TR,KL-LLL,60
