DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
662.16,0.0013131835815496074,DR,K-LL,1
648.14,0.00038624760492878327,DR,K-LL,2
648.2,0.00022102408844935792,DR,K-LL,2
648.26,4.6334624572268416e-05,DR,K-LL,2
651.59,0.0002967420340602364,DR,K-LL,2
671.88,3.4231908101557245e-06,TR,KL-LLL,2
677.72,6.06961600628554e-06,TR,KL-LLL,2
625.42,3.677792177577492,DR,K-LL,3
625.51,1.7008090172457035,TR,KL-LLL,3
625.53,1.0951176622143943,QR,KLL-LLLL,3
630.78,3.669783467413097e-05,TR,KL-LLL,3
630.81,0.17111209098592603,TR,KL-LLL,3
631.38,7.605235181963065,DR,K-LL,3
631.44,1.9421808357373522,TR,KL-LLL,3
633.64,2.8511723731946516e-05,DR,K-LL,3
645.94,0.0,TR,KL-LLL,3
646.0,0.11122867056796133,QR,KLL-LLLL,3
646.05,0.022679965391888744,QR,KLL-LLLL,3
653.54,0.08372554327375585,TR,KL-LLL,3
653.58,0.15845736357417456,QR,KLL-LLLL,3
660.22,0.018910254821793843,TR,KL-LLL,3
660.26,0.032249801332833075,TR,KL-LLL,3
681.09,7.0867867079961826e-06,QR,KLL-LLLL,3
600.2600000000001,0.0001572457693258617,DR,K-LL,4
607.99,2.470490087803053,DR,K-LL,4
608.0299999999999,1.108755240621119,DR,K-LL,4
608.03,1.8303972266545743,DR,K-LL,4
609.39,0.0969736512466542,DR,K-LL,4
609.96,2.001566902906033,TR,KL-LLL,4
609.9800000000001,1.2214240165530281,DR,K-LL,4
610.01,0.4021626267345241,DR,K-LL,4
612.58,5.161885664985437,DR,K-LL,4
614.54,3.1334569058534,TR,KL-LLL,4
616.83,0.0,TR,KL-LLL,4
616.91,4.6005998887553476e-08,TR,KL-LLL,4
616.94,3.306290420564661e-06,QR,KLL-LLLL,4
627.4700000000001,0.023823537820526607,TR,KL-LLL,4
627.5299999999999,0.03975276467360709,TR,KL-LLL,4
627.56,0.018905115465026944,TR,KL-LLL,4
628.8,0.0,TR,KL-LLL,4
628.83,0.09088288390847261,TR,KL-LLL,4
628.85,0.09004602832691375,TR,KL-LLL,4
634.31,0.14926332414841947,TR,KL-LLL,4
635.9,0.30146101546443416,TR,KL-LLL,4
638.18,0.1908054019217055,TR,KL-LLL,4
638.2600000000001,0.27846975936470525,TR,KL-LLL,4
638.28,0.12247006225497367,TR,KL-LLL,4
641.43,0.19443533197339047,TR,KL-LLL,4
641.74,0.11174913591250395,TR,KL-LLL,4
654.43,9.340975853434588e-06,QR,KLL-LLLL,4
654.51,0.024378739384337496,QR,KLL-LLLL,4
654.58,0.012276748567278296,QR,KLL-LLLL,4
658.96,0.01306675658654874,QR,KLL-LLLL,4
584.0,0.00675029450524886,DR,K-LL,5
584.06,0.0006359811444632948,DR,K-LL,5
584.1,0.020244741856578253,DR,K-LL,5
584.65,0.0,TR,KL-LLL,5
590.6,5.449158445781399,DR,K-LL,5
590.65,3.646338492232805,DR,K-LL,5
591.84,0.08450211926790623,DR,K-LL,5
591.94,0.2426740777939646,DR,K-LL,5
593.81,2.119283773392107,DR,K-LL,5
599.15,1.8973976555283663e-05,TR,KL-LLL,5
599.46,0.0,TR,KL-LLL,5
599.47,2.3858669738070627e-05,TR,KL-LLL,5
599.47,1.996788435761882e-05,TR,KL-LLL,5
603.4,0.0,TR,KL-LLL,5
603.41,4.021695663551448e-06,TR,KL-LLL,5
603.44,2.7882958300097303e-06,TR,KL-LLL,5
608.98,0.00036964676559664457,TR,KL-LLL,5
608.99,1.6304999998284505e-09,TR,KL-LLL,5
612.96,0.18286857149592095,TR,KL-LLL,5
612.96,0.09314710531352646,TR,KL-LLL,5
613.4800000000001,0.00022077073843836508,TR,KL-LLL,5
615.45,2.54469999989833e-10,TR,KL-LLL,5
615.49,1.5986993994908995e-06,TR,KL-LLL,5
619.43,1.9386157918842701,TR,KL-LLL,5
619.45,0.9757686576125941,TR,KL-LLL,5
620.14,0.013826234175857738,TR,KL-LLL,5
624.32,9.591581516163433e-06,QR,KLL-LLLL,5
