DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
5079.9,0.9359140428282562,DR,K-LL,18
5010.3,0.9804383083950006,DR,K-LL,19
5017.8,0.43569907903042193,DR,K-LL,19
5026.5,0.014034169338489775,TR,KL-LLL,19
5036.3,0.2121706293139721,TR,KL-LLL,19
5127.5,0.0017372687915348452,TR,KL-LLL,19
5155.4,0.003158411965702118,TR,KL-LLL,19
4925.6,10.82828856606217,DR,K-LL,20
4935.400000000001,3.040869691614219,TR,KL-LLL,20
4937.599999999999,2.0345801031137896,DR,K-LL,20
4951.900000000001,3.4556430177529114,DR,K-LL,20
4956.5,0.06703782520706358,TR,KL-LLL,20
4961.8,0.8582133369425773,TR,KL-LLL,20
4963.599999999999,1.64079155279962,TR,KL-LLL,20
4980.0,0.007279788585990608,QR,KLL-LLLL,20
5021.7,3.596299999899668e-09,TR,KL-LLL,20
5029.3,0.016516912475464083,TR,KL-LLL,20
5035.7,0.005609282207077647,QR,KLL-LLLL,20
5059.7,0.0319304052182782,TR,KL-LLL,20
5063.5,0.015088360165908532,TR,KL-LLL,20
5079.1,0.019416353552990664,QR,KLL-LLLL,20
5085.599999999999,0.002093098189979086,QR,KLL-LLLL,20
5174.2,0.0006058141208132923,QR,KLL-LLLL,20
4830.5,0.7767715576582288,DR,K-LL,21
4856.7,7.694235512904601,DR,K-LL,21
4858.7,10.835652025787438,DR,K-LL,21
4862.4,6.67928881349154,DR,K-LL,21
4869.3,1.1019258744461307,DR,K-LL,21
4874.2,1.1235295736123354,DR,K-LL,21
4875.5,5.119329956841962,DR,K-LL,21
4877.2,2.8991031941581955,DR,K-LL,21
4888.0,1.9563275452301234,TR,KL-LLL,21
4898.5,1.4209467709611445,TR,KL-LLL,21
4902.4,0.0,TR,KL-LLL,21
4911.5,3.9006948238138785e-05,TR,KL-LLL,21
4915.400000000001,0.0007656668664939641,TR,KL-LLL,21
4946.900000000001,0.0057951469420243545,TR,KL-LLL,21
4949.8,0.007563833138754275,TR,KL-LLL,21
4952.7,0.0,TR,KL-LLL,21
4954.7,0.00515150779143025,TR,KL-LLL,21
4958.099999999999,0.002496785802547464,TR,KL-LLL,21
4959.3,0.00971502049337595,TR,KL-LLL,21
4974.099999999999,0.05925278004967986,TR,KL-LLL,21
4976.5,0.0007824469400109323,TR,KL-LLL,21
4985.4,0.05802241776532278,TR,KL-LLL,21
4986.2,0.08775146535893294,TR,KL-LLL,21
4988.5,0.027528155501979814,TR,KL-LLL,21
5002.2,0.018022665729853473,TR,KL-LLL,21
5011.1,0.008471466486737397,QR,KLL-LLLL,21
5051.8,2.183199912727172e-06,QR,KLL-LLLL,21
5059.6,0.0008704698201693656,QR,KLL-LLLL,21
5068.6,0.0010481995132697699,QR,KLL-LLLL,21
5079.2,0.0022872159202627427,QR,KLL-LLLL,21
4755.599999999999,0.7012703514048606,DR,K-LL,22
4764.5,0.13147913569600972,DR,K-LL,22
4770.1,3.5305996463832106,DR,K-LL,22
4781.1,0.0,TR,KL-LLL,22
4788.7,1.1308266668621207,DR,K-LL,22
4789.099999999999,17.82089232013204,DR,K-LL,22
4794.2,24.4288221794218,DR,K-LL,22
4806.6,6.113581105442154,DR,K-LL,22
4812.3,6.21885935942007,DR,K-LL,22
4829.099999999999,0.0036152124304349824,TR,KL-LLL,22
4830.3,9.737499999867704e-10,TR,KL-LLL,22
4831.4,0.006017971950124918,TR,KL-LLL,22
4836.900000000001,0.009129779663688317,TR,KL-LLL,22
4849.6,1.5161999906603085e-07,TR,KL-LLL,22
4850.5,6.2762999995251064e-09,TR,KL-LLL,22
4850.7,0.0050878546432959245,TR,KL-LLL,22
4867.2,0.08253248634730856,TR,KL-LLL,22
4872.0,2.0090999978892896e-07,TR,KL-LLL,22
4875.900000000001,0.05040393535948015,TR,KL-LLL,22
4881.2,0.0011575869689441666,TR,KL-LLL,22
4883.1,0.0009774968919530546,TR,KL-LLL,22
4888.3,4.008199998085772e-08,TR,KL-LLL,22
