DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
63866.0,0.28928621882126526,DR,K-LL,79
63562.0,0.5492780941882688,DR,K-LL,80
63619.0,0.2899368565069521,DR,K-LL,80
66687.0,9.899499617334325e-06,TR,KL-LLL,80
66767.0,1.976299939920702e-06,TR,KL-LLL,80
67132.0,2.0443998519567263e-05,TR,KL-LLL,80
67346.0,3.426198752656679e-05,TR,KL-LLL,80
63270.0,1.0157028394456649,DR,K-LL,81
63343.0,0.5396998763942257,DR,K-LL,81
63379.0,0.18287705962549267,DR,K-LL,81
66424.0,7.484299999564427e-08,TR,KL-LLL,81
66433.0,2.2706999472419364e-05,TR,KL-LLL,81
66464.0,1.6624999996448004e-07,TR,KL-LLL,81
66535.0,2.7056999338878562e-05,TR,KL-LLL,81
66756.0,3.1775999999933e-09,TR,KL-LLL,81
66856.0,2.3657999630540047e-05,TR,KL-LLL,81
66923.0,4.093199803840453e-05,TR,KL-LLL,81
67037.0,0.00015530997963925574,TR,KL-LLL,81
69656.0,1.4747999999574e-08,QR,KLL-LLLL,81
69966.0,5.022599999808452e-08,QR,KLL-LLLL,81
69982.0,1.8229999999426326e-08,QR,KLL-LLLL,81
70204.0,9.327099998481077e-08,QR,KLL-LLLL,81
70523.0,1.6625999996167423e-07,QR,KLL-LLLL,81
59946.0,1.3404115410707298,DR,K-LL,82
60005.0,1.261413789327383,DR,K-LL,82
63084.0,0.6050816956086106,DR,K-LL,82
63091.0,0.433940817504614,DR,K-LL,82
63135.0,0.21141882308598595,DR,K-LL,82
63185.0,0.1436494160864965,DR,K-LL,82
63209.0,0.3585595473776887,DR,K-LL,82
63267.0,0.04777762141910302,DR,K-LL,82
63333.0,0.0,TR,KL-LLL,82
63454.0,2.8078999990976274e-07,TR,KL-LLL,82
63499.0,4.914499392677003e-05,TR,KL-LLL,82
63544.0,1.4964999996310528e-07,TR,KL-LLL,82
63640.0,9.279999998523284e-08,TR,KL-LLL,82
63716.0,0.00031751925798381725,TR,KL-LLL,82
66335.0,1.2425999955343415e-06,TR,KL-LLL,82
66394.0,2.3158998858684866e-05,TR,KL-LLL,82
66543.0,5.647999993440273e-07,TR,KL-LLL,82
66545.0,0.0,TR,KL-LLL,82
66629.0,3.4615999775769474e-06,TR,KL-LLL,82
66658.0,3.115199868828179e-05,TR,KL-LLL,82
66695.0,1.3000999142407518e-05,TR,KL-LLL,82
66712.0,3.605399765791371e-05,TR,KL-LLL,82
66843.0,8.985698690030794e-05,TR,KL-LLL,82
66852.0,6.749898399450855e-05,TR,KL-LLL,82
67073.0,1.3680999997012543e-07,QR,KLL-LLLL,82
67131.0,2.927499999865807e-08,QR,KLL-LLLL,82
69851.0,2.6936999998129276e-08,QR,KLL-LLLL,82
70066.0,5.5365999975315826e-08,QR,KLL-LLLL,82
70255.0,1.4150999995952424e-07,QR,KLL-LLLL,82
70337.0,4.7628999981993306e-08,QR,KLL-LLLL,82
56529.0,0.5441913747969142,DR,K-LL,83
59686.0,2.6088247241782936,DR,K-LL,83
59696.0,0.2723328218257357,DR,K-LL,83
59727.0,0.019194370872679285,DR,K-LL,83
59800.0,2.330819442559065,DR,K-LL,83
59883.0,1.0337999999986412e-09,TR,KL-LLL,83
59987.0,0.0021452959963868838,TR,KL-LLL,83
60054.0,0.004910163400085833,TR,KL-LLL,83
60170.0,0.028355948133918653,TR,KL-LLL,83
62920.0,1.0880950225688155,DR,K-LL,83
62994.0,0.5730241718342493,DR,K-LL,83
63031.0,0.19932454607586092,DR,K-LL,83
63045.0,5.784699999949885e-09,TR,KL-LLL,83
63149.0,8.967399939106808e-06,TR,KL-LLL,83
63187.0,1.195899999999046e-09,TR,KL-LLL,83
63211.0,0.00012233998362781685,TR,KL-LLL,83
63229.0,5.320499923371026e-06,TR,KL-LLL,83
63242.0,1.5366999968089063e-06,TR,KL-LLL,83
63261.0,4.376299985638388e-06,TR,KL-LLL,83
63372.0,4.9206999997877274e-08,TR,KL-LLL,83
63386.0,1.707299999940928e-08,TR,KL-LLL,83
63453.0,0.0006145989892453437,TR,KL-LLL,83
63527.0,9.528799117290909e-05,QR,KLL-LLLL,83
63600.0,4.26409988842407e-05,QR,KLL-LLLL,83
63641.0,0.00010081998090928571,QR,KLL-LLLL,83
66351.0,3.7553999999983315e-10,TR,KL-LLL,83
66453.0,2.72299993148777e-05,TR,KL-LLL,83
66521.0,5.053499600606703e-05,TR,KL-LLL,83
66636.0,0.00017951995409605197,TR,KL-LLL,83
66736.0,1.2799999998739465e-07,QR,KLL-LLLL,83
66746.0,1.520899999766332e-07,QR,KLL-LLLL,83
66777.0,1.9112999999995372e-10,QR,KLL-LLLL,83
66850.0,3.879899999866116e-08,QR,KLL-LLLL,83
70044.0,2.106099999141244e-07,QR,KLL-LLLL,83
56025.0,1.3433833794506056,DR,K-LL,84
56109.0,0.1723968749221212,DR,K-LL,84
56203.0,0.22705737508440976,DR,K-LL,84
56425.0,0.07734123033372928,DR,K-LL,84
59285.0,0.9040539713802549,DR,K-LL,84
59345.0,0.2300111227173422,DR,K-LL,84
59361.0,0.053542811942730105,DR,K-LL,84
59362.0,1.5610952518668244,DR,K-LL,84
59450.0,0.08349926683798119,DR,K-LL,84
59478.0,1.4507373881177492,DR,K-LL,84
59519.0,0.0034886162463058203,DR,K-LL,84
59534.0,0.8382534304584579,DR,K-LL,84
59666.0,1.3301228010977881,DR,K-LL,84
59676.0,0.12908021772264777,DR,K-LL,84
59763.0,0.02712875819530157,TR,KL-LLL,84
59823.0,0.006321520801713225,TR,KL-LLL,84
62618.0,0.675354130164856,DR,K-LL,84
62741.0,0.3897796965130024,DR,K-LL,84
62788.0,0.13702528946015308,DR,K-LL,84
62833.0,0.20507341440620352,DR,K-LL,84
62929.0,0.43621005499023147,DR,K-LL,84
62961.0,2.835899999979929e-09,TR,KL-LLL,84
63005.0,1.7748999994400256e-07,TR,KL-LLL,84
63008.0,0.04647061592492999,DR,K-LL,84
63059.0,0.00026044980447740006,TR,KL-LLL,84
63080.0,5.0210999996157976e-08,TR,KL-LLL,84
63143.0,0.00012938976795755892,TR,KL-LLL,84
