DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
31714.0,0.6348989224882657,DR,K-LL,56
31499.0,1.256542611927617,DR,K-LL,57
31538.0,0.709455114016823,DR,K-LL,57
32272.0,0.0004208288128038585,TR,KL-LLL,57
32288.0,1.3082995360926088e-05,TR,KL-LLL,57
32563.0,0.00019028977711914796,TR,KL-LLL,57
32672.0,0.00033446793974808867,TR,KL-LLL,57
31290.0,2.2866538825041447,DR,K-LL,58
31340.0,1.3598626603530326,DR,K-LL,58
31360.0,0.5663376710637604,DR,K-LL,58
32066.0,0.0006920489406738455,TR,KL-LLL,58
32075.0,6.054599514865803e-05,TR,KL-LLL,58
32096.0,0.0001681999367845438,TR,KL-LLL,58
32123.0,0.0009347688473942115,TR,KL-LLL,58
32289.0,4.723499999974595e-09,TR,KL-LLL,58
32353.0,0.00020598995096841435,TR,KL-LLL,58
32399.0,0.00037816971042518627,TR,KL-LLL,58
32443.0,0.0016328961312208675,TR,KL-LLL,58
32878.0,4.305899993932445e-07,QR,KLL-LLLL,58
33093.0,7.081499985202008e-07,QR,KLL-LLLL,58
33111.0,3.4460999849753346e-06,QR,KLL-LLLL,58
33218.0,9.5755999728927e-07,QR,KLL-LLLL,58
33460.0,3.888199964497619e-06,QR,KLL-LLLL,58
30366.0,2.5798570629847197,DR,K-LL,59
30408.0,2.074369767249229,DR,K-LL,59
31119.0,1.1117744027328225,DR,K-LL,59
31133.0,1.3716298694178874,DR,K-LL,59
31161.0,0.5275911620952397,DR,K-LL,59
31192.0,0.8774415087980589,DR,K-LL,59
31195.0,0.46151449375862896,DR,K-LL,59
31212.0,0.15378016405235945,DR,K-LL,59
31288.0,0.0,TR,KL-LLL,59
31368.0,2.238299989947808e-06,TR,KL-LLL,59
31397.0,0.0004408191224550914,TR,KL-LLL,59
31430.0,2.25339998510909e-06,TR,KL-LLL,59
31462.0,4.2892999944947725e-07,TR,KL-LLL,59
31511.0,0.0017486617695846515,TR,KL-LLL,59
31938.0,0.00018436983508906329,TR,KL-LLL,59
31977.0,0.0007144581346419755,TR,KL-LLL,59
32078.0,1.3665999295653025e-05,TR,KL-LLL,59
32105.0,0.0,TR,KL-LLL,59
