DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
41121.0,0.48664655684644426,DR,K-LL,64
40875.0,0.9465728896108319,DR,K-LL,65
40921.0,0.5238470378501454,DR,K-LL,65
42178.0,0.00011081993366797212,TR,KL-LLL,65
42210.0,6.824998993612738e-06,TR,KL-LLL,65
42520.0,8.605396353880121e-05,TR,KL-LLL,65
42659.0,0.00014846967497656423,TR,KL-LLL,65
40638.0,1.720682671796975,DR,K-LL,66
40696.0,0.9893955456158379,DR,K-LL,66
40720.0,0.39016666423305213,DR,K-LL,66
41953.0,0.00020381993109193532,TR,KL-LLL,66
41958.0,8.034599930985932e-06,TR,KL-LLL,66
41984.0,2.8214998577646774e-05,TR,KL-LLL,66
42021.0,0.0002581399260609207,TR,KL-LLL,66
42210.0,4.2778999999832544e-09,TR,KL-LLL,66
42286.0,9.488899173551283e-05,TR,KL-LLL,66
42339.0,0.00017000995313116939,TR,KL-LLL,66
42401.0,0.0007063294170006615,TR,KL-LLL,66
43309.0,1.1557999996437285e-07,QR,KLL-LLLL,66
43561.0,1.533399999439658e-07,QR,KLL-LLLL,66
43572.0,6.787799995255919e-07,QR,KLL-LLLL,66
43715.0,3.3339999973535415e-07,QR,KLL-LLLL,66
43987.0,1.1152999976444517e-06,QR,KLL-LLLL,66
39165.0,2.0524320406565337,DR,K-LL,67
39212.0,1.7141891855725673,DR,K-LL,67
40458.0,0.7940122811212246,DR,K-LL,67
40466.0,1.0293167761006128,DR,K-LL,67
40501.0,0.3862596866864295,DR,K-LL,67
40540.0,0.312309185925448,DR,K-LL,67
40542.0,0.6385887340900516,DR,K-LL,67
40573.0,0.10403191427606753,DR,K-LL,67
40652.0,0.0,TR,KL-LLL,67
40746.0,8.456699988597332e-07,TR,KL-LLL,67
40780.0,0.0002018098552110222,TR,KL-LLL,67
40817.0,4.1688999959594704e-07,TR,KL-LLL,67
40864.0,2.489499998508788e-07,TR,KL-LLL,67
40922.0,0.0009137015408465873,TR,KL-LLL,67
41824.0,3.651799471212171e-05,TR,KL-LLL,67
41870.0,0.00020529987576253165,TR,KL-LLL,67
41988.0,5.02929992384746e-06,TR,KL-LLL,67
42010.0,0.0,TR,KL-LLL,67
42060.0,1.4336999458604704e-05,TR,KL-LLL,67
42089.0,0.00011547997624786069,TR,KL-LLL,67
42121.0,5.9929974847001105e-05,TR,KL-LLL,67
42130.0,0.00016999992831225397,TR,KL-LLL,67
42200.0,0.00030940954499642415,TR,KL-LLL,67
42202.0,0.00044190955429921345,TR,KL-LLL,67
42401.0,5.431299993525864e-07,QR,KLL-LLLL,67
42447.0,3.9874999965447143e-07,QR,KLL-LLLL,67
43409.0,4.5795999927066155e-07,QR,KLL-LLLL,67
43547.0,2.130499994909959e-07,QR,KLL-LLLL,67
43729.0,1.0400999970356358e-06,QR,KLL-LLLL,67
43761.0,3.566399986092268e-07,QR,KLL-LLLL,67
37648.0,0.6874530864696277,DR,K-LL,68
38950.0,0.05160639062181089,DR,K-LL,68
38954.0,4.0006470466835795,DR,K-LL,68
38983.0,0.017955223722131333,DR,K-LL,68
39020.0,3.527399220075088,DR,K-LL,68
39100.0,2.308499999990116e-09,TR,KL-LLL,68
39182.0,0.003617384073429649,TR,KL-LLL,68
39234.0,0.007911862114519351,TR,KL-LLL,68
39298.0,0.04410443364196274,TR,KL-LLL,68
40291.0,1.9151235754898774,DR,K-LL,68
40350.0,1.0606260397002696,DR,K-LL,68
40376.0,0.44039410683251745,DR,K-LL,68
40390.0,9.160999999801038e-09,TR,KL-LLL,68
40478.0,4.1661998154232716e-05,TR,KL-LLL,68
40514.0,9.419699999923229e-09,TR,KL-LLL,68
40529.0,1.3793999992566378e-07,TR,KL-LLL,68
40537.0,0.0005571895256992386,TR,KL-LLL,68
40560.0,1.4390999609437535e-05,TR,KL-LLL,68
40570.0,1.8571999628025204e-05,TR,KL-LLL,68
40627.0,1.2067999996126271e-07,TR,KL-LLL,68
40628.0,1.0708999998545347e-07,TR,KL-LLL,68
40685.0,0.0018510875042026648,TR,KL-LLL,68
40766.0,1.6276999641482053e-05,QR,KLL-LLLL,68
40826.0,9.253899992624142e-07,QR,KLL-LLLL,68
40856.0,0.00016006993264075297,QR,KLL-LLLL,68
41803.0,1.1317999999979585e-09,TR,KL-LLL,68
41881.0,0.0001224599810629712,TR,KL-LLL,68
41935.0,0.0002315498856008067,TR,KL-LLL,68
41995.0,0.0008796084099553867,TR,KL-LLL,68
42106.0,1.414099996743244e-06,QR,KLL-LLLL,68
42110.0,3.1360999989657036e-07,QR,KLL-LLLL,68
42138.0,7.015099999137086e-08,QR,KLL-LLLL,68
42175.0,1.16689999851843e-06,QR,KLL-LLLL,68
43500.0,1.6858999925377827e-06,QR,KLL-LLLL,68
37266.0,1.2588776458668167,DR,K-LL,69
37300.0,0.08132392947218799,DR,K-LL,69
37399.0,0.29419635118246357,DR,K-LL,69
37545.0,0.10153027298108776,DR,K-LL,69
38617.0,1.180650065903495,DR,K-LL,69
38665.0,0.29821757869695215,DR,K-LL,69
38677.0,0.1081737697373075,DR,K-LL,69
38698.0,2.365082834662641,DR,K-LL,69
38755.0,0.2049001400780509,DR,K-LL,69
38782.0,2.07081064289864,DR,K-LL,69
38818.0,0.0015270769519268184,DR,K-LL,69
38824.0,1.08124383376537,DR,K-LL,69
38895.0,0.18771390139087726,DR,K-LL,69
38897.0,1.9305839574198114,DR,K-LL,69
38992.0,0.037962768491754624,TR,KL-LLL,69
39041.0,0.0081710123639743,TR,KL-LLL,69
40043.0,1.2237840892608198,DR,K-LL,69
