DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
52319.0,0.37036309905501985,DR,K-LL,72
52043.0,0.7105727582561279,DR,K-LL,73
52094.0,0.3841137035234702,DR,K-LL,73
54150.0,3.0210995903601452e-05,TR,KL-LLL,73
54203.0,3.5144997801229363e-06,TR,KL-LLL,73
54546.0,3.9666993585149814e-05,TR,KL-LLL,73
54720.0,6.737794452462343e-05,TR,KL-LLL,73
51776.0,1.3003112898248284,DR,K-LL,74
51842.0,0.7188795425361998,DR,K-LL,74
51872.0,0.26418797885116263,DR,K-LL,74
53906.0,3.815299998702633e-07,TR,KL-LLL,74
53908.0,6.299899497218814e-05,TR,KL-LLL,74
53939.0,3.2787999840985267e-06,TR,KL-LLL,74
53991.0,7.517099447412478e-05,TR,KL-LLL,74
54200.0,3.7232999999894524e-09,TR,KL-LLL,74
54289.0,4.4822998475309254e-05,TR,KL-LLL,74
54349.0,7.86119916870709e-05,TR,KL-LLL,74
54435.0,0.0003120699055014653,TR,KL-LLL,74
56087.0,3.5916999997114877e-08,QR,KLL-LLLL,74
56379.0,1.73729999973906e-07,QR,KLL-LLLL,74
56379.0,4.5484999995898435e-08,QR,KLL-LLLL,74
56566.0,1.734999999400941e-07,QR,KLL-LLLL,74
56867.0,3.9409999975429296e-07,QR,KLL-LLLL,74
49483.0,1.634948194418041,DR,K-LL,75
49536.0,1.4462136010352191,DR,K-LL,75
51594.0,0.575486813422997,DR,K-LL,75
51594.0,0.7761136204285897,DR,K-LL,75
51637.0,0.28139357619606975,DR,K-LL,75
51682.0,0.20900181477661373,DR,K-LL,75
51693.0,0.4687904879785181,DR,K-LL,75
51737.0,0.06957405076019756,DR,K-LL,75
51814.0,0.0,TR,KL-LLL,75
51922.0,4.253299997616089e-07,TR,KL-LLL,75
51962.0,9.418097415404195e-05,TR,KL-LLL,75
52003.0,2.0278999992147923e-07,TR,KL-LLL,75
52072.0,1.469799999571026e-07,TR,KL-LLL,75
52140.0,0.0005067778307735184,TR,KL-LLL,75
53788.0,6.482799860519556e-06,TR,KL-LLL,75
53841.0,6.264199038981521e-05,TR,KL-LLL,75
53978.0,1.7282999927001037e-06,TR,KL-LLL,75
53991.0,0.0,TR,KL-LLL,75
54057.0,6.193499916944377e-06,TR,KL-LLL,75
54086.0,5.7150995059241595e-05,TR,KL-LLL,75
54121.0,2.6018996057906616e-05,TR,KL-LLL,75
54134.0,7.317398893748991e-05,TR,KL-LLL,75
54233.0,0.0001864399347852765,TR,KL-LLL,75
54236.0,0.00013580992618389192,TR,KL-LLL,75
54452.0,2.574099998789015e-07,QR,KLL-LLLL,75
54504.0,1.0817999997893427e-07,QR,KLL-LLLL,75
56232.0,9.528999997336704e-08,QR,KLL-LLLL,75
56407.0,1.0563999989656633e-07,QR,KLL-LLLL,75
56598.0,3.4664999972352553e-07,QR,KLL-LLLL,75
56653.0,1.1395999988181774e-07,QR,KLL-LLLL,75
47123.0,0.600261432378894,DR,K-LL,76
49245.0,3.1832026894305416,DR,K-LL,76
49249.0,0.15686150387862147,DR,K-LL,76
49281.0,0.018221341349383656,DR,K-LL,76
49333.0,2.8450445663482724,DR,K-LL,76
