DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
35050.0,0.5751004293380251,DR,K-LL,59
34824.0,1.1301791920823825,DR,K-LL,60
34865.0,0.6335508995219247,DR,K-LL,60
35769.0,0.00025378960337865567,TR,KL-LLL,60
35791.0,1.0289997375381324e-05,TR,KL-LLL,60
36079.0,0.00014102988789690957,TR,KL-LLL,60
36198.0,0.00024637897597086034,TR,KL-LLL,60
34604.0,2.0534191708443013,DR,K-LL,61
34657.0,1.206637063718273,DR,K-LL,61
34678.0,0.49308856595339634,DR,K-LL,61
35556.0,0.0004329196285629861,TR,KL-LLL,61
35563.0,2.9848998915983763e-05,TR,KL-LLL,61
35586.0,8.75709843142144e-05,TR,KL-LLL,61
35616.0,0.0005732795961203928,TR,KL-LLL,61
35791.0,4.5715999999781726e-09,TR,KL-LLL,61
35860.0,0.0001534099751870577,TR,KL-LLL,61
35908.0,0.0002793798552433714,TR,KL-LLL,61
35958.0,0.0011909981094378715,TR,KL-LLL,61
36545.0,2.576299997995412e-07,QR,KLL-LLLL,61
36773.0,3.871299995933232e-07,QR,KLL-LLLL,61
36789.0,1.8102999961773097e-06,QR,KLL-LLLL,61
36909.0,6.287399989276833e-07,QR,KLL-LLLL,61
37162.0,2.4034999875420033e-06,QR,KLL-LLLL,61
33500.0,2.36772054706797,DR,K-LL,62
33544.0,1.9257384719242265,DR,K-LL,62
34429.0,0.9770553494079726,DR,K-LL,62
34441.0,1.23049104639959,DR,K-LL,62
34471.0,0.4695058387557409,DR,K-LL,62
34506.0,0.7777996897264932,DR,K-LL,62
34507.0,0.39875134329957385,DR,K-LL,62
34530.0,0.13286095639988418,DR,K-LL,62
34607.0,0.0,TR,KL-LLL,62
34693.0,1.5137999958045878e-06,TR,KL-LLL,62
34723.0,0.00032844955711719203,TR,KL-LLL,62
34757.0,1.111599996693715e-06,TR,KL-LLL,62
34795.0,3.492799996646294e-07,TR,KL-LLL,62
34847.0,0.001361778643912654,TR,KL-LLL,62
35426.0,0.00010112995412596475,TR,KL-LLL,62
35468.0,0.0004440993375633524,TR,KL-LLL,62
35575.0,9.391199695006867e-06,TR,KL-LLL,62
35601.0,0.0,TR,KL-LLL,62
35641.0,2.620499791900729e-05,TR,KL-LLL,62
35671.0,0.0001800199348402014,TR,KL-LLL,62
35700.0,0.00010473991229785327,TR,KL-LLL,62
35707.0,0.0002958297526323343,TR,KL-LLL,62
35762.0,0.0005250185235856775,TR,KL-LLL,62
35766.0,0.0007713584374791742,TR,KL-LLL,62
35951.0,8.613399981432109e-07,QR,KLL-LLLL,62
