DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
21233.0,0.9010508775514185,DR,K-LL,45
21060.0,1.8456522100181705,DR,K-LL,46
21090.0,1.0657894441254776,DR,K-LL,46
21403.0,0.0029241181605157364,TR,KL-LLL,46
21406.0,2.6775971577645902e-05,TR,KL-LLL,46
21630.0,0.0005744970381799323,TR,KL-LLL,46
21709.0,0.001027871666192545,TR,KL-LLL,46
20889.0,3.448057699407744,DR,K-LL,47
20929.0,2.128261484221476,DR,K-LL,47
20942.0,0.9366284791298511,DR,K-LL,47
21227.0,0.004622728233208674,TR,KL-LLL,47
21241.0,0.0006495792037856087,TR,KL-LLL,47
21255.0,0.0017817896469270937,TR,KL-LLL,47
21273.0,0.006089032302951783,TR,KL-LLL,47
21406.0,5.083799999957374e-09,TR,KL-LLL,47
21454.0,0.0006454492764446417,TR,KL-LLL,47
21492.0,0.0011739959136368519,TR,KL-LLL,47
21520.0,0.005231643581363221,TR,KL-LLL,47
21598.0,3.7235999366036e-06,QR,KLL-LLLL,47
21765.0,9.066199657699212e-06,QR,KLL-LLLL,47
21789.0,4.347099662494188e-05,QR,KLL-LLLL,47
21859.0,5.898399850084772e-06,QR,KLL-LLLL,47
22057.0,2.397899805058616e-05,QR,KLL-LLLL,47
20420.0,3.495878265802196,DR,K-LL,48
20455.0,2.826369615729323,DR,K-LL,48
20739.0,1.886723443335578,DR,K-LL,48
20756.0,2.0776230809635012,DR,K-LL,48
20776.0,0.8080559452759868,DR,K-LL,48
20798.0,1.3966950951457986,DR,K-LL,48
20803.0,0.7974039095387635,DR,K-LL,48
20806.0,0.26554699997599396,DR,K-LL,48
20873.0,0.0,TR,KL-LLL,48
20936.0,1.2837999499900287e-05,TR,KL-LLL,48
20957.0,0.0012597890121155333,TR,KL-LLL,48
20985.0,3.6047994356608306e-05,TR,KL-LLL,48
21004.0,9.209999964528326e-07,TR,KL-LLL,48
21042.0,0.004620826269832737,TR,KL-LLL,48
21112.0,0.0017049806026492647,TR,KL-LLL,48
21143.0,0.004555592071530522,TR,KL-LLL,48
21223.0,5.963698114510331e-05,TR,KL-LLL,48
21251.0,0.0,TR,KL-LLL,48
21271.0,0.00018849982571121616,TR,KL-LLL,48
21299.0,0.0006350587468984016,TR,KL-LLL,48
21321.0,0.0006122252453712792,TR,KL-LLL,48
21326.0,0.00169078718554657,TR,KL-LLL,48
21350.0,0.002337857889684852,TR,KL-LLL,48
21358.0,0.0039391338991356505,TR,KL-LLL,48
21502.0,2.6582999721524324e-06,QR,KLL-LLLL,48
21534.0,4.311799925568203e-06,QR,KLL-LLLL,48
21638.0,2.695199576816168e-05,QR,KLL-LLLL,48
21711.0,5.167699443253562e-06,QR,KLL-LLLL,48
21853.0,2.8119996245485426e-05,QR,KLL-LLLL,48
21856.0,9.343298285307641e-06,QR,KLL-LLLL,48
19938.0,1.0185330335857676,DR,K-LL,49
20257.0,0.03525367378103025,DR,K-LL,49
20270.0,6.930527468988494,DR,K-LL,49
20289.0,0.03409802230373799,DR,K-LL,49
20306.0,5.93209356707429,DR,K-LL,49
20357.0,5.902099999856846e-09,TR,KL-LLL,49
20418.0,0.006079717518487911,TR,KL-LLL,49
20451.0,0.01452805513081475,TR,KL-LLL,49
20483.0,0.08258450412240821,TR,KL-LLL,49
20609.0,4.325635942894993,DR,K-LL,49
20649.0,2.312753047630987,DR,K-LL,49
20665.0,1.1767519169508829,DR,K-LL,49
20673.0,8.166599999707796e-09,TR,KL-LLL,49
20737.0,0.0006879190681354064,TR,KL-LLL,49
20765.0,5.740897549936819e-05,TR,KL-LLL,49
20766.0,3.247799999842723e-08,TR,KL-LLL,49
20784.0,0.004742237255733097,TR,KL-LLL,49
20800.0,0.0002790097405345526,TR,KL-LLL,49
20803.0,0.0002585798538501451,TR,KL-LLL,49
20820.0,1.7361998858831163e-05,TR,KL-LLL,49
20827.0,2.3192999987116702e-07,TR,KL-LLL,49
20862.0,0.010495303083049535,TR,KL-LLL,49
20928.0,3.7426999649102344e-06,QR,KLL-LLLL,49
20970.0,2.6821998847131297e-05,QR,KLL-LLLL,49
20990.0,0.0007667471109868008,QR,KLL-LLLL,49
21079.0,4.477699999948732e-09,TR,KL-LLL,49
21130.0,0.0010495975858943046,TR,KL-LLL,49
21169.0,0.0021863826942048713,TR,KL-LLL,49
21190.0,0.00866329914131322,TR,KL-LLL,49
