DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
18040.0,1.013401168949246,DR,K-LL,41
17881.0,2.1096480254728514,DR,K-LL,42
17908.0,1.2258332030373957,DR,K-LL,42
18128.0,2.8130963065143706e-05,TR,KL-LLL,42
18128.0,0.006189174518756835,TR,KL-LLL,42
18334.0,0.0008516623408032489,TR,KL-LLL,42
18403.0,0.0015327259051083942,TR,KL-LLL,42
17724.0,4.038521929681022,DR,K-LL,43
17761.0,2.517567606575886,DR,K-LL,43
17772.0,1.123159649856964,DR,K-LL,43
17964.0,0.010262586084734087,TR,KL-LLL,43
17979.0,0.001484595165118956,TR,KL-LLL,43
17991.0,0.0043368278373707835,TR,KL-LLL,43
18006.0,0.012560666536785585,TR,KL-LLL,43
18128.0,5.120599999949249e-09,TR,KL-LLL,43
18170.0,0.0010102978661049502,TR,KL-LLL,43
18205.0,0.0017709889721257079,TR,KL-LLL,43
18229.0,0.007903351567167313,TR,KL-LLL,43
18235.0,9.287299546891585e-06,QR,KLL-LLLL,43
18387.0,2.59719967783445e-05,QR,KLL-LLLL,43
18412.0,0.0001193999704629331,QR,KLL-LLLL,43
18471.0,1.3327999095554794e-05,QR,KLL-LLLL,43
18653.0,4.640999143544663e-05,QR,KLL-LLLL,43
17361.0,3.8445705435934148,DR,K-LL,44
17393.0,3.21867407901118,DR,K-LL,44
17583.0,2.3678243682062377,DR,K-LL,44
17601.0,2.4379883650619196,DR,K-LL,44
17618.0,0.9413965665847033,DR,K-LL,44
17637.0,1.675503402434163,DR,K-LL,44
17642.0,0.9809728711290732,DR,K-LL,44
17643.0,0.32656475188670947,DR,K-LL,44
17705.0,0.0,TR,KL-LLL,44
17762.0,2.5964997506123096e-05,TR,KL-LLL,44
17780.0,0.001767373574965093,TR,KL-LLL,44
17807.0,9.773895085699319e-05,TR,KL-LLL,44
17822.0,1.0791999945035488e-06,TR,KL-LLL,44
17856.0,0.003995478981924808,TR,KL-LLL,44
17857.0,0.006640018092655125,TR,KL-LLL,44
17884.0,0.009466559918603207,TR,KL-LLL,44
17957.0,0.00011071992581208767,TR,KL-LLL,44
17985.0,0.0,TR,KL-LLL,44
18001.0,0.00035693926285744254,TR,KL-LLL,44
18027.0,0.0009035870277343885,TR,KL-LLL,44
18047.0,0.0011005818238933888,TR,KL-LLL,44
18051.0,0.0030115514974680766,TR,KL-LLL,44
18071.0,0.0034562988193030963,TR,KL-LLL,44
18078.0,0.006355496310996197,TR,KL-LLL,44
18211.0,3.353499948038929e-06,QR,KLL-LLLL,44
18239.0,6.103999823064644e-06,QR,KLL-LLLL,44
18270.0,7.502096256743183e-05,QR,KLL-LLLL,44
18331.0,1.2478996144927338e-05,QR,KLL-LLLL,44
18463.0,1.9660991098634065e-05,QR,KLL-LLLL,44
18463.0,5.921198077487586e-05,QR,KLL-LLLL,44
16989.0,1.110375539059141,DR,K-LL,45
17210.0,0.06957087596544982,DR,K-LL,45
17224.0,7.715614527352119,DR,K-LL,45
17241.0,0.048930150633823964,DR,K-LL,45
17255.0,6.738679828203747,DR,K-LL,45
17299.0,6.594799999766153e-09,TR,KL-LLL,45
17356.0,0.0065275875966914025,TR,KL-LLL,45
17385.0,0.015989585444773455,TR,KL-LLL,45
17414.0,0.09288335854741178,TR,KL-LLL,45
17463.0,5.32110054331535,DR,K-LL,45
17500.0,2.7429670142655094,DR,K-LL,45
17513.0,1.4731645407169391,DR,K-LL,45
17521.0,8.34009999965508e-09,TR,KL-LLL,45
17579.0,0.001482994843844693,TR,KL-LLL,45
17603.0,0.0001068498988238504,TR,KL-LLL,45
17606.0,4.0860999997074035e-08,TR,KL-LLL,45
17622.0,0.00762050880772835,TR,KL-LLL,45
17638.0,0.0005329689084960367,TR,KL-LLL,45
17640.0,0.0005722591083497095,TR,KL-LLL,45
17653.0,5.078898970690275e-05,TR,KL-LLL,45
17660.0,2.609599998093277e-07,TR,KL-LLL,45
17691.0,0.01584616445516269,TR,KL-LLL,45
17753.0,8.729599773494769e-06,QR,KLL-LLLL,45
17790.0,3.100799816657213e-05,QR,KLL-LLLL,45
17808.0,0.0011759918743748487,QR,KLL-LLLL,45
17824.0,5.336399999918471e-09,TR,KL-LLL,45
17870.0,0.0017502922260851936,TR,KL-LLL,45
17906.0,0.0037065430071717134,TR,KL-LLL,45
17921.0,0.014674962926432136,TR,KL-LLL,45
17997.0,1.4615999184911891e-05,QR,KLL-LLLL,45
18012.0,6.546099990862951e-07,QR,KLL-LLLL,45
18024.0,4.227199993384348e-07,QR,KLL-LLLL,45
