DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
47890.0,0.4106774024828549,DR,K-LL,69
47625.0,0.7917607045952393,DR,K-LL,70
47674.0,0.43198880374215803,DR,K-LL,70
49392.0,4.90109884827668e-05,TR,KL-LLL,70
49437.0,4.507899612371473e-06,TR,KL-LLL,70
49768.0,5.2910987794915776e-05,TR,KL-LLL,70
49927.0,9.040289323616752e-05,TR,KL-LLL,70
47369.0,1.4442035414111654,DR,K-LL,71
47432.0,0.8108344839085107,DR,K-LL,71
47460.0,0.30669035664956196,DR,K-LL,71
49156.0,9.77729866373425e-05,TR,KL-LLL,71
49156.0,1.5122999978252216e-06,TR,KL-LLL,71
49187.0,7.827899903072912e-06,TR,KL-LLL,71
49233.0,0.0001184499856837965,TR,KL-LLL,71
49435.0,3.941699999987377e-09,TR,KL-LLL,71
49519.0,5.91939971560129e-05,TR,KL-LLL,71
49576.0,0.00010456998428084123,TR,KL-LLL,71
49652.0,0.0004226298148027421,TR,KL-LLL,71
50987.0,5.488499999282596e-08,QR,KLL-LLLL,71
51264.0,6.701399999049247e-08,QR,KLL-LLLL,71
51268.0,3.021299999160256e-07,QR,KLL-LLLL,71
51438.0,1.9038999992314462e-07,QR,KLL-LLLL,71
51728.0,5.420099995047232e-07,QR,KLL-LLLL,71
45422.0,1.7801621304796555,DR,K-LL,72
45473.0,1.5382557753309265,DR,K-LL,72
47187.0,0.6489266391020404,DR,K-LL,72
47190.0,0.8627116005439359,DR,K-LL,72
47230.0,0.31717347660476214,DR,K-LL,72
47273.0,0.24356451094967319,DR,K-LL,72
47280.0,0.5260541883857043,DR,K-LL,72
47319.0,0.08110133653839297,DR,K-LL,72
47397.0,0.0,TR,KL-LLL,72
47500.0,5.24809999611709e-07,TR,KL-LLL,72
47538.0,0.0001250699510961483,TR,KL-LLL,72
47577.0,2.333299998885112e-07,TR,KL-LLL,72
47637.0,1.7887999993193174e-07,TR,KL-LLL,72
47701.0,0.0006278864464020297,TR,KL-LLL,72
49031.0,1.265999943284097e-05,TR,KL-LLL,72
49081.0,9.716997529152695e-05,TR,KL-LLL,72
49211.0,2.6049999820972417e-06,TR,KL-LLL,72
49228.0,0.0,TR,KL-LLL,72
49288.0,8.31559983946807e-06,TR,KL-LLL,72
49317.0,7.386599126300173e-05,TR,KL-LLL,72
49351.0,3.51219923297085e-05,TR,KL-LLL,72
49362.0,9.992397798234749e-05,TR,KL-LLL,72
49450.0,0.0002566798674839724,TR,KL-LLL,72
49451.0,0.0001843198553824614,TR,KL-LLL,72
49662.0,3.4014999977436084e-07,QR,KLL-LLLL,72
49712.0,1.8034999993740784e-07,QR,KLL-LLLL,72
51114.0,1.4870999993106477e-07,QR,KLL-LLLL,72
51274.0,1.2105999985468112e-07,QR,KLL-LLLL,72
51462.0,5.018999993833091e-07,QR,KLL-LLLL,72
51508.0,1.7384999970643033e-07,QR,KLL-LLLL,72
43417.0,0.6298850167807609,DR,K-LL,73
45194.0,3.4669002177936235,DR,K-LL,73
45195.0,0.11227877730573552,DR,K-LL,73
45227.0,0.01796331369046899,DR,K-LL,73
45273.0,3.087978369396673,DR,K-LL,73
45358.0,1.7565999999950341e-09,TR,KL-LLL,73
45447.0,0.0030608899164746195,TR,KL-LLL,73
45504.0,0.006692414000729726,TR,KL-LLL,73
45581.0,0.0376147037866167,TR,KL-LLL,73
47015.0,1.5825028178556766,DR,K-LL,73
47079.0,0.8662893225092276,DR,K-LL,73
47108.0,0.3412476083916239,DR,K-LL,73
47124.0,7.848999999874918e-09,TR,KL-LLL,73
47218.0,2.345399948363402e-05,TR,KL-LLL,73
47255.0,5.116999999979525e-09,TR,KL-LLL,73
47277.0,1.6039999912010508e-06,TR,KL-LLL,73
47278.0,0.0003308298520744102,TR,KL-LLL,73
47304.0,6.871699921151801e-06,TR,KL-LLL,73
47316.0,1.098399988622086e-05,TR,KL-LLL,73
47388.0,8.369699999223805e-08,TR,KL-LLL,73
47391.0,5.4178999992908036e-08,TR,KL-LLL,73
47452.0,0.0012501949134468998,TR,KL-LLL,73
47535.0,3.246999873796673e-05,QR,KLL-LLLL,73
47599.0,8.073299950449924e-06,QR,KLL-LLLL,73
47632.0,0.00012743996229822702,QR,KLL-LLLL,73
49020.0,7.777399999991334e-10,TR,KL-LLL,73
49106.0,7.326999395345282e-05,TR,KL-LLL,73
49164.0,0.00013621996463539771,TR,KL-LLL,73
49239.0,0.0005089995347459435,TR,KL-LLL,73
49354.0,2.420599999450853e-07,QR,KLL-LLLL,73
49354.0,7.182499992906068e-07,QR,KLL-LLLL,73
49386.0,2.760599999881478e-08,QR,KLL-LLLL,73
49432.0,4.2057999982272746e-07,QR,KLL-LLLL,73
51233.0,7.693299986105058e-07,QR,KLL-LLLL,73
42997.0,1.2587124610130067,DR,K-LL,74
43044.0,0.09607877104925372,DR,K-LL,74
43145.0,0.26857564382893073,DR,K-LL,74
43313.0,0.09219722042815395,DR,K-LL,74
44834.0,1.0811296956693273,DR,K-LL,74
44886.0,0.2713060315476105,DR,K-LL,74
44901.0,0.08420720518191377,DR,K-LL,74
44918.0,2.060268881186215,DR,K-LL,74
44983.0,0.15766142160467994,DR,K-LL,74
45011.0,1.8319222674246516,DR,K-LL,74
45048.0,0.002209057748861448,DR,K-LL,74
45057.0,0.9820527385007456,DR,K-LL,74
