DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
2766.0,0.3071437885753505,DR,K-LL,11
2722.0,0.12932015612853637,DR,K-LL,12
2724.2999999999997,0.05434504560312327,DR,K-LL,12
2726.1,0.010386371643502595,DR,K-LL,12
2735.6,0.061163296669648703,DR,K-LL,12
2795.3,0.0003920455783453355,TR,KL-LLL,12
2813.6,0.000706961354160007,TR,KL-LLL,12
2660.0,12.484451146867457,DR,K-LL,13
2662.6,2.5326012221233816,TR,KL-LLL,13
2663.5,2.2297466982394964,TR,KL-LLL,13
2676.7000000000003,3.0892396243607387,DR,K-LL,13
2677.1,0.041228590936799196,TR,KL-LLL,13
2680.7999999999997,6.835818070161702,TR,KL-LLL,13
2681.6,1.4522825362685974,TR,KL-LLL,13
2687.6,0.008115513923962302,QR,KLL-LLLL,13
2720.4,0.0,TR,KL-LLL,13
2722.5,0.0372019672542893,TR,KL-LLL,13
2724.1,0.008633827181889826,QR,KLL-LLLL,13
2744.5,0.03959477676150761,TR,KL-LLL,13
2745.8,0.04377891946608162,TR,KL-LLL,13
2757.9,0.02220726350193646,TR,KL-LLL,13
2759.3,0.008443207752566139,QR,KLL-LLLL,13
2818.9,0.00034353597893329956,QR,KLL-LLLL,13
2594.5,0.08387365483593102,DR,K-LL,14
2615.1,8.942806480871054,DR,K-LL,14
2615.2000000000003,5.833989794343104,DR,K-LL,14
2615.3,7.844403062598277,DR,K-LL,14
2620.5,1.2809931426350412,DR,K-LL,14
2622.2,1.3202666273763812,DR,K-LL,14
2622.2000000000003,5.513496907021726,TR,KL-LLL,14
2623.2999999999997,3.183366110491264,DR,K-LL,14
2629.6,7.59328856909422,DR,K-LL,14
2635.9,4.341362444902231,TR,KL-LLL,14
2640.8,0.0,TR,KL-LLL,14
2643.2000000000003,6.71819669487475e-06,TR,KL-LLL,14
2644.4,0.00017023646894730708,QR,KLL-LLLL,14
2671.2999999999997,0.019397907074836615,TR,KL-LLL,14
2672.6,0.023809327306291126,TR,KL-LLL,14
2672.7,0.0,TR,KL-LLL,14
2673.6,0.01098953496898361,TR,KL-LLL,14
2674.5,0.00769977247696464,TR,KL-LLL,14
2674.9,0.008535958258866383,TR,KL-LLL,14
2687.1,0.08405826457752309,TR,KL-LLL,14
2691.7000000000003,0.010114688406185447,TR,KL-LLL,14
2694.2999999999997,0.16690860427320267,TR,KL-LLL,14
2695.7999999999997,0.0872878458202533,TR,KL-LLL,14
2695.9,0.08621667161349286,TR,KL-LLL,14
2705.5,0.038140570929470805,TR,KL-LLL,14
2707.8,0.05356784080148181,QR,KLL-LLLL,14
2739.7,6.2166985201254005e-06,QR,KLL-LLLL,14
2742.1,0.0044657501634254625,QR,KLL-LLLL,14
2744.0,0.002812485044291935,QR,KLL-LLLL,14
2754.6,0.004009296893985565,QR,KLL-LLLL,14
2550.6,0.18094323607443635,DR,K-LL,15
2552.4,0.046727138222905515,DR,K-LL,15
2554.1,0.6501411284449308,DR,K-LL,15
2558.2000000000003,0.0,TR,KL-LLL,15
2569.7000000000003,17.794807035416348,DR,K-LL,15
2570.0,24.126932989885496,DR,K-LL,15
2572.0,1.4209551599708772,DR,K-LL,15
