DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
24744.0,0.7958688155189033,DR,K-LL,49
24555.0,1.6071711909946838,DR,K-LL,50
24589.0,0.9211557346560609,DR,K-LL,50
25023.0,0.0014184832271529352,TR,KL-LLL,50
25030.0,2.1735983860619088e-05,TR,KL-LLL,50
25273.0,0.0003847688541764036,TR,KL-LLL,50
25362.0,0.0006839191761530504,TR,KL-LLL,50
24371.0,2.9591255222779265,DR,K-LL,51
24415.0,1.8044352254097884,DR,K-LL,51
24430.0,0.780376603322462,DR,K-LL,51
24836.0,0.0022238857712021803,TR,KL-LLL,51
24849.0,0.00028088987035175734,TR,KL-LLL,51
24865.0,0.0007509684145401447,TR,KL-LLL,51
24885.0,0.003028385308068727,TR,KL-LLL,51
25030.0,4.9928999999644494e-09,TR,KL-LLL,51
25085.0,0.00042044973921657796,TR,KL-LLL,51
25125.0,0.0007756684664911775,TR,KL-LLL,51
25158.0,0.0034317787870286813,TR,KL-LLL,51
25335.0,1.604899989650218e-06,QR,KLL-LLLL,51
25519.0,3.360499958776918e-06,QR,KLL-LLLL,51
25541.0,1.6546999572674147e-05,QR,KLL-LLLL,51
25624.0,2.8958999688801638e-06,QR,KLL-LLLL,51
25838.0,1.2305999555693838e-05,QR,KLL-LLLL,51
23768.0,3.142266199244698,DR,K-LL,52
23805.0,2.506925373549005,DR,K-LL,52
24212.0,1.5364094851661463,DR,K-LL,52
24229.0,1.779821543142249,DR,K-LL,52
24251.0,0.692336404214642,DR,K-LL,52
24276.0,1.173421228579165,DR,K-LL,52
24281.0,0.6515349223305892,DR,K-LL,52
24288.0,0.21704140640406241,DR,K-LL,52
24359.0,0.0,TR,KL-LLL,52
24428.0,6.501099891576487e-06,TR,KL-LLL,52
24452.0,0.0008695855944160459,TR,KL-LLL,52
24482.0,1.3086999362475582e-05,TR,KL-LLL,52
24505.0,7.062399981583098e-07,TR,KL-LLL,52
24546.0,0.003220440316809278,TR,KL-LLL,52
24715.0,0.0007497466778892498,TR,KL-LLL,52
24749.0,0.0022679766690967326,TR,KL-LLL,52
24836.0,3.399399460828913e-05,TR,KL-LLL,52
24864.0,0.0,TR,KL-LLL,52
24890.0,0.00010280995548170305,TR,KL-LLL,52
24918.0,0.0004432194699093313,TR,KL-LLL,52
24942.0,0.0003558486158626439,TR,KL-LLL,52
24948.0,0.0009887362319900065,TR,KL-LLL,52
24979.0,0.0015384835594801202,TR,KL-LLL,52
24986.0,0.0024512780509497196,TR,KL-LLL,52
25142.0,1.9879999865213535e-06,QR,KLL-LLLL,52
25177.0,2.825999972562811e-06,QR,KLL-LLLL,52
25383.0,1.0088999475724674e-05,QR,KLL-LLLL,52
25468.0,2.2377999105863373e-06,QR,KLL-LLLL,52
25619.0,1.3477999245271766e-05,QR,KLL-LLLL,52
25627.0,4.4836996582830125e-06,QR,KLL-LLLL,52
23147.0,0.9327332858232971,DR,K-LL,53
23594.0,0.011132562469168099,DR,K-LL,53
23605.0,6.18522893063965,DR,K-LL,53
23626.0,0.026135448048349646,DR,K-LL,53
23646.0,5.271156213444305,DR,K-LL,53
23704.0,5.0140999999169485e-09,TR,KL-LLL,53
23769.0,0.005560140650876634,TR,KL-LLL,53
23806.0,0.012949375083714642,TR,KL-LLL,53
23842.0,0.0726122867459846,TR,KL-LLL,53
24073.0,3.575225896044902,DR,K-LL,53
24117.0,1.9554529499814777,DR,K-LL,53
24135.0,0.9483541630296193,DR,K-LL,53
24144.0,7.857399999762378e-09,TR,KL-LLL,53
24213.0,0.000345049799003532,TR,KL-LLL,53
24244.0,2.4602999999215848e-08,TR,KL-LLL,53
24245.0,2.640199557711234e-05,TR,KL-LLL,53
24263.0,0.002960178939521012,TR,KL-LLL,53
24280.0,0.00014547993834864163,TR,KL-LLL,53
24285.0,0.00012988996940239245,TR,KL-LLL,53
24307.0,5.606799888287979e-06,TR,KL-LLL,53
24314.0,2.023699999155674e-07,TR,KL-LLL,53
24353.0,0.007055624437534602,TR,KL-LLL,53
24423.0,2.306399988573612e-06,QR,KLL-LLLL,53
24469.0,1.8336999538558782e-05,QR,KLL-LLLL,53
24490.0,0.0005096589098376759,QR,KLL-LLLL,53
24682.0,3.4580999999725557e-09,TR,KL-LLL,53
24738.0,0.000647249197257304,TR,KL-LLL,53
24780.0,0.0013145944858148025,TR,KL-LLL,53
24807.0,0.005199108193502968,TR,KL-LLL,53
24897.0,7.724299832518252e-06,QR,KLL-LLLL,53
24910.0,1.3373999997128993e-07,QR,KLL-LLLL,53
24927.0,2.6484999980798885e-07,QR,KLL-LLLL,53
24947.0,1.559599962036947e-05,QR,KLL-LLLL,53
25416.0,2.5331997471667585e-05,QR,KLL-LLLL,53
22868.0,1.4432015699099412,DR,K-LL,54
22877.0,0.09816358737266642,DR,K-LL,54
22959.0,0.3922299838158352,DR,K-LL,54
23058.0,0.13997484039221847,DR,K-LL,54
23341.0,1.4952031133181727,DR,K-LL,54
23378.0,0.41260980676918757,DR,K-LL,54
23381.0,0.19735879480195567,DR,K-LL,54
23409.0,3.5213612613563967,DR,K-LL,54
23446.0,0.41170272196675334,DR,K-LL,54
23470.0,3.1615163132145545,DR,K-LL,54
23499.0,4.959099960168227e-07,DR,K-LL,54
23500.0,1.6412125720426554,DR,K-LL,54
23533.0,0.25742741187331547,DR,K-LL,54
23540.0,2.9609670637576286,DR,K-LL,54
23617.0,0.05988311065287956,TR,KL-LLL,54
23655.0,0.012422306262595106,TR,KL-LLL,54
23880.0,2.441209209745282,DR,K-LL,54
23951.0,1.3323135420509635,DR,K-LL,54
23978.0,0.600047066592533,DR,K-LL,54
24006.0,0.5888419202364783,DR,K-LL,54
24024.0,1.3838869566102099,DR,K-LL,54
24064.0,0.00011209989165574032,TR,KL-LLL,54
24068.0,0.20662922630890726,DR,K-LL,54
24104.0,9.470299996532477e-08,TR,KL-LLL,54
24129.0,1.3879999478204715e-05,TR,KL-LLL,54
24141.0,0.0034012276144745964,TR,KL-LLL,54
24149.0,0.0017564047731078861,TR,KL-LLL,54
24588.0,0.003009947533740017,TR,KL-LLL,54
24623.0,0.0006091183667336125,TR,KL-LLL,54
22645.0,2.6210109109579465,DR,K-LL,55
22680.0,0.0005018106252120957,DR,K-LL,55
22695.0,0.5556307799610103,DR,K-LL,55
22790.0,3.2513079454508853,DR,K-LL,55
22848.0,0.0914896130226173,DR,K-LL,55
23153.0,0.0,DR,K-LL,55
23218.0,0.36209201049933704,DR,K-LL,55
23258.0,1.0177322571209315,DR,K-LL,55
23289.0,4.298512666672484,DR,K-LL,55
23296.0,0.012214323399575953,DR,K-LL,55
23307.0,6.7394186815263835,DR,K-LL,55
23329.0,0.020970426432841964,DR,K-LL,55
23349.0,5.7482982705463215,DR,K-LL,55
23793.0,3.8314794341597964,DR,K-LL,55
23839.0,2.0947715929512696,DR,K-LL,55
23865.0,0.6679434296496919,DR,K-LL,55
