DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
39854.0,0.503284234124054,DR,K-LL,63
39612.0,0.9808066208102679,DR,K-LL,64
39656.0,0.5442487311106294,DR,K-LL,64
40835.0,0.00013062990547189226,TR,KL-LLL,64
40865.0,7.413298780872818e-06,TR,KL-LLL,64
41171.0,9.493395446119574e-05,TR,KL-LLL,64
41305.0,0.00016410959248972816,TR,KL-LLL,64
39378.0,1.7822728642642252,DR,K-LL,65
39435.0,1.0294496899940957,DR,K-LL,65
39458.0,0.4090545735647,DR,K-LL,65
40612.0,0.0002365299038837636,TR,KL-LLL,65
40618.0,1.064399987582698e-05,TR,KL-LLL,65
40643.0,3.567299766653824e-05,TR,KL-LLL,65
40678.0,0.0003022998966597019,TR,KL-LLL,65
40865.0,4.340299999982321e-09,TR,KL-LLL,65
40940.0,0.00010435998973604087,TR,KL-LLL,65
40992.0,0.00018768994139087107,TR,KL-LLL,65
41051.0,0.0007839192634594522,TR,KL-LLL,65
41887.0,1.3501999995020116e-07,QR,KLL-LLLL,65
42134.0,1.830799999181053e-07,QR,KLL-LLLL,65
42146.0,8.295299992742991e-07,QR,KLL-LLLL,65
42284.0,3.761199996547092e-07,QR,KLL-LLLL,65
42553.0,1.2960999967391796e-06,QR,KLL-LLLL,65
37986.0,2.1117985677297257,DR,K-LL,66
38033.0,1.753353655065573,DR,K-LL,66
39198.0,0.827148448625959,DR,K-LL,66
39207.0,1.0664926645616584,DR,K-LL,66
39241.0,0.4016677858648174,DR,K-LL,66
39280.0,0.3280261225825742,DR,K-LL,66
39281.0,0.6640582491670047,DR,K-LL,66
39310.0,0.10927281624063774,DR,K-LL,66
39389.0,0.0,TR,KL-LLL,66
39482.0,9.36709998563673e-07,TR,KL-LLL,66
39515.0,0.0002223398193628676,TR,KL-LLL,66
39551.0,4.921499994215099e-07,TR,KL-LLL,66
39597.0,2.661799998250482e-07,TR,KL-LLL,66
39653.0,0.0009877798656060981,TR,KL-LLL,66
40483.0,4.4890991816341884e-05,TR,KL-LLL,66
40528.0,0.00023904982725927673,TR,KL-LLL,66
40644.0,5.702599899395363e-06,TR,KL-LLL,66
40667.0,0.0,TR,KL-LLL,66
40714.0,1.610199929850978e-05,TR,KL-LLL,66
40744.0,0.00012592997109881813,TR,KL-LLL,66
40775.0,6.688496786586569e-05,TR,KL-LLL,66
40784.0,0.00018952990862861898,TR,KL-LLL,66
40850.0,0.0003436394256251323,TR,KL-LLL,66
40853.0,0.000493429429174776,TR,KL-LLL,66
41049.0,5.961699992000918e-07,QR,KLL-LLLL,66
41095.0,4.6340999952106453e-07,QR,KLL-LLLL,66
41982.0,4.77809999187502e-07,QR,KLL-LLLL,66
42116.0,2.423899993235917e-07,QR,KLL-LLLL,66
42296.0,1.2177999958372454e-06,QR,KLL-LLLL,66
42327.0,4.1724999804767874e-07,QR,KLL-LLLL,66
36553.0,0.7002591091010525,DR,K-LL,67
37774.0,0.04201083067396375,DR,K-LL,67
37778.0,4.1175598258699635,DR,K-LL,67
37807.0,0.018037195929257066,DR,K-LL,67
37842.0,3.621199048890995,DR,K-LL,67
37921.0,2.4377999999886345e-09,TR,KL-LLL,67
38002.0,0.0037353825670399868,TR,KL-LLL,67
38053.0,0.008182848129978375,TR,KL-LLL,67
38114.0,0.04556209560628911,TR,KL-LLL,67
39033.0,1.9909523992689246,DR,K-LL,67
39091.0,1.1042715837337354,DR,K-LL,67
39117.0,0.4632191877599048,DR,K-LL,67
39130.0,9.451599999781463e-09,TR,KL-LLL,67
39217.0,4.7018997586044644e-05,TR,KL-LLL,67
39253.0,1.0581999999900952e-08,TR,KL-LLL,67
39267.0,2.2523999997961533e-08,TR,KL-LLL,67
39276.0,0.0006186193999198581,TR,KL-LLL,67
39298.0,1.6710999459675402e-05,TR,KL-LLL,67
39307.0,2.070399952429895e-05,TR,KL-LLL,67
39362.0,1.916499999003492e-07,TR,KL-LLL,67
39363.0,1.1228999998354348e-07,TR,KL-LLL,67
39418.0,0.002008484930053565,TR,KL-LLL,67
39500.0,1.394799972973823e-05,QR,KLL-LLLL,67
39558.0,3.395399998980269e-07,QR,KLL-LLLL,67
39587.0,0.00016914992276344817,QR,KLL-LLLL,67
40460.0,1.220399999997573e-09,TR,KL-LLL,67
40537.0,0.00013596997608267028,TR,KL-LLL,67
40590.0,0.0002581598543638997,TR,KL-LLL,67
40647.0,0.0009836279537598512,TR,KL-LLL,67
40757.0,1.6081999956389078e-06,QR,KLL-LLLL,67
40762.0,3.268099998849022e-07,QR,KLL-LLLL,67
40789.0,8.502799998699496e-08,QR,KLL-LLLL,67
40824.0,1.4147999977811095e-06,QR,KLL-LLLL,67
