DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
1147.8,0.018025689830462165,DR,K-LL,4
1125.3,0.005219861571121009,DR,K-LL,5
1125.5,0.0028244248715167597,DR,K-LL,5
1125.8,0.0007361398073004405,DR,K-LL,5
1131.4,0.0034176318657775924,DR,K-LL,5
1163.1,2.775974973439072e-05,TR,KL-LLL,5
1172.5,4.876773777337341e-05,TR,KL-LLL,5
1090.3,7.4200592729901125,DR,K-LL,6
1090.6,2.4588279134673248,TR,KL-LLL,6
1090.7,1.9022537733500304,QR,KLL-LLLL,6
1098.8,0.0025947435236538486,TR,KL-LLL,6
1098.8999999999999,0.5123019170070455,DR,K-LL,6
1100.3,10.865946998328765,TR,KL-LLL,6
1100.5,2.054603946601871,TR,KL-LLL,6
1103.6,8.300697739081257e-05,DR,K-LL,6
1122.1,0.0,TR,KL-LLL,6
1122.4,0.08203247702584988,QR,KLL-LLLL,6
1122.6,0.016867195829592122,QR,KLL-LLLL,6
1134.4,0.06400444125773304,TR,KL-LLL,6
1134.6,0.11338653497491206,QR,KLL-LLLL,6
1143.2,0.01860365830576883,TR,KL-LLL,6
1143.3,0.023612692548710013,TR,KL-LLL,6
1175.5,4.2522794113964254e-05,QR,KLL-LLLL,6
1052.8999999999999,0.002103741482998708,DR,K-LL,7
1064.5,4.826935828321935,DR,K-LL,7
1064.6,3.8300082196535397,DR,K-LL,7
1064.6000000000001,2.3496175378837654,DR,K-LL,7
1067.3,1.4749320130364922,DR,K-LL,7
1067.7,3.841323117216168,TR,KL-LLL,7
1067.8,2.922265350357009,DR,K-LL,7
1067.8,0.7823295392932741,DR,K-LL,7
1071.8,8.613934083903299,DR,K-LL,7
1075.0,5.035496133247699,TR,KL-LLL,7
1078.0,0.0,TR,KL-LLL,7
1078.3,4.1115996031333654e-07,TR,KL-LLL,7
1078.5,1.6359895259328128e-05,QR,KLL-LLLL,7
1094.7,0.020768100420484464,TR,KL-LLL,7
1094.8999999999999,0.02706263592099365,TR,KL-LLL,7
1095.1,0.013427292722964846,TR,KL-LLL,7
1095.7,0.0,TR,KL-LLL,7
1095.8,0.05713650161915175,TR,KL-LLL,7
1095.8,0.060383316361536425,TR,KL-LLL,7
1103.8999999999999,0.11870988113310456,TR,KL-LLL,7
1106.5,0.20326819426231987,TR,KL-LLL,7
1108.6000000000001,0.16413524374894872,TR,KL-LLL,7
1108.8999999999999,0.2231056735031066,TR,KL-LLL,7
1109.0,0.11575009456199184,TR,KL-LLL,7
1114.5,0.07947801691018423,TR,KL-LLL,7
1114.7,0.15585351047332224,TR,KL-LLL,7
1133.4,1.3158978656206303e-05,QR,KLL-LLLL,7
1133.7,0.014587169031938432,QR,KLL-LLLL,7
1134.0,0.007575749611394402,QR,KLL-LLLL,7
1140.7,0.008336260458561612,QR,KLL-LLLL,7
1029.3,0.025730414950153536,DR,K-LL,8
1029.5,0.004748871771671838,DR,K-LL,8
1029.7,0.08467779106969948,DR,K-LL,8
1030.8999999999999,0.0,TR,KL-LLL,8
1039.1,11.063306677670644,DR,K-LL,8
1039.2,7.5145877381393635,DR,K-LL,8
1041.2,0.38115965979478134,DR,K-LL,8
1041.6000000000001,0.8613858065630787,DR,K-LL,8
1044.1,4.088206955638984,DR,K-LL,8
1052.1,0.0,TR,KL-LLL,8
1052.2,0.00013440758227410804,TR,KL-LLL,8
1052.2,0.00013422517512605469,TR,KL-LLL,8
1052.8,0.00011309960210973847,TR,KL-LLL,8
1057.8,3.878099999998733e-12,TR,KL-LLL,8
1057.9,1.928395309756767e-05,TR,KL-LLL,8
1057.9,9.944074992994023e-06,TR,KL-LLL,8
1066.4,1.3171999994747764e-08,TR,KL-LLL,8
1066.4,0.002137192279056217,TR,KL-LLL,8
1071.3,0.00683894598624891,TR,KL-LLL,8
1072.1,0.05788191358804676,TR,KL-LLL,8
1072.1,0.10908277232995428,TR,KL-LLL,8
1074.7,2.230399999633463e-09,TR,KL-LLL,8
1074.8,5.534396668145783e-06,TR,KL-LLL,8
1080.5,1.8474678856688889,TR,KL-LLL,8
1080.5,0.9144718923804228,TR,KL-LLL,8
1081.7,0.048287491934565115,TR,KL-LLL,8
1087.8,3.0268915116229226e-05,QR,KLL-LLLL,8
1088.1,4.576697089622213e-06,QR,KLL-LLLL,8
1088.3,8.098017758251006e-05,QR,KLL-LLLL,8
1097.5,0.007433079505515867,QR,KLL-LLLL,8
1097.7,0.0049234611335884715,QR,KLL-LLLL,8
1099.7,5.532290021368209e-05,QR,KLL-LLLL,8
1100.0,0.000121599040726497,QR,KLL-LLLL,8
1109.9,0.12101330493965073,QR,KLL-LLLL,8
985.17,0.06411049857406921,DR,K-LL,9
985.25,0.20177733448663634,DR,K-LL,9
985.61,0.32645269123514414,DR,K-LL,9
988.35,0.0009347401250742614,DR,K-LL,9
988.56,0.0009321630321181958,DR,K-LL,9
988.75,0.0016570777139125348,DR,K-LL,9
994.14,0.2574923449798677,DR,K-LL,9
1007.7999999999998,6.072304968873302,DR,K-LL,9
1007.7999999999998,5.013256057680991,DR,K-LL,9
1007.8,7.020289281862982,DR,K-LL,9
1007.8,0.0038001191324031915,DR,K-LL,9
1008.1,5.182993252117253,DR,K-LL,9
1008.3,5.518659000101651,DR,K-LL,9
1016.8,2.9293655324416346,DR,K-LL,9
1018.5,0.0006696736122922371,TR,KL-LLL,9
1020.1,5.02450774972731,DR,K-LL,9
1021.0,0.012045695335155671,DR,K-LL,9
1021.1,0.04978030522318317,DR,K-LL,9
1021.4,0.5357971928237605,DR,K-LL,9
1028.4,0.005494782188937847,DR,K-LL,9
1029.3,0.9996110011886403,DR,K-LL,9
1031.9,0.002979384396986327,TR,KL-LLL,9
1031.9,0.0010074734554248572,TR,KL-LLL,9
1035.7,0.0019888061644137683,TR,KL-LLL,9
1040.3,0.2593135853141411,TR,KL-LLL,9
1040.9,0.7467468001425231,TR,KL-LLL,9
1041.0,0.24898482127003302,TR,KL-LLL,9
1041.0,1.1481724995201477,TR,KL-LLL,9
1049.5,0.04144456152703191,TR,KL-LLL,9
946.57,0.5648753654098873,DR,K-LL,10
951.44,0.0001866071677739651,DR,K-LL,10
951.57,0.002510438827111497,DR,K-LL,10
951.9,0.0,DR,K-LL,10
968.4,2.673996021849982,DR,K-LL,10
968.67,3.494382767168384,DR,K-LL,10
973.04,0.00017216443693988403,DR,K-LL,10
973.28,0.003205561807552385,DR,K-LL,10
973.51,0.01045571216863532,DR,K-LL,10
976.21,1.0175340946490528,DR,K-LL,10
976.3,1.3860425601678958,DR,K-LL,10
984.4,13.523893735164748,DR,K-LL,10
984.53,9.15478481315559,DR,K-LL,10
987.33,0.007711690048683658,DR,K-LL,10
987.79,0.8998682754956371,DR,K-LL,10
999.4,3.0831516311370653,DR,K-LL,10
