DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
4705.7,0.85047440676903,DR,K-LL,17
4640.1,0.7741877764062979,DR,K-LL,18
4646.599999999999,0.3311772569763084,DR,K-LL,18
4653.7,0.015533111399391047,TR,KL-LLL,18
4663.7,0.19554857969627695,TR,KL-LLL,18
4750.2,0.001483394966715631,TR,KL-LLL,18
4776.7,0.002693372099122745,TR,KL-LLL,18
4558.3,11.226440072413514,DR,K-LL,19
4566.7,2.863597816258058,TR,KL-LLL,19
4568.8,2.0332595038598704,DR,K-LL,19
4583.0,3.7276517254349133,DR,K-LL,19
4586.7,0.068686751099966,TR,KL-LLL,19
4592.0,0.9573672834005849,TR,KL-LLL,19
4593.2,2.061501797206521,TR,KL-LLL,19
4607.5,0.008889606079230693,QR,KLL-LLLL,19
4648.6,0.0,TR,KL-LLL,19
4655.099999999999,0.018556702583218905,TR,KL-LLL,19
4660.5,0.00584244159925686,QR,KLL-LLLL,19
4684.400000000001,0.03253959301565031,TR,KL-LLL,19
4687.8,0.01763606569329122,TR,KL-LLL,19
4702.8,0.02071939188980115,QR,KLL-LLLL,19
4708.2,0.002595028356275206,QR,KLL-LLLL,19
4792.5,0.0005983537126574168,QR,KLL-LLLL,19
4467.8,0.5958733907650963,DR,K-LL,20
4493.599999999999,7.72634822734443,DR,K-LL,20
4494.8,10.898357908557353,DR,K-LL,20
4497.8,6.938114848095375,DR,K-LL,20
4504.400000000001,0.9877930566688812,DR,K-LL,20
4508.7,1.1714556218477752,DR,K-LL,20
4509.900000000001,5.177630933835113,TR,KL-LLL,20
4511.5,2.9441741506210035,DR,K-LL,20
4521.1,2.559924776859747,TR,KL-LLL,20
4531.0,1.7430335931071272,TR,KL-LLL,20
4535.5,0.0,TR,KL-LLL,20
4543.3,3.188996178317835e-05,TR,KL-LLL,20
4546.7,0.0006383345878345248,TR,KL-LLL,20
4577.900000000001,0.007093821032909905,TR,KL-LLL,20
4580.599999999999,0.009059893703495104,TR,KL-LLL,20
4582.7,0.0,TR,KL-LLL,20
4584.7,0.00569878734309838,TR,KL-LLL,20
4587.599999999999,0.002559271205421278,TR,KL-LLL,20
