DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
13163.0,1.2053469586497676,DR,K-LL,34
13030.0,2.5777894481742267,DR,K-LL,35
13052.0,1.504231262074729,DR,K-LL,35
13157.0,3.4409992325199418e-06,TR,KL-LLL,35
13162.0,0.0246659897668537,TR,KL-LLL,35
13331.0,0.00161926155864505,TR,KL-LLL,35
13386.0,0.002937922482371547,TR,KL-LLL,35
12897.0,5.401387568603335,DR,K-LL,36
12927.0,3.38529583448847,DR,K-LL,36
12935.0,1.5268973276664684,DR,K-LL,36
13021.0,0.05197010398068629,TR,KL-LLL,36
13036.0,0.006144388400398613,TR,KL-LLL,36
13043.0,0.02275525792679501,TR,KL-LLL,36
13055.0,0.04820838401458804,TR,KL-LLL,36
13157.0,5.025699999932506e-09,TR,KL-LLL,36
13171.0,5.895097610108283e-05,QR,KLL-LLLL,36
13189.0,0.0023271831917058595,TR,KL-LLL,36
13218.0,0.0035066370580859206,TR,KL-LLL,36
13237.0,0.015388270573606196,TR,KL-LLL,36
13298.0,0.00022596969253880356,QR,KLL-LLLL,36
13324.0,0.0007684183368540771,QR,KLL-LLLL,36
13364.0,5.755997616946976e-05,QR,KLL-LLLL,36
13518.0,0.00013866989442766107,QR,KLL-LLLL,36
12664.0,4.21825520118052,DR,K-LL,37
12693.0,4.155111099383271,DR,K-LL,37
12775.0,3.7922920285481823,DR,K-LL,37
12791.0,3.273493812351615,DR,K-LL,37
12805.0,1.2114802884184857,DR,K-LL,37
12820.0,2.363482682109632,DR,K-LL,37
12821.0,0.4757172529664525,DR,K-LL,37
12824.0,1.4275163355578206,DR,K-LL,37
12874.0,0.0,TR,KL-LLL,37
12918.0,8.043796144012127e-05,TR,KL-LLL,37
12926.0,0.019962179468321975,TR,KL-LLL,37
12932.0,0.0026614060636044497,TR,KL-LLL,37
12948.0,0.03772456752890711,TR,KL-LLL,37
12959.0,0.0004870682883515628,TR,KL-LLL,37
12968.0,4.155899904754406e-06,TR,KL-LLL,37
12998.0,0.011985390866259105,TR,KL-LLL,37
13015.0,0.0003965487639998272,TR,KL-LLL,37
13036.0,0.0,TR,KL-LLL,37
13046.0,0.001128289891487517,TR,KL-LLL,37
13070.0,0.0015874871505696464,TR,KL-LLL,37
13086.0,0.003597318565542358,TR,KL-LLL,37
13087.0,0.00880278337310107,TR,KL-LLL,37
13103.0,0.006092535251265179,TR,KL-LLL,37
13108.0,0.01465947980026492,TR,KL-LLL,37
13199.0,0.0004870479586329276,QR,KLL-LLLL,37
13220.0,4.154699890097417e-06,QR,KLL-LLLL,37
13242.0,6.950083045684097e-05,QR,KLL-LLLL,37
13243.0,9.858999340734672e-06,QR,KLL-LLLL,37
13350.0,7.19868355191169e-05,QR,KLL-LLLL,37
13355.0,0.00021579966278769894,QR,KLL-LLLL,37
12431.0,1.2592009362911036,DR,K-LL,38
12537.0,0.13872721730159893,DR,K-LL,38
12550.0,8.91400669955165,DR,K-LL,38
12566.0,0.11594228771226771,DR,K-LL,38
12576.0,8.680726026621837,DR,K-LL,38
12604.0,6.072099999605845e-09,TR,KL-LLL,38
12658.0,0.006877123613978273,TR,KL-LLL,38
12672.0,8.077143700740974,DR,K-LL,38
12679.0,0.017204390171214938,TR,KL-LLL,38
12702.0,3.711330379125943,DR,K-LL,38
12703.0,0.10489386545176271,TR,KL-LLL,38
12712.0,2.2399201662287362,DR,K-LL,38
12722.0,7.924799999621582e-09,TR,KL-LLL,38
12769.0,0.007245516981420017,TR,KL-LLL,38
12785.0,0.00021223942642150555,TR,KL-LLL,38
12790.0,5.0732999993527644e-08,TR,KL-LLL,38
12803.0,0.017654568435924514,TR,KL-LLL,38
12819.0,0.002750466916831379,TR,KL-LLL,38
12821.0,0.0014802889804291835,TR,KL-LLL,38
12828.0,0.00026953967692343745,TR,KL-LLL,38
12832.0,3.040099996638075e-07,TR,KL-LLL,38
12859.0,0.03351914613006457,TR,KL-LLL,38
12900.0,2.4585999999783905e-09,TR,KL-LLL,38
12911.0,4.12289928192765e-05,QR,KLL-LLLL,38
12935.0,0.004511130670240435,TR,KL-LLL,38
12943.0,1.824199907880111e-05,QR,KLL-LLLL,38
12957.0,0.0024460480656602,QR,KLL-LLLL,38
12966.0,0.009724685036731675,TR,KL-LLL,38
12973.0,0.03844165474726767,TR,KL-LLL,38
13037.0,1.8152998366007092e-05,QR,KLL-LLLL,38
13052.0,1.4749999378145476e-05,QR,KLL-LLLL,38
13061.0,3.8301992652207683e-05,QR,KLL-LLLL,38
13073.0,0.00012254995880754623,QR,KLL-LLLL,38
13200.0,0.0005589678817960086,QR,KLL-LLLL,38
12237.0,0.16762815717348498,DR,K-LL,39
12238.0,2.071206036431665,DR,K-LL,39
12290.0,0.44924042825957655,DR,K-LL,39
12359.0,1.655669454569545,DR,K-LL,39
12360.0,0.18754124251066312,DR,K-LL,39
12382.0,0.23898739605138583,DR,K-LL,39
12386.0,0.5687951065865195,DR,K-LL,39
12405.0,4.203264613801368,DR,K-LL,39
12437.0,0.9012779452700941,DR,K-LL,39
12451.0,5.563625171964367,DR,K-LL,39
12470.0,3.4114417130281276,DR,K-LL,39
12476.0,0.010140329772324444,DR,K-LL,39
12486.0,0.19291254646334507,DR,K-LL,39
12492.0,4.7896272448664,DR,K-LL,39
12535.0,6.297484292018271,DR,K-LL,39
12545.0,0.09465976373843703,TR,KL-LLL,39
12575.0,0.02188675254441604,TR,KL-LLL,39
12582.0,2.824979168884582,DR,K-LL,39
12601.0,1.2352858068161816,DR,K-LL,39
12624.0,0.7428966287702028,DR,K-LL,39
12625.0,2.63484657448463,DR,K-LL,39
12654.0,0.004690760123143866,TR,KL-LLL,39
12655.0,0.4512671572583273,DR,K-LL,39
12684.0,6.651396881093739e-05,TR,KL-LLL,39
12700.0,0.0010783943375782157,TR,KL-LLL,39
12711.0,0.009405087375064486,TR,KL-LLL,39
12713.0,0.018306056846893997,TR,KL-LLL,39
12817.0,0.022197329239358826,TR,KL-LLL,39
12840.0,0.003616099217154856,TR,KL-LLL,39
12080.0,2.5861574694864937,DR,K-LL,40
12102.0,0.011627473563378364,DR,K-LL,40
12114.0,0.5735727087977732,DR,K-LL,40
12175.0,3.756193217441312,DR,K-LL,40
12217.0,0.10858921925982769,DR,K-LL,40
12225.0,0.0,DR,K-LL,40
12276.0,0.4753153452147628,DR,K-LL,40
12302.0,2.213721425945392,DR,K-LL,40
12316.0,5.6571645608531504,DR,K-LL,40
12319.0,0.1587921368122241,DR,K-LL,40
12333.0,9.984253761344062,DR,K-LL,40
12350.0,0.04994688459613117,DR,K-LL,40
12360.0,9.710006567618025,DR,K-LL,40
12461.0,8.830547797338092,DR,K-LL,40
12493.0,4.077573551812702,DR,K-LL,40
12515.0,1.2241680466330265,DR,K-LL,40
