DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
972.21,0.008975100657903346,DR,K-LL,3
952.5099999999999,0.00258854271686483,DR,K-LL,4
952.7,0.0014297504247327043,DR,K-LL,4
952.84,0.0003635474282137687,DR,K-LL,4
957.72,0.0017662831897629764,DR,K-LL,4
985.61,1.5505899127096644e-05,TR,KL-LLL,4
993.79,2.7257089091606627e-05,TR,KL-LLL,4
921.57,6.149889024360216,DR,K-LL,5
921.79,2.2840854817287024,TR,KL-LLL,5
921.87,1.6675425698644697,QR,KLL-LLLL,5
929.03,0.0011318133682695296,TR,KL-LLL,5
929.09,0.35166732915286225,DR,K-LL,5
930.1999999999999,10.183827326050588,TR,KL-LLL,5
930.3700000000001,2.086191520400898,TR,KL-LLL,5
933.1699999999998,4.622859563336617e-05,DR,K-LL,5
949.62,0.0,TR,KL-LLL,5
949.7999999999998,0.09142002700398662,QR,KLL-LLLL,5
949.93,0.018696365765870946,QR,KLL-LLLL,5
960.32,0.06997950803341105,TR,KL-LLL,5
960.44,0.12787837899695778,QR,KLL-LLLL,5
968.4199999999998,0.018540827792471664,TR,KL-LLL,5
968.53,0.02645785472427869,TR,KL-LLL,5
996.9,2.576790328470965e-05,QR,KLL-LLLL,5
888.2399999999999,0.0009803649231516674,DR,K-LL,6
898.59,4.033722904380808,DR,K-LL,6
898.66,1.8986723426939356,DR,K-LL,6
898.6600000000001,3.110173855584094,DR,K-LL,6
900.91,0.7736222506425096,DR,K-LL,6
901.3700000000001,3.2274248189047277,TR,KL-LLL,6
901.4300000000001,2.212123474914219,DR,K-LL,6
901.45,0.652860509951093,DR,K-LL,6
904.9900000000001,7.64528302047715,DR,K-LL,6
907.74,4.522149708079615,TR,KL-LLL,6
910.52,0.0,TR,KL-LLL,6
910.73,2.2312998520521958e-07,TR,KL-LLL,6
910.83,1.0246947973595365e-05,QR,KLL-LLLL,6
925.16,0.020773767501500978,TR,KL-LLL,6
925.32,0.030147351922753265,TR,KL-LLL,6
925.4,0.014927382946429042,TR,KL-LLL,6
926.27,0.0,TR,KL-LLL,6
926.34,0.06814569961187897,TR,KL-LLL,6
926.37,0.06999621751125348,TR,KL-LLL,6
933.5599999999998,0.1278609680312004,TR,KL-LLL,6
935.84,0.23675565706028354,TR,KL-LLL,6
938.0299999999999,0.17113541783717293,TR,KL-LLL,6
938.2299999999998,0.24598939856550708,TR,KL-LLL,6
938.29,0.1202807474242648,TR,KL-LLL,6
943.14,0.17215976575127656,TR,KL-LLL,6
943.16,0.08912270801928363,TR,KL-LLL,6
959.96,1.2636975048926345e-05,QR,KLL-LLLL,6
960.17,0.01724223923513456,QR,KLL-LLLL,6
960.34,0.008848687124200458,QR,KLL-LLLL,6
966.3399999999999,0.009575704541105992,QR,KLL-LLLL,6
867.13,0.017516180001148768,DR,K-LL,7
867.2700000000001,0.0027595260325335765,DR,K-LL,7
867.4,0.05664110041924773,DR,K-LL,7
868.39,0.0,TR,KL-LLL,7
875.9,9.042879603066101,DR,K-LL,7
875.9799999999999,6.100005121001372,DR,K-LL,7
877.7,0.25140473662665924,DR,K-LL,7
877.9700000000001,0.5944296708773649,DR,K-LL,7
880.2700000000001,3.3942052000859517,DR,K-LL,7
887.49,0.0,TR,KL-LLL,7
887.52,7.679800932219603e-05,TR,KL-LLL,7
887.52,7.966186687619166e-05,TR,KL-LLL,7
887.7999999999998,6.930281423180677e-05,TR,KL-LLL,7
892.58,1.3390999999998116e-12,TR,KL-LLL,7
892.61,1.047898269355315e-05,TR,KL-LLL,7
892.66,6.910684929184036e-06,TR,KL-LLL,7
900.14,0.0012974043654364247,TR,KL-LLL,7
900.16,7.869399997657096e-09,TR,KL-LLL,7
904.9400000000003,0.007195856158207765,TR,KL-LLL,7
905.3,0.06772127232904748,TR,KL-LLL,7
905.3,0.12674980511394723,TR,KL-LLL,7
907.85,1.2974999998451213e-09,TR,KL-LLL,7
907.96,5.406199599992027e-07,TR,KL-LLL,7
913.0200000000001,1.94180954465672,TR,KL-LLL,7
913.04,0.9716833877290271,TR,KL-LLL,7
914.06,0.03367962894607351,TR,KL-LLL,7
919.5099999999999,2.1693945243772605e-05,QR,KLL-LLLL,7
919.76,3.301498097939386e-06,QR,KLL-LLLL,7
919.85,4.9004162014362437e-05,QR,KLL-LLLL,7
928.2,0.008609259598264854,QR,KLL-LLLL,7
928.29,0.005724508018691945,QR,KLL-LLLL,7
930.0200000000001,3.549194885662604e-05,QR,KLL-LLLL,7
930.21,7.217157833266513e-05,QR,KLL-LLLL,7
939.34,0.1403134892043124,QR,KLL-LLLL,7
827.38,0.0535637435324957,DR,K-LL,8
827.4199999999998,0.16540030910720083,DR,K-LL,8
827.66,0.2714741390714862,DR,K-LL,8
830.15,0.0004583229748948458,DR,K-LL,8
830.29,0.0004754888526277208,DR,K-LL,8
830.42,0.000748863413300989,DR,K-LL,8
835.33,0.2568155342869878,DR,K-LL,8
847.6,0.002536399333774127,DR,K-LL,8
847.66,4.562198493143542,DR,K-LL,8
847.67,5.777788671744733,DR,K-LL,8
847.69,5.572767598426554,DR,K-LL,8
847.84,3.743235429973972,DR,K-LL,8
847.97,6.808113374014313,DR,K-LL,8
855.85,2.5023274210021667,DR,K-LL,8
857.31,0.00035167554113222434,TR,KL-LLL,8
858.7800000000001,4.189989527194857,DR,K-LL,8
859.74,0.008273483421546728,DR,K-LL,8
859.86,0.029797626604510567,DR,K-LL,8
860.0,0.3578149321340014,DR,K-LL,8
866.3,0.0032067324462078414,DR,K-LL,8
867.0,0.8546408286273943,DR,K-LL,8
869.31,0.0018537752840114485,TR,KL-LLL,8
869.31,0.0006273626943329581,TR,KL-LLL,8
872.68,0.0011816722975994346,TR,KL-LLL,8
876.9,0.14323205694514873,TR,KL-LLL,8
877.52,0.7806564510465824,TR,KL-LLL,8
877.5499999999998,1.2825270175871468,TR,KL-LLL,8
877.59,0.26025224385222895,TR,KL-LLL,8
885.2000000000002,0.049143417289004836,TR,KL-LLL,8
792.38,0.4753459516560047,DR,K-LL,9
