DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
12536.0,1.2284743594741823,DR,K-LL,33
12408.0,2.6327396007733865,DR,K-LL,34
12428.0,1.534903097083505,DR,K-LL,34
12522.0,1.9084999751253432e-07,TR,KL-LLL,34
12527.0,0.03022086774703653,TR,KL-LLL,34
12692.0,0.0017588522141847945,TR,KL-LLL,34
12744.0,0.003193829995775243,TR,KL-LLL,34
12278.0,5.639047620649127,DR,K-LL,35
12307.0,3.5271705177187083,DR,K-LL,35
12314.0,1.5908313772667841,DR,K-LL,35
12389.0,0.06758664884816826,TR,KL-LLL,35
12404.0,0.007487926298008186,TR,KL-LLL,35
12411.0,0.029213248978521004,TR,KL-LLL,35
12423.0,0.058990613042491105,TR,KL-LLL,35
12522.0,4.992499999929886e-09,TR,KL-LLL,35
12527.0,7.876995550901424e-05,QR,KLL-LLLL,35
12552.0,0.002634976999296866,TR,KL-LLL,35
12580.0,0.003822120030834387,TR,KL-LLL,35
12599.0,0.016749103046502484,TR,KL-LLL,35
12651.0,0.00031620938050911355,QR,KLL-LLLL,35
12676.0,0.0010065969956062645,QR,KLL-LLLL,35
12714.0,7.16419609524683e-05,QR,KLL-LLLL,35
12864.0,0.00016031985143888358,QR,KLL-LLLL,35
12059.0,4.209060009896822,DR,K-LL,36
12088.0,4.32312960948135,DR,K-LL,36
12159.0,4.093268833765379,DR,K-LL,36
12175.0,3.4197255540097036,DR,K-LL,36
12188.0,1.2516298524625245,DR,K-LL,36
12202.0,2.490458756589751,DR,K-LL,36
12203.0,0.5027012442108028,DR,K-LL,36
12206.0,1.507334466413426,DR,K-LL,36
12254.0,0.0,TR,KL-LLL,36
12296.0,9.157194534717341e-05,TR,KL-LLL,36
12297.0,0.02554152875210756,TR,KL-LLL,36
12309.0,0.002729993210477934,TR,KL-LLL,36
12318.0,0.04654580495606332,TR,KL-LLL,36
12337.0,0.0005984172748822251,TR,KL-LLL,36
12345.0,9.163099532407822e-06,TR,KL-LLL,36
12374.0,0.012873713575850966,TR,KL-LLL,36
12384.0,0.0004846280650413704,TR,KL-LLL,36
12404.0,0.0,TR,KL-LLL,36
12414.0,0.0013182855275706718,TR,KL-LLL,36
12437.0,0.0017012843753675191,TR,KL-LLL,36
12452.0,0.004347360787667482,TR,KL-LLL,36
12453.0,0.010227110952118779,TR,KL-LLL,36
12469.0,0.006536869016076721,TR,KL-LLL,36
12473.0,0.016497968447123375,TR,KL-LLL,36
12554.0,0.0006382263526641995,QR,KLL-LLLL,36
12582.0,4.166499883686798e-06,QR,KLL-LLLL,36
12594.0,9.064569517847762e-05,QR,KLL-LLLL,36
12604.0,1.0825999156871569e-05,QR,KLL-LLLL,36
12700.0,8.638575072249577e-05,QR,KLL-LLLL,36
12705.0,0.0002583894956542845,QR,KLL-LLLL,36
11841.0,1.2743274438845416,DR,K-LL,37
11935.0,0.14772871459807188,DR,K-LL,37
11948.0,9.018570236227447,DR,K-LL,37
11964.0,0.13391794932180862,DR,K-LL,37
11973.0,9.034624688517496,DR,K-LL,37
11999.0,5.706499999602172e-09,TR,KL-LLL,37
12053.0,0.006846814957806884,TR,KL-LLL,37
12058.0,8.633612720277236,DR,K-LL,37
12072.0,0.017091214128519373,TR,KL-LLL,37
12087.0,3.874237189095412,DR,K-LL,37
12095.0,0.10437373747574018,TR,KL-LLL,37
12097.0,2.3848713652370974,DR,K-LL,37
12107.0,7.730999999629893e-09,TR,KL-LLL,37
12153.0,0.00934017221527571,TR,KL-LLL,37
12168.0,0.0002217193362520225,TR,KL-LLL,37
12172.0,5.0786999993086454e-08,TR,KL-LLL,37
12185.0,0.019995068173795805,TR,KL-LLL,37
12201.0,0.0034324444290238405,TR,KL-LLL,37
12204.0,0.0016596855601697736,TR,KL-LLL,37
12209.0,0.00032703951284151735,TR,KL-LLL,37
12213.0,3.0862999964272603e-07,TR,KL-LLL,37
12239.0,0.03738291510560992,TR,KL-LLL,37
12272.0,0.0,TR,KL-LLL,37
12290.0,4.989198886966388e-05,QR,KLL-LLLL,37
12306.0,0.005171104493530437,TR,KL-LLL,37
12321.0,1.448499938083973e-05,QR,KLL-LLLL,37
12334.0,0.0026897327857298464,QR,KLL-LLLL,37
12336.0,0.011194287206624853,TR,KL-LLL,37
12341.0,0.04430340974611493,TR,KL-LLL,37
12404.0,1.773999838574171e-05,QR,KLL-LLLL,37
12419.0,2.056299873458681e-05,QR,KLL-LLLL,37
12428.0,5.96479813569039e-05,QR,KLL-LLLL,37
12439.0,0.00013780994544274476,QR,KLL-LLLL,37
12554.0,0.0006917466113640039,QR,KLL-LLLL,37
11652.0,0.17287755824570958,DR,K-LL,38
11654.0,2.136888908970678,DR,K-LL,38
11703.0,0.4431464352626676,DR,K-LL,38
11762.0,1.6521345198865096,DR,K-LL,38
11772.0,0.18921904936816455,DR,K-LL,38
11784.0,0.2357989417170182,DR,K-LL,38
11788.0,0.5775343155950412,DR,K-LL,38
11806.0,4.129684512072414,DR,K-LL,38
11838.0,0.9607452266428956,DR,K-LL,38
11852.0,5.818400825787969,DR,K-LL,38
11870.0,3.606670917447271,DR,K-LL,38
11876.0,0.012676807957302041,DR,K-LL,38
11886.0,0.1930026704916466,DR,K-LL,38
11891.0,4.937969499292832,DR,K-LL,38
11924.0,6.789739944547717,DR,K-LL,38
11942.0,0.09650840766765392,TR,KL-LLL,38
11970.0,3.004862639280102,DR,K-LL,38
11972.0,0.02288207908207369,TR,KL-LLL,38
11989.0,1.2950503614142412,DR,K-LL,38
12011.0,2.7524937121190285,DR,K-LL,38
12011.0,0.7361219008199931,DR,K-LL,38
12040.0,0.006052916211224153,TR,KL-LLL,38
12040.0,0.47774552877948845,DR,K-LL,38
12069.0,9.452293399396767e-05,TR,KL-LLL,38
12084.0,0.001435989454646243,TR,KL-LLL,38
12095.0,0.010578195007713434,TR,KL-LLL,38
12098.0,0.020658704842975936,TR,KL-LLL,38
12189.0,0.025474616628917538,TR,KL-LLL,38
12212.0,0.004054767679405073,TR,KL-LLL,38
11499.0,2.567858832285049,DR,K-LL,39
11521.0,0.012362136439856989,DR,K-LL,39
11533.0,0.5605973833864156,DR,K-LL,39
11592.0,3.798837960626791,DR,K-LL,39
11632.0,0.0,DR,K-LL,39
11632.0,0.10716057373871266,DR,K-LL,39
11681.0,0.4750051267097415,DR,K-LL,39
11707.0,2.363091446297907,DR,K-LL,39
