DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
810.35,0.0038487475828398,DR,K-LL,2
793.48,0.001118686273676816,DR,K-LL,3
793.6,0.0006282772242479332,DR,K-LL,3
793.69,0.0001505243898490735,DR,K-LL,3
797.8,0.0008000695518249707,DR,K-LL,3
821.89,7.835365560689843e-06,TR,KL-LLL,3
828.89,1.3836686930581874e-05,TR,KL-LLL,3
766.64,4.882224874806092,DR,K-LL,4
766.78,2.030290921686271,TR,KL-LLL,4
766.82,1.3920726558699756,QR,KLL-LLLL,4
773.04,0.00034824917914787293,TR,KL-LLL,4
773.08,0.2402265682978651,DR,K-LL,4
773.92,9.078401045540183,TR,KL-LLL,4
774.03,2.0580291628099037,TR,KL-LLL,4
776.53,3.379071615370424e-05,DR,K-LL,4
790.91,0.0,TR,KL-LLL,4
791.02,0.10135658696604352,QR,KLL-LLLL,4
791.1,0.020664959286675832,QR,KLL-LLLL,4
800.05,0.07663806390379674,TR,KL-LLL,4
800.12,0.143197097704886,QR,KLL-LLLL,4
807.45,0.01864904981749911,TR,KL-LLL,4
807.52,0.02936999962969776,TR,KL-LLL,4
832.11,1.432296053772867e-05,QR,KLL-LLLL,4
737.38,0.00041558117949399984,DR,K-LL,5
746.42,3.2352970597070407,DR,K-LL,5
746.48,2.4387190941707058,DR,K-LL,5
746.4800000000001,1.4823731294058708,DR,K-LL,5
748.2799999999999,0.3066707712287037,DR,K-LL,5
748.79,2.602715344543035,TR,KL-LLL,5
748.83,1.6453035977143942,DR,K-LL,5
748.86,0.5242710009724059,DR,K-LL,5
751.91,6.461992687791684,DR,K-LL,5
754.27,3.871365308145882,TR,KL-LLL,5
756.8,0.0,TR,KL-LLL,5
756.94,1.0890999540162988e-07,TR,KL-LLL,5
757.0,6.0504763379882214e-06,QR,KLL-LLLL,5
769.44,0.02180845726601235,TR,KL-LLL,5
769.5299999999999,0.03442856775929859,TR,KL-LLL,5
769.58,0.01674124187193233,TR,KL-LLL,5
770.66,0.0,TR,KL-LLL,5
770.7,0.07942338110604112,TR,KL-LLL,5
770.73,0.07993233451969547,TR,KL-LLL,5
777.06,0.13826863340026085,TR,KL-LLL,5
778.99,0.27003672841570653,TR,KL-LLL,5
781.23,0.1805641546031458,TR,KL-LLL,5
781.37,0.2658780411725025,TR,KL-LLL,5
781.4,0.1231322715158345,TR,KL-LLL,5
785.4,0.18604237613011856,TR,KL-LLL,5
785.57,0.09999943983714882,TR,KL-LLL,5
800.32,1.1192974440066317e-05,QR,KLL-LLLL,5
800.4500000000002,0.020458682642587673,QR,KLL-LLLL,5
800.55,0.010394565658335101,QR,KLL-LLLL,5
805.76,0.01112201167317204,QR,KLL-LLLL,5
718.72,0.011264243061366667,DR,K-LL,6
718.81,0.0014380125990901328,DR,K-LL,6
718.88,0.035460604172624026,DR,K-LL,6
719.64,0.0,TR,KL-LLL,6
726.39,7.157748484684166,DR,K-LL,6
726.46,4.805230581114007,DR,K-LL,6
727.93,0.15283727189059054,DR,K-LL,6
728.09,0.39098796633880367,DR,K-LL,6
730.18,2.732105418639124,DR,K-LL,6
736.6,2.7429962372115908e-05,TR,KL-LLL,6
736.61,0.0,TR,KL-LLL,6
736.62,5.85052976072782e-05,TR,KL-LLL,6
736.62,4.368617203626844e-05,TR,KL-LLL,6
741.12,0.0,TR,KL-LLL,6
741.14,5.246194436660205e-06,TR,KL-LLL,6
741.18,4.528291706099689e-06,TR,KL-LLL,6
747.69,0.0007244017321274636,TR,KL-LLL,6
747.7000000000002,4.0622999991984205e-09,TR,KL-LLL,6
752.25,0.15115188192512682,TR,KL-LLL,6
752.26,0.07936006031635057,TR,KL-LLL,6
752.3500000000001,0.004867792226015155,TR,KL-LLL,6
