DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
75317.0,0.2320032626984655,DR,K-LL,85
74990.0,0.4367776770764707,DR,K-LL,86
75052.0,0.2252134620548136,DR,K-LL,86
79307.0,3.9341999455068786e-06,TR,KL-LLL,86
79417.0,1.1925999803905959e-06,TR,KL-LLL,86
79791.0,1.1665999565469557e-05,TR,KL-LLL,86
80046.0,1.9332996416776682e-05,TR,KL-LLL,86
74676.0,0.8170701100522555,DR,K-LL,87
74754.0,0.4179032396590444,DR,K-LL,87
74796.0,0.12928178143863742,DR,K-LL,87
79030.0,3.5810999990986947e-07,TR,KL-LLL,87
79045.0,9.315999924445014e-06,TR,KL-LLL,87
79075.0,2.580799999922866e-08,TR,KL-LLL,87
79171.0,1.1881999878906593e-05,TR,KL-LLL,87
79390.0,2.685199999995673e-09,TR,KL-LLL,87
79500.0,1.3747999887299762e-05,TR,KL-LLL,87
79573.0,2.3659999408259456e-05,TR,KL-LLL,87
79719.0,8.602099436490441e-05,TR,KL-LLL,87
83491.0,6.583699999923093e-09,QR,KLL-LLLL,87
83808.0,1.813799999977285e-08,QR,KLL-LLLL,87
83841.0,9.389599999862657e-09,QR,KLL-LLLL,87
84100.0,5.509199999517972e-08,QR,KLL-LLLL,87
84424.0,9.476399998868314e-08,QR,KLL-LLLL,87
70151.0,1.1287891782633293,DR,K-LL,88
70214.0,1.128031643824245,DR,K-LL,88
74492.0,0.486052842532801,DR,K-LL,88
74507.0,0.33806623569984773,DR,K-LL,88
74550.0,0.16368638738376845,DR,K-LL,88
74605.0,0.10109307514440188,DR,K-LL,88
74647.0,0.28435887049707576,DR,K-LL,88
74717.0,0.03359175196061844,DR,K-LL,88
74761.0,0.0,TR,KL-LLL,88
74894.0,2.1912999995046967e-07,TR,KL-LLL,88
74945.0,2.8406998180673275e-05,TR,KL-LLL,88
74993.0,1.6974999995747084e-07,TR,KL-LLL,88
75119.0,6.281799999393871e-08,TR,KL-LLL,88
75204.0,0.00022024967778768977,TR,KL-LLL,88
