DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
46476.0,0.42497645781383986,DR,K-LL,68
46215.0,0.820691254789579,DR,K-LL,69
46264.0,0.44910315299012593,DR,K-LL,69
47880.0,5.7638983702148946e-05,TR,KL-LLL,69
47922.0,4.898199531254695e-06,TR,KL-LLL,69
48249.0,5.8283984840344866e-05,TR,KL-LLL,69
48404.0,9.977686689288074e-05,TR,KL-LLL,69
45963.0,1.495757121132848,DR,K-LL,70
46025.0,0.84390891661173,DR,K-LL,70
46052.0,0.3220518728074668,DR,K-LL,70
47646.0,0.00011318998148059708,TR,KL-LLL,70
47647.0,2.2194999952088984e-06,TR,KL-LLL,70
47677.0,1.02289998305899e-05,TR,KL-LLL,70
47720.0,0.00013810998023421878,TR,KL-LLL,70
47920.0,4.011999999986623e-09,TR,KL-LLL,70
48003.0,6.498099649145092e-05,TR,KL-LLL,70
48059.0,0.00011510998050903656,TR,KL-LLL,70
48132.0,0.0004679097677156174,TR,KL-LLL,70
49372.0,6.345399999019982e-08,QR,KLL-LLLL,70
49644.0,7.847199998666298e-08,QR,KLL-LLLL,70
49650.0,3.645299998750917e-07,QR,KLL-LLLL,70
49813.0,2.1184999990271849e-07,QR,KLL-LLLL,70
50100.0,6.236399993295999e-07,QR,KLL-LLLL,70
44120.0,1.831532536066848,DR,K-LL,71
44171.0,1.5711419731326028,DR,K-LL,71
45781.0,0.6754880731272971,DR,K-LL,71
45785.0,0.8936864932447525,DR,K-LL,71
45824.0,0.32999886524130184,DR,K-LL,71
45866.0,0.25612599482501314,DR,K-LL,71
45872.0,0.546746802644617,DR,K-LL,71
45909.0,0.08529175596402842,DR,K-LL,71
45988.0,0.0,TR,KL-LLL,71
46089.0,5.683399995337914e-07,TR,KL-LLL,71
46126.0,0.00013756993935955047,TR,KL-LLL,71
46165.0,2.5995999985820145e-07,TR,KL-LLL,71
46223.0,1.910299999204979e-07,TR,KL-LLL,71
46285.0,0.0006751857972517567,TR,KL-LLL,71
47520.0,1.5732999104552554e-05,TR,KL-LLL,71
47569.0,0.00011266996601025009,TR,KL-LLL,71
47697.0,2.973099976068234e-06,TR,KL-LLL,71
47715.0,0.0,TR,KL-LLL,71
47772.0,9.226699797522894e-06,TR,KL-LLL,71
47802.0,8.10369892701533e-05,TR,KL-LLL,71
47835.0,3.9012990317517896e-05,TR,KL-LLL,71
47845.0,0.00011095997222995337,TR,KL-LLL,71
47930.0,0.0002858398316432397,TR,KL-LLL,71
47931.0,0.0002042598185857627,TR,KL-LLL,71
48140.0,3.735399997216685e-07,QR,KLL-LLLL,71
48189.0,2.1271999991087296e-07,QR,KLL-LLLL,71
49493.0,1.8067999989607123e-07,QR,KLL-LLLL,71
49648.0,1.3560999981330037e-07,QR,KLL-LLLL,71
49835.0,5.660599991984551e-07,QR,KLL-LLLL,71
49878.0,2.0111999959810827e-07,QR,KLL-LLLL,71
42223.0,0.6406266254883086,DR,K-LL,72
43896.0,3.5673121999631903,DR,K-LL,72
43896.0,0.09861437960413084,DR,K-LL,72
43928.0,0.017914300844202542,DR,K-LL,72
43972.0,3.1723545058500333,DR,K-LL,72
44056.0,1.8557999999943067e-09,TR,KL-LLL,72
44144.0,0.003168488936165049,TR,KL-LLL,72
44200.0,0.006920705585414385,TR,KL-LLL,72
44274.0,0.03882149565483135,TR,KL-LLL,72
45610.0,1.6434660048017427,DR,K-LL,72
45673.0,0.9021895603898088,DR,K-LL,72
45702.0,0.3592712533486272,DR,K-LL,72
