DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
1757.6,0.08406484049534582,DR,K-LL,7
1726.2,0.026473870831587976,DR,K-LL,8
1727.0,0.012983220014620853,DR,K-LL,8
1727.6,0.003295001869850496,DR,K-LL,8
1735.3,0.015448422719104349,DR,K-LL,8
1778.6,0.00010671801694514993,TR,KL-LLL,8
1791.7,0.0001919911076090412,TR,KL-LLL,8
1679.3,10.650724827129483,DR,K-LL,9
1680.2,2.6217610311311237,TR,KL-LLL,9
1680.5,2.282031611269675,QR,KLL-LLLL,9
1691.2,0.012955109086240178,TR,KL-LLL,9
1691.3,1.3601536830267786,DR,K-LL,9
1693.5,10.544862299109408,TR,KL-LLL,9
1694.1,1.806853717334945,TR,KL-LLL,9
1698.1,0.0009616255445045678,DR,K-LL,9
1722.9000000000003,0.0,TR,KL-LLL,9
1723.6,0.05872077818737245,QR,KLL-LLLL,9
1724.2,0.012453047948871596,QR,KLL-LLLL,9
1740.0,0.050304413269041164,TR,KL-LLL,9
1740.5,0.07693343338794804,QR,KLL-LLLL,9
1750.8,0.01974137553885875,TR,KL-LLL,9
1751.3,0.015967692236206355,QR,KLL-LLLL,9
1795.0,0.0001331788955239464,QR,KLL-LLLL,9
1629.8,0.013583906078874332,DR,K-LL,10
1645.3,6.806680554997134,DR,K-LL,10
1645.5,6.121949978239874,DR,K-LL,10
1645.5,3.822983927072001,DR,K-LL,10
1649.3,2.3988613875330786,DR,K-LL,10
1649.8999999999999,5.247987410471447,TR,KL-LLL,10
1650.1,1.1193678087149475,DR,K-LL,10
1650.2999999999997,3.633906408087623,DR,K-LL,10
1655.5,9.71837177524074,DR,K-LL,10
1659.8999999999999,5.5399751892569205,TR,KL-LLL,10
1663.7,0.0,TR,KL-LLL,10
1664.5999999999997,1.7127996144796028e-06,TR,KL-LLL,10
1665.0,5.1988408226313645e-05,QR,KLL-LLLL,10
1686.3999999999999,0.024449314932451158,TR,KL-LLL,10
1687.0,0.029647550516898463,TR,KL-LLL,10
