DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
55438.0,0.34544438374942366,DR,K-LL,74
55154.0,0.6607215536957312,DR,K-LL,75
55207.0,0.35486875051423544,DR,K-LL,75
57517.0,2.1907997934152288e-05,TR,KL-LLL,75
57578.0,2.9923998474322586e-06,TR,KL-LLL,75
57927.0,3.2781995800650756e-05,TR,KL-LLL,75
58112.0,5.546796395594973e-05,TR,KL-LLL,75
54880.0,1.2122285635308288,DR,K-LL,76
54948.0,0.6629786286461099,DR,K-LL,76
54980.0,0.23859134813827199,DR,K-LL,76
57267.0,8.348899999403719e-08,TR,KL-LLL,76
57272.0,4.711499736084681e-05,TR,KL-LLL,76
57302.0,1.6915999959434995e-06,TR,KL-LLL,76
57359.0,5.596399701382151e-05,TR,KL-LLL,76
57573.0,3.5717999999906864e-09,TR,KL-LLL,76
57665.0,3.727299898929555e-05,TR,KL-LLL,76
57727.0,6.512399452922517e-05,TR,KL-LLL,76
57820.0,0.00025532993933990165,TR,KL-LLL,76
59713.0,2.729799999839862e-08,QR,KLL-LLLL,76
60011.0,1.2104999998781923e-07,QR,KLL-LLLL,76
60016.0,3.4430999997745614e-08,QR,KLL-LLLL,76
60212.0,1.4956999995721209e-07,QR,KLL-LLLL,76
60518.0,3.044199998591432e-07,QR,KLL-LLLL,76
52327.0,1.5448304075044101,DR,K-LL,77
52382.0,1.3894932745385395,DR,K-LL,77
54696.0,0.7231255866941599,DR,K-LL,77
54698.0,0.5311559938918547,DR,K-LL,77
54741.0,0.25959444252281305,DR,K-LL,77
54788.0,0.18831480528400954,DR,K-LL,77
54802.0,0.43420084146421645,DR,K-LL,77
54850.0,0.06267400779160832,DR,K-LL,77
54924.0,0.0,TR,KL-LLL,77
55036.0,3.6539999983138007e-07,TR,KL-LLL,77
55077.0,7.808698300625934e-05,TR,KL-LLL,77
55119.0,1.9343999993165468e-07,TR,KL-LLL,77
55196.0,1.2895999996839642e-07,TR,KL-LLL,77
55266.0,0.000441378421149858,TR,KL-LLL,77
57157.0,4.086199946808996e-06,TR,KL-LLL,77
57211.0,4.692499483016509e-05,TR,KL-LLL,77
57352.0,1.294699996103881e-06,TR,KL-LLL,77
57362.0,0.0,TR,KL-LLL,77
57433.0,5.155199944932573e-06,TR,KL-LLL,77
57462.0,4.822899660252521e-05,TR,KL-LLL,77
57498.0,2.1350997453500777e-05,TR,KL-LLL,77
57511.0,5.965699294350592e-05,TR,KL-LLL,77
57619.0,0.0001510099590498766,TR,KL-LLL,77
57624.0,0.00011101995256257266,TR,KL-LLL,77
57842.0,2.1419999991950866e-07,QR,KLL-LLLL,77
57896.0,7.571099999010733e-08,QR,KLL-LLLL,77
59872.0,6.595199998772634e-08,QR,KLL-LLLL,77
60057.0,9.022399992769258e-08,QR,KLL-LLLL,77
60248.0,2.649899998446519e-07,QR,KLL-LLLL,77
60311.0,8.908299993070225e-08,QR,KLL-LLLL,77
49699.0,0.58240241688331,DR,K-LL,78
