DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
15842.0,1.0989809505428227,DR,K-LL,38
15695.0,2.3168812851700284,DR,K-LL,39
15719.0,1.3508677124003627,DR,K-LL,39
15882.0,2.2498973001612665e-05,TR,KL-LLL,39
15885.0,0.011078464465005908,TR,KL-LLL,39
16075.0,0.0011331845084995946,TR,KL-LLL,39
16137.0,0.0020473490372278414,TR,KL-LLL,39
15548.0,4.5638784394620835,DR,K-LL,40
15582.0,2.859566799250409,DR,K-LL,40
15591.0,1.2846153314107456,DR,K-LL,40
15730.0,0.019734278228604987,TR,KL-LLL,40
15746.0,0.002742481361020612,TR,KL-LLL,40
15755.0,0.008663971341245991,TR,KL-LLL,40
15769.0,0.02205683983558571,TR,KL-LLL,40
15882.0,5.10729999994245e-09,TR,KL-LLL,40
15920.0,0.0014316949859556095,TR,KL-LLL,40
15942.0,1.974799771093047e-05,QR,KLL-LLLL,40
15953.0,0.0023966766407710334,TR,KL-LLL,40
15974.0,0.010642699459110309,TR,KL-LLL,40
16083.0,6.238097939800329e-05,QR,KLL-LLLL,40
16109.0,0.00026187983941521975,QR,KLL-LLLL,40
16159.0,2.454899647502068e-05,QR,KLL-LLLL,40
16330.0,7.519697437417774e-05,QR,KLL-LLLL,40
15248.0,4.067967314632236,DR,K-LL,41
15279.0,3.5744512953866323,DR,K-LL,41
15415.0,2.8599079010626216,DR,K-LL,41
15432.0,2.7594828363828983,DR,K-LL,41
15448.0,1.052615573065512,DR,K-LL,41
15465.0,1.9330368767909183,DR,K-LL,41
15469.0,0.3828379687046847,DR,K-LL,41
15470.0,1.1500716841263374,DR,K-LL,41
15527.0,0.0,TR,KL-LLL,41
15578.0,4.3571991609212426e-05,TR,KL-LLL,41
15595.0,0.0021896516983572097,TR,KL-LLL,41
15622.0,0.00019985976409055855,TR,KL-LLL,41
15628.0,0.007784892682505464,TR,KL-LLL,41
15634.0,9.82829995057362e-07,TR,KL-LLL,41
15653.0,0.016822080320120666,TR,KL-LLL,41
15666.0,0.008657542129172876,TR,KL-LLL,41
15723.0,0.00018505977009462986,TR,KL-LLL,41
15749.0,0.0,TR,KL-LLL,41
15762.0,0.0005851877397152088,TR,KL-LLL,41
15787.0,0.0011642943625879848,TR,KL-LLL,41
15805.0,0.0017746454448443396,TR,KL-LLL,41
15808.0,0.0047576585897245475,TR,KL-LLL,41
15826.0,0.004494517823867485,TR,KL-LLL,41
15832.0,0.009102820404395478,TR,KL-LLL,41
15956.0,3.7825999247009953e-06,QR,KLL-LLLL,41
15973.0,0.0001657597967954033,QR,KLL-LLLL,41
15982.0,7.527599689745243e-06,QR,KLL-LLLL,41
