DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
28593.0,0.7001521846661447,DR,K-LL,53
28389.0,1.3966528518683798,DR,K-LL,54
28425.0,0.7939495266616922,DR,K-LL,54
29016.0,0.0007035763694072443,TR,KL-LLL,54
29028.0,1.6469991915178684e-05,TR,KL-LLL,54
29289.0,0.0002571895527713983,TR,KL-LLL,54
29389.0,0.00045464581975049664,TR,KL-LLL,54
28190.0,2.550416847734048,DR,K-LL,55
28238.0,1.533939704289534,DR,K-LL,55
28255.0,0.6499214732077887,DR,K-LL,55
28817.0,0.0011246968723696948,TR,KL-LLL,55
28829.0,0.00011858997965389892,TR,KL-LLL,55
28847.0,0.0003197397490271796,TR,KL-LLL,55
28871.0,0.001537096630261141,TR,KL-LLL,55
29028.0,4.8545999999705716e-09,TR,KL-LLL,55
29088.0,0.00027828990119780435,TR,KL-LLL,55
29132.0,0.0005136194132523371,TR,KL-LLL,55
29170.0,0.0022427920179027517,TR,KL-LLL,55
29480.0,7.402299980482157e-07,QR,KLL-LLLL,55
29681.0,1.3445999941728265e-06,QR,KLL-LLLL,55
29701.0,6.572899940414967e-06,QR,KLL-LLLL,55
29797.0,1.5055999926486466e-06,QR,KLL-LLLL,55
30027.0,6.341199896567675e-06,QR,KLL-LLLL,55
27419.0,2.8097047687455796,DR,K-LL,56
27459.0,2.2431916918094483,DR,K-LL,56
28024.0,1.271331674147974,DR,K-LL,56
28039.0,1.5316150781199038,DR,K-LL,56
28065.0,0.5928272163344919,DR,K-LL,56
28093.0,0.9920459032925875,DR,K-LL,56
28097.0,0.5344860663581426,DR,K-LL,56
28109.0,0.17808464326217766,DR,K-LL,56
28183.0,0.0,TR,KL-LLL,56
28259.0,3.460199973473113e-06,TR,KL-LLL,56
28286.0,0.0005905582541948951,TR,KL-LLL,56
28317.0,4.7479999271044726e-06,TR,KL-LLL,56
28345.0,5.306199990797373e-07,TR,KL-LLL,56
28391.0,0.00226213023729568,TR,KL-LLL,56
28692.0,0.00033555940696842514,TR,KL-LLL,56
28729.0,0.0011611946130923485,TR,KL-LLL,56
28823.0,2.005899834057105e-05,TR,KL-LLL,56
28851.0,0.0,TR,KL-LLL,56
28882.0,5.801198767776874e-05,TR,KL-LLL,56
28911.0,0.0003086397735438098,TR,KL-LLL,56
28937.0,0.00021400956212808172,TR,KL-LLL,56
28944.0,0.0005983987922538051,TR,KL-LLL,56
28983.0,0.0010001937505801479,TR,KL-LLL,56
28989.0,0.0015347925244842452,TR,KL-LLL,56
29157.0,1.453599993684613e-06,QR,KLL-LLLL,56
29195.0,1.763499990694671e-06,QR,KLL-LLLL,56
29539.0,3.980099927258637e-06,QR,KLL-LLLL,56
29635.0,1.08869998161103e-06,QR,KLL-LLLL,56
29796.0,6.5682998415747695e-06,QR,KLL-LLLL,56
29809.0,2.188499928661962e-06,QR,KLL-LLLL,56
26624.0,0.8554166036321696,DR,K-LL,57
27233.0,0.00035980886235162596,DR,K-LL,57
27244.0,5.506303095232306,DR,K-LL,57
27266.0,0.02178943884725637,DR,K-LL,57
27289.0,4.715832261510457,DR,K-LL,57
27354.0,4.1400999999528886e-09,TR,KL-LLL,57
27423.0,0.0050189578134924515,TR,KL-LLL,57
27464.0,0.011416586679669969,TR,KL-LLL,57
27506.0,0.06356099274386118,TR,KL-LLL,57
27877.0,2.9927116542517513,DR,K-LL,57
27925.0,1.6574229249067738,DR,K-LL,57
27944.0,0.7694455113797374,DR,K-LL,57
27954.0,7.466899999811793e-09,TR,KL-LLL,57
28029.0,0.00018313995070848624,TR,KL-LLL,57
28061.0,1.7944999999631656e-08,TR,KL-LLL,57
28065.0,9.832199469027709e-06,TR,KL-LLL,57
28082.0,0.0018644927024210889,TR,KL-LLL,57
28100.0,7.665698491962777e-05,TR,KL-LLL,57
28106.0,7.120099217631409e-05,TR,KL-LLL,57
28135.0,1.9199999878190714e-06,TR,KL-LLL,57
28141.0,1.737399999459909e-07,TR,KL-LLL,57
28184.0,0.0048217862696453275,TR,KL-LLL,57
28259.0,2.774399985614812e-06,QR,KLL-LLLL,57
