DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
58698.0,0.32195665288654246,DR,K-LL,76
58406.0,0.6139663762623834,DR,K-LL,77
58461.0,0.3275363372087672,DR,K-LL,77
61052.0,1.588799895631106e-05,TR,KL-LLL,77
61120.0,2.5345998950589124e-06,TR,KL-LLL,77
61476.0,2.711699724092172e-05,TR,KL-LLL,77
61672.0,4.570597649428905e-05,TR,KL-LLL,77
58125.0,1.1297909335706888,DR,K-LL,78
58195.0,0.6109647296422066,DR,K-LL,78
58228.0,0.21494768180228702,DR,K-LL,78
60797.0,6.047499999996991e-10,TR,KL-LLL,78
60803.0,3.521399861378365e-05,TR,KL-LLL,78
60834.0,7.840899991630249e-07,TR,KL-LLL,78
60896.0,4.174099837683948e-05,TR,KL-LLL,78
61113.0,3.416599999991808e-09,TR,KL-LLL,78
61209.0,3.1006999328181317e-05,TR,KL-LLL,78
61272.0,5.4023996383119154e-05,TR,KL-LLL,78
61374.0,0.00020910996091684037,TR,KL-LLL,78
63535.0,2.174899999902164e-08,QR,KLL-LLLL,78
63838.0,8.481199999424027e-08,QR,KLL-LLLL,78
63847.0,2.6430999998723558e-08,QR,KLL-LLLL,78
64053.0,1.2324999997202615e-07,QR,KLL-LLLL,78
64365.0,2.372899999176169e-07,QR,KLL-LLLL,78
55285.0,1.45959479505736,DR,K-LL,79
55342.0,1.3359913042175444,DR,K-LL,79
57940.0,0.6735439667768621,DR,K-LL,79
57944.0,0.4900831207288786,DR,K-LL,79
57987.0,0.2392895645324175,DR,K-LL,79
58035.0,0.16930069423037092,DR,K-LL,79
58053.0,0.4022005540205034,DR,K-LL,79
58104.0,0.056333058422770914,DR,K-LL,79
58176.0,0.0,TR,KL-LLL,79
58292.0,3.263199998708864e-07,TR,KL-LLL,79
58335.0,6.481798877698897e-05,TR,KL-LLL,79
58378.0,1.8806999993809025e-07,TR,KL-LLL,79
58462.0,1.1309999997669681e-07,TR,KL-LLL,79
58534.0,0.00038578884077011285,TR,KL-LLL,79
60694.0,2.547699980125777e-06,TR,KL-LLL,79
60750.0,3.525699719730452e-05,TR,KL-LLL,79
60895.0,9.537999979874163e-07,TR,KL-LLL,79
60902.0,0.0,TR,KL-LLL,79
60978.0,4.339599962587839e-06,TR,KL-LLL,79
61007.0,4.0733997654680633e-05,TR,KL-LLL,79
61043.0,1.7472998360936058e-05,TR,KL-LLL,79
61058.0,4.871599547682568e-05,TR,KL-LLL,79
61174.0,0.00012251997415185065,TR,KL-LLL,79
61181.0,9.088596938291413e-05,TR,KL-LLL,79
61401.0,1.786399999461637e-07,QR,KLL-LLLL,79
61456.0,5.216699999548887e-08,QR,KLL-LLLL,79
63707.0,4.5909999994269874e-08,QR,KLL-LLLL,79
63904.0,7.381199995352829e-08,QR,KLL-LLLL,79
64095.0,2.0459999991078765e-07,QR,KLL-LLLL,79
64165.0,6.881499996024653e-08,QR,KLL-LLLL,79
52364.0,0.5658722138121733,DR,K-LL,80
55035.0,2.8410255287093023,DR,K-LL,80
55042.0,0.2219876888056635,DR,K-LL,80
55074.0,0.018730362585095285,DR,K-LL,80
55136.0,2.542249594209832,DR,K-LL,80
55222.0,1.2059999999980271e-09,TR,KL-LLL,80
55322.0,0.0023892947293100747,TR,KL-LLL,80
55386.0,0.005356853489847404,TR,KL-LLL,80
55489.0,0.030624696290581156,TR,KL-LLL,80
57770.0,1.2173288907075213,DR,K-LL,80
57841.0,0.6498592984658451,DR,K-LL,80
57876.0,0.2355189864853731,DR,K-LL,80
57892.0,6.3320999999342256e-09,TR,KL-LLL,80
57993.0,1.1625999891335958e-05,TR,KL-LLL,80
58031.0,1.9379999999973883e-09,TR,KL-LLL,80
58055.0,0.00016386996883536084,TR,KL-LLL,80
58066.0,4.2918999467262375e-06,TR,KL-LLL,80
58084.0,2.450799991389743e-06,TR,KL-LLL,80
58101.0,5.657699974411725e-06,TR,KL-LLL,80
58199.0,5.7908999996861444e-08,TR,KL-LLL,80
58208.0,2.324899999884836e-08,TR,KL-LLL,80
58274.0,0.000752948397999519,TR,KL-LLL,80
58352.0,7.091299482199104e-05,QR,KLL-LLLL,80
58423.0,2.9459999434684704e-05,QR,KLL-LLLL,80
58461.0,0.00010494997806232842,QR,KLL-LLLL,80
60701.0,4.6477999999973005e-10,TR,KL-LLL,80
60798.0,3.6576998693444725e-05,TR,KL-LLL,80
60863.0,6.782799239446852e-05,TR,KL-LLL,80
60964.0,0.00024385990965056817,TR,KL-LLL,80
61072.0,1.56069999980203e-07,QR,KLL-LLLL,80
61079.0,2.4995999993111605e-07,QR,KLL-LLLL,80
61110.0,2.8851999999888346e-09,QR,KLL-LLLL,80
61173.0,8.664999999311648e-08,QR,KLL-LLLL,80
63876.0,3.0815999980600026e-07,QR,KLL-LLLL,80
51886.0,1.3052841256351853,DR,K-LL,81
51957.0,0.14198529094855425,DR,K-LL,81
52056.0,0.2382839448402283,DR,K-LL,81
52260.0,0.08133324237371535,DR,K-LL,81
