DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
26625.0,0.7467664779405729,DR,K-LL,51
26429.0,1.4983502302112637,DR,K-LL,52
26464.0,0.8553937561354856,DR,K-LL,52
26971.0,0.0009964922448489353,TR,KL-LLL,52
26981.0,1.902798846362679e-05,TR,KL-LLL,52
27233.0,0.0003145692852449965,TR,KL-LLL,52
27327.0,0.0005573232905761556,TR,KL-LLL,52
26237.0,2.7458354770855307,DR,K-LL,53
26283.0,1.6631951743273992,DR,K-LL,53
26299.0,0.7122030031151061,DR,K-LL,53
26778.0,0.0015729934034973089,TR,KL-LLL,53
26790.0,0.00018320994831406398,TR,KL-LLL,53
26808.0,0.0004897993706809015,TR,KL-LLL,53
26830.0,0.0021525930084728764,TR,KL-LLL,53
26981.0,4.9292999999676245e-09,TR,KL-LLL,53
27038.0,0.00034143984039662015,TR,KL-LLL,53
27080.0,0.0006308790540025031,TR,KL-LLL,53
27116.0,0.002776186983475498,TR,KL-LLL,53
27354.0,1.0811999955820006e-06,QR,KLL-LLLL,53
27547.0,2.106499984794582e-06,QR,KLL-LLLL,53
27568.0,1.0374999842271913e-05,QR,KLL-LLLL,53
27657.0,2.0729999851182633e-06,QR,KLL-LLLL,53
27879.0,8.823299786454011e-06,QR,KLL-LLLL,53
25555.0,2.972485663580012,DR,K-LL,54
25593.0,2.3689114977725056,DR,K-LL,54
26075.0,1.395259833199386,DR,K-LL,54
26090.0,1.6501851803580585,DR,K-LL,54
26114.0,0.6406622082149245,DR,K-LL,54
26141.0,1.0782245637178258,DR,K-LL,54
26145.0,0.5898699107367712,DR,K-LL,54
26155.0,0.19652683185807787,DR,K-LL,54
26227.0,0.0,TR,KL-LLL,54
26300.0,4.707899947278416e-06,TR,KL-LLL,54
26325.0,0.0007174172267673986,TR,KL-LLL,54
26356.0,7.873299785277673e-06,TR,KL-LLL,54
26381.0,6.123599986980064e-07,TR,KL-LLL,54
26425.0,0.0026955948206800187,TR,KL-LLL,54
26655.0,0.0005007686019391888,TR,KL-LLL,54
26690.0,0.001617788872415542,TR,KL-LLL,54
26781.0,2.6021997031477978e-05,TR,KL-LLL,54
26809.0,0.0,TR,KL-LLL,54
26838.0,7.689697681373158e-05,TR,KL-LLL,54
26866.0,0.0003699196539705796,TR,KL-LLL,54
26891.0,0.000275079227705862,TR,KL-LLL,54
26897.0,0.000766257886918365,TR,KL-LLL,54
26932.0,0.0012404898641428222,TR,KL-LLL,54
26939.0,0.001937587237614134,TR,KL-LLL,54
27101.0,1.7095999906822944e-06,QR,KLL-LLLL,54
27137.0,2.26419998359027e-06,QR,KLL-LLLL,54
27408.0,6.331499805226766e-06,QR,KLL-LLLL,54
27498.0,1.5467999602478412e-06,QR,KLL-LLLL,54
27654.0,9.384799656397855e-06,QR,KLL-LLLL,54
27664.0,3.124399844890621e-06,QR,KLL-LLLL,54
24852.0,0.8929354116220415,DR,K-LL,55
25375.0,0.003926644598941451,DR,K-LL,55
25386.0,5.83676427407472,DR,K-LL,55
25407.0,0.023635044057288244,DR,K-LL,55
25428.0,4.982257733434391,DR,K-LL,55
25490.0,4.567399999937369e-09,TR,KL-LLL,55
25557.0,0.0052894499146666635,TR,KL-LLL,55
25596.0,0.01216949210517483,TR,KL-LLL,55
25635.0,0.06794986688143047,TR,KL-LLL,55
25931.0,3.2664712211042466,DR,K-LL,55
25977.0,1.7996512220494454,DR,K-LL,55
25996.0,0.8536099118256761,DR,K-LL,55
26005.0,7.668599999788012e-09,TR,KL-LLL,55
26077.0,0.00024727990384766597,TR,KL-LLL,55
26109.0,2.109999999945904e-08,TR,KL-LLL,55
26112.0,1.6656998364473637e-05,TR,KL-LLL,55
26129.0,0.0023461876552190583,TR,KL-LLL,55
26146.0,0.00010540996964676698,TR,KL-LLL,55
26152.0,9.521698487338244e-05,TR,KL-LLL,55
26177.0,3.3039999625581546e-06,TR,KL-LLL,55
26184.0,1.8781999993231764e-07,TR,KL-LLL,55
26224.0,0.00582032393809792,TR,KL-LLL,55
26297.0,2.3413999890344963e-06,QR,KLL-LLLL,55
26344.0,1.3709999759912042e-05,QR,KLL-LLLL,55
26367.0,0.00042038931022699786,QR,KLL-LLLL,55
26622.0,2.9994999999804076e-09,TR,KL-LLL,55
26681.0,0.0005111095300259328,TR,KL-LLL,55
26725.0,0.0010267968311222704,TR,KL-LLL,55
26756.0,0.004052748354942493,TR,KL-LLL,55
26848.0,6.353099894913974e-06,QR,KLL-LLLL,55
26860.0,2.2819999992158735e-07,QR,KLL-LLLL,55
26879.0,3.008999997684344e-07,QR,KLL-LLLL,55
26901.0,1.1402999808648656e-05,QR,KLL-LLLL,55
27446.0,1.7167998907269218e-05,QR,KLL-LLLL,55
24560.0,1.3996385801841227,DR,K-LL,56
24571.0,0.09200021020051224,DR,K-LL,56
24656.0,0.37778742609052984,DR,K-LL,56
24760.0,0.13383042935718273,DR,K-LL,56
25111.0,1.4553373250665687,DR,K-LL,56
25150.0,0.3940814791301733,DR,K-LL,56
25154.0,0.18532800643094988,DR,K-LL,56
25182.0,3.351468574422738,DR,K-LL,56
25221.0,0.37580010709154527,DR,K-LL,56
25245.0,2.968986415238489,DR,K-LL,56
25275.0,6.060094491031982e-05,DR,K-LL,56
25277.0,1.5286992904400827,DR,K-LL,56
25314.0,0.2505107830622565,DR,K-LL,56
25320.0,2.7859368173529218,DR,K-LL,56
25400.0,0.056132043856949254,TR,KL-LLL,56
25439.0,0.011661430992613627,TR,KL-LLL,56
25730.0,2.2032016387279594,DR,K-LL,56
25804.0,1.2205156310489536,DR,K-LL,56
25833.0,0.5459123356192683,DR,K-LL,56
25862.0,0.5555969273407888,DR,K-LL,56
25883.0,1.2757720776840564,DR,K-LL,56
25924.0,6.955596166113712e-05,TR,KL-LLL,56
25929.0,0.18751243827248237,DR,K-LL,56
25965.0,8.369799997467088e-08,TR,KL-LLL,56
25992.0,7.442299858855656e-06,TR,KL-LLL,56
26003.0,0.0027704551155430194,TR,KL-LLL,56
26014.0,0.001428341203821356,TR,KL-LLL,56
26528.0,0.0023412700475327576,TR,KL-LLL,56
26564.0,0.0004819590404368361,TR,KL-LLL,56
24328.0,2.6034313682235606,DR,K-LL,57
24366.0,5.9956880701589395e-05,DR,K-LL,57
24379.0,0.537788701622541,DR,K-LL,57
24480.0,3.2152811760159614,DR,K-LL,57
24541.0,0.08729357435729115,DR,K-LL,57
24916.0,0.0,DR,K-LL,57
24983.0,0.3446954145483032,DR,K-LL,57
25025.0,0.938212588265863,DR,K-LL,57
25059.0,4.05663550799661,DR,K-LL,57
25066.0,0.00427832117618362,DR,K-LL,57
25077.0,6.343920615807726,DR,K-LL,57
25099.0,0.01989467027593589,DR,K-LL,57
25121.0,5.420228041162127,DR,K-LL,57
25642.0,3.4938261390515173,DR,K-LL,57
25690.0,1.923750869246582,DR,K-LL,57
25716.0,0.6150885338610297,DR,K-LL,57
