DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
77382.0,0.2234204398975954,DR,K-LL,86
77052.0,0.42001513964933934,DR,K-LL,87
77114.0,0.21565694752273806,DR,K-LL,87
81603.0,3.40569995980894e-06,TR,KL-LLL,87
81719.0,1.0969999836867649e-06,TR,KL-LLL,87
82092.0,1.0630999644839506e-05,TR,KL-LLL,87
82355.0,1.7584997081729542e-05,TR,KL-LLL,87
76734.0,0.7943508027495392,DR,K-LL,88
76813.0,0.4032314272650144,DR,K-LL,88
76856.0,0.12179536919951817,DR,K-LL,88
81323.0,4.0252999988787813e-07,TR,KL-LLL,88
81340.0,8.107699944173785e-06,TR,KL-LLL,88
81370.0,5.11719999970153e-08,TR,KL-LLL,88
81470.0,1.0494999906239811e-05,TR,KL-LLL,88
81687.0,2.634199999995899e-09,TR,KL-LLL,88
81799.0,1.2735999904762775e-05,TR,KL-LLL,88
81873.0,2.190899950045622e-05,TR,KL-LLL,88
82025.0,7.827399540704615e-05,TR,KL-LLL,88
86026.0,5.840899999940381e-09,QR,KLL-LLLL,88
86343.0,1.536799999983926e-08,QR,KLL-LLLL,88
86378.0,8.497399999889267e-09,QR,KLL-LLLL,88
86645.0,5.065299999598313e-08,QR,KLL-LLLL,88
86967.0,8.561599999089462e-08,QR,KLL-LLLL,88
71974.0,1.1079703173397009,DR,K-LL,89
72038.0,1.121497613847354,DR,K-LL,89
76551.0,0.4725349824984183,DR,K-LL,89
76567.0,0.32683882838433564,DR,K-LL,89
76610.0,0.157970060791771,DR,K-LL,89
76666.0,0.09520051717459249,DR,K-LL,89
76712.0,0.27578662210285104,DR,K-LL,89
76783.0,0.03162959546271762,DR,K-LL,89
76822.0,0.0,TR,KL-LLL,89
76957.0,2.1252999995414514e-07,TR,KL-LLL,89
77009.0,2.64429984496598e-05,TR,KL-LLL,89
77058.0,1.639899999609747e-07,TR,KL-LLL,89
77189.0,5.983999999459251e-08,TR,KL-LLL,89
77276.0,0.00020920971381890762,TR,KL-LLL,89
81283.0,3.3439999971372227e-07,TR,KL-LLL,89
81346.0,8.932899849656972e-06,TR,KL-LLL,89
81486.0,0.0,TR,KL-LLL,89
81499.0,1.1083999997863061e-07,TR,KL-LLL,89
81589.0,2.251499991621234e-06,TR,KL-LLL,89
81619.0,1.7207999631453124e-05,TR,KL-LLL,89
81656.0,6.8505997882325205e-06,TR,KL-LLL,89
81681.0,1.8139999472827032e-05,TR,KL-LLL,89
81853.0,4.4159997202690596e-05,TR,KL-LLL,89
81870.0,3.410199635000685e-05,TR,KL-LLL,89
82080.0,7.45839999920771e-08,QR,KLL-LLLL,89
82143.0,7.515799999921378e-09,QR,KLL-LLLL,89
86282.0,8.076399999849474e-09,QR,KLL-LLLL,89
86547.0,2.9654999993712583e-08,QR,KLL-LLLL,89
86714.0,6.5337999992262e-08,QR,KLL-LLLL,89
86832.0,2.201899999657359e-08,QR,KLL-LLLL,89
67084.0,0.5102126489672943,DR,K-LL,90
71691.0,2.1559648825743456,DR,K-LL,90
71708.0,0.38790513918509506,DR,K-LL,90
