DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
10198.0,1.2935694578745076,DR,K-LL,29
10084.0,2.7473729116947783,DR,K-LL,30
10102.0,1.5818544656914,DR,K-LL,30
10158.0,0.00011474887390121919,TR,KL-LLL,30
10165.0,0.06776771225578711,TR,KL-LLL,30
10310.0,0.0023378942284629006,TR,KL-LLL,30
10355.0,0.004262152151014071,TR,KL-LLL,30
9967.3,6.722051288547912,DR,K-LL,31
9992.6,4.088647838884649,DR,K-LL,31
9997.6,1.8436805291405625,DR,K-LL,31
10040.0,0.21259811151811872,TR,KL-LLL,31
10054.0,0.016112016612565002,TR,KL-LLL,31
10060.0,0.08166623410867942,TR,KL-LLL,31
10070.0,0.13591246135261104,TR,KL-LLL,31
10136.0,0.00026696938935737326,QR,KLL-LLLL,31
10157.0,4.799699999919138e-09,TR,KL-LLL,31
10181.0,0.004347916749167625,TR,KL-LLL,31
10204.0,0.004990311084267993,TR,KL-LLL,31
10223.0,0.02247912580443556,TR,KL-LLL,31
10248.0,0.001233789624118862,QR,KLL-LLLL,31
10272.0,0.0028789689174714378,QR,KLL-LLLL,31
10300.0,0.00017503970208950068,QR,KLL-LLLL,31
10434.0,0.00027378945896465483,QR,KLL-LLLL,31
9796.4,3.8587266527115123,DR,K-LL,32
9823.800000000001,5.104941593260282,DR,K-LL,32
9861.1,5.664753821365774,DR,K-LL,32
9874.9,4.088554157061198,DR,K-LL,32
9885.9,1.3998137261343222,DR,K-LL,32
9897.9,0.6283259862115824,DR,K-LL,32
9898.5,3.0948910989558986,DR,K-LL,32
9901.800000000001,1.870929711792142,DR,K-LL,32
9943.1,0.0,TR,KL-LLL,32
9956.3,0.07254927819616792,TR,KL-LLL,32
9974.5,0.11168359911284247,TR,KL-LLL,32
9976.300000000001,0.0001248998441370535,TR,KL-LLL,32
9986.1,0.002666656773917612,TR,KL-LLL,32
10016.0,0.0012557849191539307,TR,KL-LLL,32
10020.0,0.00016054985285231818,TR,KL-LLL,32
10041.0,0.0010477888036991736,TR,KL-LLL,32
10046.0,0.01582284282061815,TR,KL-LLL,32
10053.0,0.0,TR,KL-LLL,32
10061.0,0.0022923468113321735,TR,KL-LLL,32
10082.0,0.002111968613425344,TR,KL-LLL,32
10093.0,0.018042344709490725,TR,KL-LLL,32
10095.0,0.009823202961304948,TR,KL-LLL,32
10109.0,0.008668420489789752,TR,KL-LLL,32
10111.0,0.026300499962153327,TR,KL-LLL,32
10161.0,0.0018513638628913697,QR,KLL-LLLL,32
10192.0,0.00027648641027737435,QR,KLL-LLLL,32
10209.0,3.862999875417544e-06,QR,KLL-LLLL,32
10227.0,2.1660995610254155e-05,QR,KLL-LLLL,32
10285.0,0.00017652870262441182,QR,KLL-LLLL,32
10291.0,0.000518947576589828,QR,KLL-LLLL,32
9630.3,1.295689387120908,DR,K-LL,33
9686.8,0.1755483709316027,DR,K-LL,33
9698.8,9.038076218776277,DR,K-LL,33
9714.5,0.24661622745943554,DR,K-LL,33
9721.699999999999,10.712523427401473,DR,K-LL,33
9736.8,3.6315999996878714e-09,TR,KL-LLL,33
9770.2,11.485689774812172,DR,K-LL,33
9790.300000000001,0.0064473893085759005,TR,KL-LLL,33
9794.800000000001,4.580208482007889,DR,K-LL,33
9803.7,3.0837266776102537,DR,K-LL,33
9804.3,0.015664696437020346,TR,KL-LLL,33
9816.9,6.432699999709391e-09,TR,KL-LLL,33
9824.300000000001,0.08706947380601933,TR,KL-LLL,33
9855.800000000001,0.025172470693344953,TR,KL-LLL,33
9865.1,0.0002160691880617781,TR,KL-LLL,33
9869.5,4.513999999261788e-08,TR,KL-LLL,33
9881.199999999999,0.03448000074865043,TR,KL-LLL,33
9896.6,0.008060776731014652,TR,KL-LLL,33
9901.699999999999,0.0021823700496004113,TR,KL-LLL,33
9903.800000000001,0.0005853382187635613,TR,KL-LLL,33
9904.6,3.180299995895646e-07,TR,KL-LLL,33
9929.3,0.05794573905665726,TR,KL-LLL,33
9937.8,1.5942999999885164e-09,TR,KL-LLL,33
9964.6,0.008827557830773042,TR,KL-LLL,33
9974.4,9.657994659047972e-05,QR,KLL-LLLL,33
9991.6,0.019690330138278287,TR,KL-LLL,33
9992.9,0.07908180860182065,TR,KL-LLL,33
10001.0,1.1489999947168924e-06,QR,KLL-LLLL,33
10011.0,0.0036992253581840827,QR,KLL-LLLL,33
10049.0,1.1560999233490777e-05,QR,KLL-LLLL,33
10063.0,6.80279831390638e-05,QR,KLL-LLLL,33
10071.0,0.0003107093935046577,QR,KLL-LLLL,33
10079.0,0.00021549983749400315,QR,KLL-LLLL,33
10156.0,0.0016205774819189524,QR,KLL-LLLL,33
9462.0,0.19221606813963885,DR,K-LL,34
9464.5,2.4204291934525752,DR,K-LL,34
9503.4,0.3946487543302565,DR,K-LL,34
9532.300000000001,1.6121452804102268,DR,K-LL,34
9550.4,0.21218399336368915,DR,K-LL,34
9556.4,0.6011920594780739,DR,K-LL,34
9566.7,0.18855530605484336,DR,K-LL,34
9569.2,3.5315886083135877,DR,K-LL,34
9602.6,1.2651303689743871,DR,K-LL,34
9612.9,7.025462374739638,DR,K-LL,34
9627.1,4.461884376735581,DR,K-LL,34
9636.5,0.02878796362940017,DR,K-LL,34
9642.4,0.27577695327507334,DR,K-LL,34
9645.1,5.4842923484715005,DR,K-LL,34
9652.4,9.21144590304795,DR,K-LL,34
9688.9,0.0988425098391015,TR,KL-LLL,34
9692.0,3.9814639528770184,DR,K-LL,34
9707.9,1.549712085947269,DR,K-LL,34
9718.5,0.027456810868157967,TR,KL-LLL,34
9725.5,3.2613206996325244,DR,K-LL,34
9729.3,0.6695147955161328,DR,K-LL,34
9751.6,0.6047523463900962,DR,K-LL,34
9752.7,0.016204317225069032,TR,KL-LLL,34
9777.5,0.0003742787424637365,TR,KL-LLL,34
9790.8,0.004525370387009151,TR,KL-LLL,34
9799.6,0.016959230957831906,TR,KL-LLL,34
9803.4,0.03390798208164569,TR,KL-LLL,34
9857.3,0.04409568728204508,TR,KL-LLL,34
9877.3,0.006137936285443978,TR,KL-LLL,34
9327.0,2.4694116761458145,DR,K-LL,35
9345.3,0.014402131314310845,DR,K-LL,35
9355.6,0.4828775610692321,DR,K-LL,35
9408.7,3.953621994959665,DR,K-LL,35
9416.3,0.0,DR,K-LL,35
9442.7,0.09470065465086677,DR,K-LL,35
9462.3,0.44112825322537724,DR,K-LL,35
9484.7,3.1260357629409348,DR,K-LL,35
9494.2,4.219615526688532,DR,K-LL,35
9495.9,0.20526587456870904,DR,K-LL,35
9508.4,10.281968565673631,DR,K-LL,35
9525.7,0.07594557064864062,DR,K-LL,35
9532.3,12.135229975585975,DR,K-LL,35
9584.2,12.669147122674756,DR,K-LL,35
9610.3,5.099812387213541,DR,K-LL,35
9632.3,1.5021437618435718,DR,K-LL,35
