DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
15146.0,1.1269430275699752,DR,K-LL,37
15002.0,2.3854665998911644,DR,K-LL,38
15026.0,1.3918153358475234,DR,K-LL,38
15173.0,1.869998045557612e-05,TR,KL-LLL,38
15176.0,0.013500624001781163,TR,KL-LLL,38
15361.0,0.0012427804739181024,TR,KL-LLL,38
15421.0,0.0022480093142273933,TR,KL-LLL,38
14859.0,4.757511341594221,DR,K-LL,39
14892.0,2.9836891230029563,DR,K-LL,39
14901.0,1.3425515436248747,DR,K-LL,39
15025.0,0.024856160339379978,TR,KL-LLL,39
15040.0,0.003360570798345533,TR,KL-LLL,39
15049.0,0.01097544771658896,TR,KL-LLL,39
15063.0,0.02672522279079657,TR,KL-LLL,39
15173.0,5.094199999940053e-09,TR,KL-LLL,39
15209.0,0.001613493263182784,TR,KL-LLL,39
15220.0,2.570499596955666e-05,QR,KLL-LLLL,39
15241.0,0.002643770031777566,TR,KL-LLL,39
15262.0,0.011712622184155431,TR,KL-LLL,39
15357.0,8.49149605215259e-05,QR,KLL-LLLL,39
15383.0,0.00034171971439624023,QR,KLL-LLLL,39
15431.0,3.0262994372989588e-05,QR,KLL-LLLL,39
15597.0,8.798096326975965e-05,QR,KLL-LLLL,39
14577.0,4.126591793068453,DR,K-LL,40
14607.0,3.7071083319875657,DR,K-LL,40
14728.0,3.0584338070294894,DR,K-LL,40
14746.0,2.878154584674621,DR,K-LL,40
14761.0,1.0915517149582628,DR,K-LL,40
14777.0,2.030239961305259,DR,K-LL,40
14780.0,0.4039759350297419,DR,K-LL,40
14782.0,1.2134488787335744,DR,K-LL,40
14837.0,0.0,TR,KL-LLL,40
14887.0,5.0459987967367434e-05,TR,KL-LLL,40
14903.0,0.00232574190957698,TR,KL-LLL,40
14924.0,0.009792669694264126,TR,KL-LLL,40
14929.0,0.00025191960669300207,TR,KL-LLL,40
14941.0,9.958899948056177e-07,TR,KL-LLL,40
14949.0,0.020492032197401044,TR,KL-LLL,40
14973.0,0.009430267306982307,TR,KL-LLL,40
15018.0,0.00022211965655744004,TR,KL-LLL,40
15042.0,0.0,TR,KL-LLL,40
15055.0,0.0006907767044692986,TR,KL-LLL,40
15080.0,0.0012628930431152904,TR,KL-LLL,40
15097.0,0.0021003194789161453,TR,KL-LLL,40
15100.0,0.005553096094272808,TR,KL-LLL,40
15117.0,0.004871881581947229,TR,KL-LLL,40
15123.0,0.010259360790444183,TR,KL-LLL,40
15244.0,3.944599914286532e-06,QR,KLL-LLLL,40
15250.0,0.00021668963973251541,QR,KLL-LLLL,40
15269.0,7.976199633547233e-06,QR,KLL-LLLL,40
15300.0,3.230896870496528e-05,QR,KLL-LLLL,40
