DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
62104.0,0.29986476586734534,DR,K-LL,78
61804.0,0.5701867717208737,DR,K-LL,79
61860.0,0.30205966514597543,DR,K-LL,79
64761.0,1.158299946623221e-05,TR,KL-LLL,79
64837.0,2.1472999276701157e-06,TR,KL-LLL,79
65199.0,2.2461998179086134e-05,TR,KL-LLL,79
65407.0,3.7713984602365185e-05,TR,KL-LLL,79
61516.0,1.052508330536331,DR,K-LL,80
61587.0,0.5626403260629924,DR,K-LL,80
61623.0,0.19314840698647762,DR,K-LL,80
64501.0,3.4486999999058036e-08,TR,KL-LLL,80
64509.0,2.6294999271723015e-05,TR,KL-LLL,80
64540.0,3.026399998800641e-07,TR,KL-LLL,80
64608.0,3.1293999106774716e-05,TR,KL-LLL,80
64828.0,3.2580999999928264e-09,TR,KL-LLL,80
64926.0,2.593799954760251e-05,TR,KL-LLL,80
64992.0,4.489099759657967e-05,TR,KL-LLL,80
65102.0,0.00017147997471129468,TR,KL-LLL,80
67560.0,1.6770999999439253e-08,QR,KLL-LLLL,80
67868.0,5.974199999724273e-08,QR,KLL-LLLL,80
67881.0,2.056899999925602e-08,QR,KLL-LLLL,80
68098.0,1.0221999998143906e-07,QR,KLL-LLLL,80
68415.0,1.8676999995078426e-07,QR,KLL-LLLL,80
58361.0,1.3791770053033097,DR,K-LL,81
58419.0,1.285620714547263,DR,K-LL,81
61330.0,0.627206592331235,DR,K-LL,81
61336.0,0.45199972784944314,DR,K-LL,81
61379.0,0.22039003691032624,DR,K-LL,81
61429.0,0.1518509692297012,DR,K-LL,81
61451.0,0.37258165687650713,DR,K-LL,81
61506.0,0.05051405208728103,DR,K-LL,81
61574.0,0.0,TR,KL-LLL,81
61694.0,2.9452999989882835e-07,TR,KL-LLL,81
61738.0,5.3888992552766224e-05,TR,KL-LLL,81
61782.0,1.4951999996243576e-07,TR,KL-LLL,81
61874.0,9.915599998280467e-08,TR,KL-LLL,81
61949.0,0.00033854914072530625,TR,KL-LLL,81
64407.0,1.577399992668026e-06,TR,KL-LLL,81
64465.0,2.6573998468794174e-05,TR,KL-LLL,81
64613.0,6.726399990466829e-07,TR,KL-LLL,81
64617.0,0.0,TR,KL-LLL,81
64697.0,3.736299973362199e-06,TR,KL-LLL,81
64726.0,3.409199840644858e-05,TR,KL-LLL,81
64763.0,1.434099893712698e-05,TR,KL-LLL,81
64780.0,3.9853997085291e-05,TR,KL-LLL,81
64906.0,9.959598359237847e-05,TR,KL-LLL,81
64914.0,7.453698013640732e-05,TR,KL-LLL,81
65134.0,1.4944999996370242e-07,QR,KLL-LLLL,81
65192.0,3.568099999796921e-08,QR,KLL-LLLL,81
67747.0,3.213899999729052e-08,QR,KLL-LLLL,81
67957.0,6.084099996962856e-08,QR,KLL-LLLL,81
68146.0,1.5962999994760173e-07,QR,KLL-LLLL,81
68223.0,5.371499997667624e-08,QR,KLL-LLLL,81
55117.0,0.551201815646647,DR,K-LL,82
58104.0,2.6842132371908707,DR,K-LL,82
58113.0,0.2555744087968206,DR,K-LL,82
58144.0,0.019037368445418427,DR,K-LL,82
58213.0,2.39999673053376,DR,K-LL,82
58298.0,1.088699999998461e-09,TR,KL-LLL,82
58400.0,0.0022260956043841508,TR,KL-LLL,82
58466.0,0.005056060353671772,TR,KL-LLL,82
58578.0,0.029094870411676993,TR,KL-LLL,82
61164.0,1.1297128726510635,DR,K-LL,82
61236.0,0.5977427165453186,DR,K-LL,82
61273.0,0.21088532095313714,DR,K-LL,82
61288.0,5.966699999945039e-09,TR,KL-LLL,82
61391.0,9.775599926209136e-06,TR,KL-LLL,82
61429.0,1.4146999999986472e-09,TR,KL-LLL,82
61452.0,0.00013481997972925424,TR,KL-LLL,82
61468.0,4.9888999311488945e-06,TR,KL-LLL,82
61483.0,1.8064999955042905e-06,TR,KL-LLL,82
61501.0,4.739599982799433e-06,TR,KL-LLL,82
61608.0,5.201799999757674e-08,TR,KL-LLL,82
61620.0,1.8894999999264572e-08,TR,KL-LLL,82
61687.0,0.0006570588240339023,TR,KL-LLL,82
61762.0,8.665299256248164e-05,QR,KLL-LLLL,82
61835.0,3.7951999098753934e-05,QR,KLL-LLLL,82
61874.0,0.00010203998006758367,QR,KLL-LLLL,82
64420.0,4.03379999999804e-10,TR,KL-LLL,82
64520.0,3.0043999150772444e-05,TR,KL-LLL,82
64587.0,5.571799505582655e-05,TR,KL-LLL,82
64697.0,0.00019872994254649672,TR,KL-LLL,82
64800.0,1.3673999998535527e-07,QR,KLL-LLLL,82
64809.0,1.8035999996618569e-07,QR,KLL-LLLL,82
64840.0,6.721999999994167e-10,QR,KLL-LLLL,82
64910.0,5.137999999762937e-08,QR,KLL-LLLL,82
67932.0,2.384999998879322e-07,QR,KLL-LLLL,82
54622.0,1.3293773448231079,DR,K-LL,83
54701.0,0.1614949226131545,DR,K-LL,83
54797.0,0.23070389437419786,DR,K-LL,83
55012.0,0.0786361789361308,DR,K-LL,83
57707.0,0.9205509285804819,DR,K-LL,83
