DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
19598.0,0.9565961359885697,DR,K-LL,43
19432.0,1.9749259577727103,DR,K-LL,44
19461.0,1.144222534004876,DR,K-LL,44
19724.0,0.004238015053168097,TR,KL-LLL,44
19725.0,2.827596567569777e-05,TR,KL-LLL,44
19940.0,0.0007004152337980124,TR,KL-LLL,44
20014.0,0.0012569541408641647,TR,KL-LLL,44
19268.0,3.729027746646124,DR,K-LL,45
19307.0,2.313916799407239,DR,K-LL,45
19319.0,1.0258662997768488,DR,K-LL,45
19554.0,0.006823330891910008,TR,KL-LLL,45
19568.0,0.0009832180364862685,TR,KL-LLL,45
19581.0,0.0027685729369784935,TR,KL-LLL,45
19598.0,0.008714851106116183,TR,KL-LLL,45
19725.0,5.1094999999534465e-09,TR,KL-LLL,45
19770.0,0.0008053987678747964,TR,KL-LLL,45
19807.0,0.0014429932959028828,TR,KL-LLL,45
19832.0,0.006440608269690603,TR,KL-LLL,45
19871.0,5.6419998441879365e-06,QR,KLL-LLLL,45
20031.0,1.4909999009001614e-05,QR,KLL-LLLL,45
20056.0,7.164699014431571e-05,QR,KLL-LLLL,45
20120.0,9.006799620919876e-06,QR,KLL-LLLL,45
20310.0,3.341199590912239e-05,QR,KLL-LLLL,45
18855.0,3.673540782599516,DR,K-LL,46
18888.0,3.012167000297907,DR,K-LL,46
19122.0,2.1070511261945164,DR,K-LL,46
19140.0,2.249048834073918,DR,K-LL,46
19159.0,0.8724945472753218,DR,K-LL,46
19179.0,1.5280635804421938,DR,K-LL,46
19184.0,0.8838414176372593,DR,K-LL,46
19186.0,0.29427991669530396,DR,K-LL,46
19250.0,0.0,TR,KL-LLL,46
19310.0,1.8220998892768073e-05,TR,KL-LLL,46
19330.0,0.0015006828345103434,TR,KL-LLL,46
19358.0,5.950698329722079e-05,TR,KL-LLL,46
19375.0,1.0208999953651643e-06,TR,KL-LLL,46
19411.0,0.005542025502682804,TR,KL-LLL,46
19442.0,0.0025980520265797033,TR,KL-LLL,46
19471.0,0.006536661108254085,TR,KL-LLL,46
19548.0,8.053996327838368e-05,TR,KL-LLL,46
19576.0,0.0,TR,KL-LLL,46
19594.0,0.0002584396447219947,TR,KL-LLL,46
19621.0,0.0007586080691755106,TR,KL-LLL,46
19642.0,0.0008156308470836861,TR,KL-LLL,46
19646.0,0.002244875420004231,TR,KL-LLL,46
19668.0,0.002856233996418812,TR,KL-LLL,46
19676.0,0.005002084265989702,TR,KL-LLL,46
19814.0,3.0226999610904983e-06,QR,KLL-LLLL,46
19844.0,5.177399883409792e-06,QR,KLL-LLLL,46
19909.0,4.475398754776669e-05,QR,KLL-LLLL,46
19975.0,7.98599855435638e-06,QR,KLL-LLLL,46
20112.0,4.078299152339229e-05,QR,KLL-LLLL,46
20114.0,1.3543996106097977e-05,QR,KLL-LLLL,46
18431.0,1.064051114564113,DR,K-LL,47
18699.0,0.05139108332924891,DR,K-LL,47
18712.0,7.32132126101504,DR,K-LL,47
18730.0,0.04034651559887969,DR,K-LL,47
18745.0,6.314230443732634,DR,K-LL,47
18793.0,6.293099999815275e-09,TR,KL-LLL,47
18852.0,0.006317103404253557,TR,KL-LLL,47
18883.0,0.015289841216010104,TR,KL-LLL,47
18913.0,0.08775721444803805,TR,KL-LLL,47
18997.0,4.786307855700823,DR,K-LL,47
19036.0,2.517941797575211,DR,K-LL,47
19050.0,1.3150716151444213,DR,K-LL,47
19058.0,8.275699999680428e-09,TR,KL-LLL,47
19119.0,0.0009994378603464223,TR,KL-LLL,47
19145.0,7.978494845754844e-05,TR,KL-LLL,47
19147.0,3.6684999997831146e-08,TR,KL-LLL,47
19165.0,0.00601459060995823,TR,KL-LLL,47
19180.0,0.0003858094678006554,TR,KL-LLL,47
19183.0,0.0003798196496843433,TR,KL-LLL,47
19198.0,2.9424996631331226e-05,TR,KL-LLL,47
19205.0,2.4662999984257224e-07,TR,KL-LLL,47
19238.0,0.012873874418582133,TR,KL-LLL,47
19302.0,5.500299917642865e-06,QR,KLL-LLLL,47
19341.0,2.9711998460974053e-05,QR,KLL-LLLL,47
19360.0,0.0009483051822371788,QR,KLL-LLLL,47
19410.0,4.968799999933243e-09,TR,KL-LLL,47
19458.0,0.0013512957014184504,TR,KL-LLL,47
19495.0,0.0028400687837608946,TR,KL-LLL,47
19513.0,0.011251445062949783,TR,KL-LLL,47
19593.0,1.2796999421664762e-05,QR,KLL-LLLL,47
19607.0,1.2874999996722412e-07,QR,KLL-LLLL,47
19621.0,8.36739999976078e-09,QR,KLL-LLLL,47
19637.0,3.775699728654393e-05,QR,KLL-LLLL,47
19927.0,8.477296552915846e-05,QR,KLL-LLLL,47
18189.0,1.6220673855894803,DR,K-LL,48
18192.0,0.12193625043120844,DR,K-LL,48
18264.0,0.43322339705193763,DR,K-LL,48
18349.0,0.15997250560331716,DR,K-LL,48
18477.0,1.5967205214562943,DR,K-LL,48
18509.0,0.22835625886744834,DR,K-LL,48
18509.0,0.47380669641275047,DR,K-LL,48
18537.0,4.005598189357261,DR,K-LL,48
18570.0,0.5470878080610906,DR,K-LL,48
18591.0,3.8779585627495274,DR,K-LL,48
18617.0,2.1123372077732827,DR,K-LL,48
18618.0,0.0007311887670169944,DR,K-LL,48
18640.0,0.25822873349165876,DR,K-LL,48
18648.0,3.578856721182432,DR,K-LL,48
18716.0,0.0728709327575411,TR,KL-LLL,48
18750.0,0.015248674876711428,TR,KL-LLL,48
18826.0,3.42065555267865,DR,K-LL,48
18887.0,1.7547645666843605,DR,K-LL,48
18912.0,0.7993174393188052,DR,K-LL,48
18937.0,0.6835832821182596,DR,K-LL,48
18948.0,1.7790518589350879,DR,K-LL,48
18983.0,0.0004816474344924949,TR,KL-LLL,48
18986.0,0.27855426175073206,DR,K-LL,48
19020.0,2.033399980114408e-06,TR,KL-LLL,48
19041.0,8.197597765566072e-05,TR,KL-LLL,48
19054.0,0.006470872497182417,TR,KL-LLL,48
19056.0,0.0033539653028622,TR,KL-LLL,48
19320.0,0.006549701294601554,TR,KL-LLL,48
19350.0,0.001245791608821477,TR,KL-LLL,48
17992.0,2.652230786965752,DR,K-LL,49
18021.0,0.0039284486548064775,DR,K-LL,49
18036.0,0.5964540935937303,DR,K-LL,49
18115.0,3.407170388107227,DR,K-LL,49
18168.0,0.10314512326314847,DR,K-LL,49
18311.0,0.0,DR,K-LL,49
18369.0,0.41659069158810025,DR,K-LL,49
18404.0,1.3344579359665443,DR,K-LL,49
18427.0,5.0837904343874,DR,K-LL,49
18433.0,0.057243425923586645,DR,K-LL,49
18446.0,8.047487570602724,DR,K-LL,49
18465.0,0.026788863493237173,DR,K-LL,49
18481.0,6.943474924210867,DR,K-LL,49
18744.0,5.164783258007088,DR,K-LL,49
18784.0,2.7188534798103174,DR,K-LL,49
18808.0,0.8524552221663194,DR,K-LL,49
