DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
3355.0,0.4761728562735129,DR,K-LL,13
3304.1999999999994,0.2504678369661125,DR,K-LL,14
3307.7000000000003,0.10079596437700425,DR,K-LL,14
3310.6,0.014155424324596958,DR,K-LL,14
3320.6,0.10126891930243691,DR,K-LL,14
3388.9,0.000654708713402866,TR,KL-LLL,14
3409.8,0.0011844967572285506,TR,KL-LLL,14
3235.2,12.414065548422714,DR,K-LL,15
3239.2000000000003,2.5338949535078124,TR,KL-LLL,15
3240.5,2.1340596691348552,DR,K-LL,15
3254.4000000000005,3.7349453749924075,DR,K-LL,15
3255.4,0.05621686506693421,TR,KL-LLL,15
3259.9000000000005,4.821143565162372,TR,KL-LLL,15
3260.5,1.2961534571552702,TR,KL-LLL,15
3268.5,0.011624902335454953,QR,KLL-LLLL,15
3304.7,0.0,TR,KL-LLL,15
3307.9000000000005,0.02955724071975659,TR,KL-LLL,15
3310.5,0.007396093866690839,QR,KLL-LLLL,15
3332.5,0.036374486556005836,TR,KL-LLL,15
3334.4,0.032508787307547034,TR,KL-LLL,15
3347.4,0.022832210359676117,TR,KL-LLL,15
3349.7,0.005847303468556201,QR,KLL-LLLL,15
3417.5,0.0004576644193826737,QR,KLL-LLLL,15
3161.7000000000003,0.17430748754700057,DR,K-LL,16
3184.4000000000005,6.761586724267606,DR,K-LL,16
3184.5,9.995361313715854,DR,K-LL,16
3185.3,7.749090351163835,DR,K-LL,16
3190.7999999999997,0.8676945428388221,DR,K-LL,16
3193.4,1.3122487321563565,DR,K-LL,16
3193.6,5.332242400567863,TR,KL-LLL,16
3194.9000000000005,3.0737960518410783,DR,K-LL,16
3201.9,5.8383313185839185,DR,K-LL,16
3209.2999999999997,3.4214139282755975,TR,KL-LLL,16
3214.6,0.0,TR,KL-LLL,16
3218.2999999999997,1.2499991016626504e-05,TR,KL-LLL,16
3220.0999999999995,0.0002785325877889185,TR,KL-LLL,16
3249.0,0.014543358372359875,TR,KL-LLL,16
3250.5999999999995,0.01781407450346448,TR,KL-LLL,16
3251.0,0.0,TR,KL-LLL,16
3252.4000000000005,0.00844899548781048,TR,KL-LLL,16
3253.7999999999997,0.00486383378880634,TR,KL-LLL,16
3254.4,0.008315608414446108,TR,KL-LLL,16
3267.2999999999997,0.07782370867336752,TR,KL-LLL,16
3271.7999999999997,0.0011017572161355507,TR,KL-LLL,16
3275.5999999999995,0.14406588618107066,TR,KL-LLL,16
3277.2,0.07976207302613668,TR,KL-LLL,16
3277.4000000000005,0.06329740704751537,TR,KL-LLL,16
3288.1,0.031365978543084476,TR,KL-LLL,16
3291.6,0.034471558743284614,QR,KLL-LLLL,16
3326.9,4.384099421009546e-06,QR,KLL-LLLL,16
3330.5,0.0030145601161244598,QR,KLL-LLLL,16
3333.6,0.0021368123571811433,QR,KLL-LLLL,16
3344.6,0.00342160836436057,QR,KLL-LLLL,16
3110.2999999999997,0.28714108646724895,DR,K-LL,17
3113.3,0.06863257982038473,DR,K-LL,17
