DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
29610.0,0.6777920145431006,DR,K-LL,54
29402.0,1.3483965567698941,DR,K-LL,55
29440.0,0.7647882570262231,DR,K-LL,55
30075.0,0.0005921975053311781,TR,KL-LLL,55
30089.0,1.527599326618901e-05,TR,KL-LLL,55
30354.0,0.00023257964577651487,TR,KL-LLL,55
30457.0,0.00041037670103889756,TR,KL-LLL,55
29201.0,2.4587623373673093,DR,K-LL,56
29249.0,1.473348143526941,DR,K-LL,56
29267.0,0.6208050604208921,DR,K-LL,56
29874.0,0.0009548378284596128,TR,KL-LLL,56
29885.0,9.507198731404784e-05,TR,KL-LLL,56
29904.0,0.0002582498414438277,TR,KL-LLL,56
29929.0,0.001300997649985607,TR,KL-LLL,56
30089.0,4.813299999971963e-09,TR,KL-LLL,56
30151.0,0.00025154992196143233,TR,KL-LLL,56
30195.0,0.000463629536985486,TR,KL-LLL,56
30235.0,0.0020173937348227514,TR,KL-LLL,56
30584.0,6.156399986882446e-07,QR,KLL-LLLL,56
30789.0,1.0811999963429705e-06,QR,KLL-LLLL,56
30809.0,5.352399961632481e-06,QR,KLL-LLLL,56
30909.0,1.2900999947704367e-06,QR,KLL-LLLL,56
31143.0,5.381799927773914e-06,QR,KLL-LLLL,56
28381.0,2.7310494316186444,DR,K-LL,57
28421.0,2.184478531470866,DR,K-LL,57
29033.0,1.2149776838782254,DR,K-LL,57
29047.0,1.4759891347708893,DR,K-LL,57
29074.0,0.5702153357409536,DR,K-LL,57
29103.0,0.9520128319741273,DR,K-LL,57
29106.0,0.5088929296291548,DR,K-LL,57
29120.0,0.1695630862921075,DR,K-LL,57
29195.0,0.0,TR,KL-LLL,57
29272.0,2.984499980923954e-06,TR,KL-LLL,57
29300.0,0.000535518614125276,TR,KL-LLL,57
29331.0,3.694399957311951e-06,TR,KL-LLL,57
29361.0,4.940899992255323e-07,TR,KL-LLL,57
29408.0,0.0020744430289681877,TR,KL-LLL,57
29748.0,0.00027480961315248803,TR,KL-LLL,57
29786.0,0.000987026223863503,TR,KL-LLL,57
29882.0,1.764799875365312e-05,TR,KL-LLL,57
29910.0,0.0,TR,KL-LLL,57
29942.0,5.0547990950565585e-05,TR,KL-LLL,57
29972.0,0.0002819398165596714,TR,KL-LLL,57
29998.0,0.00018927966809984955,TR,KL-LLL,57
30004.0,0.0005301690810870988,TR,KL-LLL,57
30046.0,0.0008980150929420467,TR,KL-LLL,57
30052.0,0.0013669942638021705,TR,KL-LLL,57
30223.0,1.3366999948234647e-06,QR,KLL-LLLL,57
30261.0,1.612599992467501e-06,QR,KLL-LLLL,57
30646.0,3.167399955181917e-06,QR,KLL-LLLL,57
30746.0,9.194999873092476e-07,QR,KLL-LLLL,57
30909.0,5.506599891873336e-06,QR,KLL-LLLL,57
30923.0,1.835499951361345e-06,QR,KLL-LLLL,57
27536.0,0.8375094584910802,DR,K-LL,58
28193.0,9.84169920430506e-06,DR,K-LL,58
28202.0,5.347975594368488,DR,K-LL,58
28225.0,0.021058585882547675,DR,K-LL,58
28249.0,4.590003134331095,DR,K-LL,58
28316.0,3.935999999959162e-09,TR,KL-LLL,58
28386.0,0.004884361311052003,TR,KL-LLL,58
28428.0,0.011051626950402599,TR,KL-LLL,58
28471.0,0.061467908971713364,TR,KL-LLL,58
28883.0,2.8672499895347023,DR,K-LL,58
28932.0,1.5908110330855927,DR,K-LL,58
28952.0,0.7308531915567549,DR,K-LL,58
28963.0,1.2689999999473934e-08,TR,KL-LLL,58
29038.0,0.00015774996460330494,TR,KL-LLL,58
29071.0,1.649899999969751e-08,TR,KL-LLL,58
29076.0,7.307099716573194e-06,TR,KL-LLL,58
29092.0,0.0016638943722959224,TR,KL-LLL,58
29111.0,6.545998933213528e-05,TR,KL-LLL,58
29117.0,6.197899428823175e-05,TR,KL-LLL,58
29148.0,1.5334999923769176e-06,TR,KL-LLL,58
29154.0,1.6687999995183998e-07,TR,KL-LLL,58
29198.0,0.004395808210258454,TR,KL-LLL,58
29273.0,3.152399982026159e-06,QR,KLL-LLLL,58
29323.0,7.4226999364058125e-06,QR,KLL-LLLL,58
29347.0,0.0003210196368103564,QR,KLL-LLLL,58
29716.0,2.4053999999883272e-09,TR,KL-LLL,58
29780.0,0.00036213978431622393,TR,KL-LLL,58
29825.0,0.0007150985892047675,TR,KL-LLL,58
29862.0,0.0028072777827021947,TR,KL-LLL,58
29959.0,4.646899949702992e-06,QR,KLL-LLLL,58
29970.0,3.256099998542761e-07,QR,KLL-LLLL,58
29990.0,2.769299998218781e-07,QR,KLL-LLLL,58
30015.0,7.008099933402801e-06,QR,KLL-LLLL,58
30694.0,9.721299678850036e-06,QR,KLL-LLLL,58
27225.0,1.3466872655351374,DR,K-LL,59
27240.0,0.08468948701185439,DR,K-LL,59
27330.0,0.35655707588406366,DR,K-LL,59
27442.0,0.125211908890476,DR,K-LL,59
27913.0,1.3929251210912643,DR,K-LL,59
27954.0,0.36823893455958273,DR,K-LL,59
27960.0,0.16675602882909457,DR,K-LL,59
27987.0,3.1016635675967006,DR,K-LL,59
28030.0,0.32800739159618686,DR,K-LL,59
28055.0,2.713388265740682,DR,K-LL,59
28086.0,0.0002875488862902954,DR,K-LL,59
28089.0,1.3886794822736557,DR,K-LL,59
28132.0,0.23724220883774724,DR,K-LL,59
28137.0,2.548508228366152,DR,K-LL,59
28221.0,0.051040534412287286,TR,KL-LLL,59
28262.0,0.010654570926978125,TR,KL-LLL,59
28671.0,1.9029816986140762,DR,K-LL,59
28750.0,1.073336509787627,DR,K-LL,59
28780.0,0.4740211245036702,DR,K-LL,59
28811.0,0.5065354936079148,DR,K-LL,59
28837.0,1.1314615265281136,DR,K-LL,59
28880.0,3.412599187098937e-05,TR,KL-LLL,59
28886.0,0.16233484330014275,DR,K-LL,59
28922.0,1.4650999992947054e-07,TR,KL-LLL,59
28951.0,2.765699982092645e-06,TR,KL-LLL,59
28961.0,0.0020553775632455697,TR,KL-LLL,59
28976.0,0.0010568708151171024,TR,KL-LLL,59
29621.0,0.0016184868359294914,TR,KL-LLL,59
29660.0,0.00034104956128994476,TR,KL-LLL,59
26980.0,2.5746803838431034,DR,K-LL,60
27021.0,0.00023207847671999883,DR,K-LL,60
27033.0,0.509167441051293,DR,K-LL,60
27144.0,3.176051623328943,DR,K-LL,60
27207.0,0.08091801794323313,DR,K-LL,60
27706.0,0.0,DR,K-LL,60
27777.0,0.31979225317709925,DR,K-LL,60
27822.0,0.8363461484376741,DR,K-LL,60
27861.0,3.722019430898431,DR,K-LL,60
27868.0,1.2845998684803534e-05,DR,K-LL,60
27877.0,5.793110250699264,DR,K-LL,60
27901.0,0.018811914586825615,DR,K-LL,60
27926.0,4.977197105987862,DR,K-LL,60
28581.0,3.058668256116976,DR,K-LL,60
28632.0,1.6957018397729449,DR,K-LL,60
28659.0,0.5428161826813356,DR,K-LL,60
