DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
18809.0,0.9848985290776282,DR,K-LL,42
18647.0,2.041713104914038,DR,K-LL,43
18675.0,1.1847146078753363,DR,K-LL,43
18916.0,0.0051171200463792105,TR,KL-LLL,43
18916.0,2.846996373575844e-05,TR,KL-LLL,43
19127.0,0.0007726539562862381,TR,KL-LLL,43
19198.0,0.0013886416862121276,TR,KL-LLL,43
18487.0,3.879914369570421,DR,K-LL,44
18524.0,2.4133946019488297,DR,K-LL,44
18536.0,1.0735284495378372,DR,K-LL,44
18749.0,0.008347136766707829,TR,KL-LLL,44
18764.0,0.0012084969187767629,TR,KL-LLL,44
18776.0,0.003461255929398465,TR,KL-LLL,44
18791.0,0.010452777700961407,TR,KL-LLL,44
18916.0,5.1169999999513796e-09,TR,KL-LLL,44
18960.0,0.0009014283820617282,TR,KL-LLL,44
18995.0,0.001598991403872691,TR,KL-LLL,44
19020.0,0.007138083218512385,TR,KL-LLL,44
19042.0,7.1260997425771254e-06,QR,KLL-LLLL,44
19198.0,1.961799822425726e-05,QR,KLL-LLLL,44
19223.0,9.23669829936261e-05,QR,KLL-LLLL,44
19284.0,1.0938999416645761e-05,QR,KLL-LLLL,44
19471.0,3.939899407767644e-05,QR,KLL-LLLL,44
18099.0,3.760322326141283,DR,K-LL,45
18132.0,3.11263314169798,DR,K-LL,45
18343.0,2.23170805125611,DR,K-LL,45
18361.0,2.3412531135700982,DR,K-LL,45
18379.0,0.9063913469697988,DR,K-LL,45
18399.0,1.5996256570282221,DR,K-LL,45
18404.0,0.93097186859283,DR,K-LL,45
18405.0,0.3099441710097128,DR,K-LL,45
18468.0,0.0,TR,KL-LLL,45
18526.0,2.1768998337663676e-05,TR,KL-LLL,45
18546.0,0.0016312786545059394,TR,KL-LLL,45
18573.0,7.636697128507813e-05,TR,KL-LLL,45
18589.0,1.0579999948702216e-06,TR,KL-LLL,45
18624.0,0.006067487958758492,TR,KL-LLL,45
18639.0,0.003217724011736729,TR,KL-LLL,45
18667.0,0.007856741820420414,TR,KL-LLL,45
18742.0,9.415394811982433e-05,TR,KL-LLL,45
18770.0,0.0,TR,KL-LLL,45
18787.0,0.0003034694893228825,TR,KL-LLL,45
18814.0,0.0008282976037560276,TR,KL-LLL,45
18834.0,0.0009458271555748525,TR,KL-LLL,45
18838.0,0.002596865594399493,TR,KL-LLL,45
18859.0,0.0031463180168465202,TR,KL-LLL,45
18867.0,0.005638146554020078,TR,KL-LLL,45
19002.0,3.19059995486441e-06,QR,KLL-LLLL,45
19031.0,5.635399855762171e-06,QR,KLL-LLLL,45
19078.0,5.7891978455201876e-05,QR,KLL-LLLL,45
19142.0,9.958897651778897e-06,QR,KLL-LLLL,45
19277.0,4.9137987240884665e-05,QR,KLL-LLLL,45
19277.0,1.631699411682479e-05,QR,KLL-LLLL,45
17702.0,1.0871968162753287,DR,K-LL,46
17946.0,0.060262665688588256,DR,K-LL,46
17959.0,7.5185391575793625,DR,K-LL,46
17977.0,0.04429364336862726,DR,K-LL,46
17991.0,6.520619288006663,DR,K-LL,46
18037.0,6.458299999791566e-09,TR,KL-LLL,46
18095.0,0.006426395702061605,TR,KL-LLL,46
18125.0,0.01564971875144067,TR,KL-LLL,46
18155.0,0.09034884610593359,TR,KL-LLL,46
18221.0,5.043354295347452,DR,K-LL,46
18258.0,2.6277923081085723,DR,K-LL,46
18272.0,1.3914438423729747,DR,K-LL,46
18280.0,8.314299999667368e-09,TR,KL-LLL,46
18340.0,0.001213996700015346,TR,KL-LLL,46
18365.0,9.276092715649666e-05,TR,KL-LLL,46
18367.0,3.87899999974734e-08,TR,KL-LLL,46
18384.0,0.006775155243780859,TR,KL-LLL,46
18400.0,0.0004537392370520739,TR,KL-LLL,46
