DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
10758.0,1.282711311180236,DR,K-LL,30
10640.0,2.740868248841431,DR,K-LL,31
10659.0,1.585909621559145,DR,K-LL,31
10723.0,4.684382305565626e-05,TR,KL-LLL,31
10729.0,0.05553333360608583,TR,KL-LLL,31
10879.0,0.0021954120707693035,TR,KL-LLL,31
10926.0,0.003999929785751283,TR,KL-LLL,31
10520.0,6.430343940231636,DR,K-LL,32
10546.0,3.9557382913773873,DR,K-LL,32
10552.0,1.7827903835237398,DR,K-LL,32
10601.0,0.15732493205207684,TR,KL-LLL,32
10616.0,0.013372357221193879,TR,KL-LLL,32
10622.0,0.06295022613337016,TR,KL-LLL,32
10632.0,0.10985814515918943,TR,KL-LLL,32
10706.0,0.0001951296885785692,QR,KLL-LLLL,32
10722.0,4.8575999999218375e-09,TR,KL-LLL,32
10748.0,0.00383383992980713,TR,KL-LLL,32
10772.0,0.00473694463505038,TR,KL-LLL,32
10791.0,0.02104841670787378,TR,KL-LLL,32
10821.0,0.0008816148147198006,QR,KLL-LLLL,32
10846.0,0.002226182563541402,QR,KLL-LLLL,32
10876.0,0.00013967982215150953,QR,KLL-LLLL,32
11014.0,0.0002413896032070336,QR,KLL-LLLL,32
10339.0,4.002218824624421,DR,K-LL,33
10366.0,4.89182731600911,DR,K-LL,33
10411.0,5.2115858599675,DR,K-LL,33
10425.0,3.9079069027086724,DR,K-LL,33
10437.0,1.366120412083977,DR,K-LL,33
10449.0,0.5940961188994128,DR,K-LL,33
10450.0,2.9280816407774695,DR,K-LL,33
10453.0,1.7735669545459722,DR,K-LL,33
10496.0,0.0,TR,KL-LLL,33
10515.0,0.05536435103892844,TR,KL-LLL,33
10532.0,0.00011996987201189359,TR,KL-LLL,33
10534.0,0.08926807786763571,TR,KL-LLL,33
10542.0,0.0027391617774186884,TR,KL-LLL,33
10572.0,0.0010565899425481115,TR,KL-LLL,33
10576.0,8.609495806209349e-05,TR,KL-LLL,33
10600.0,0.0008712226531585654,TR,KL-LLL,33
10604.0,0.01526648640273544,TR,KL-LLL,33
10615.0,0.0,TR,KL-LLL,33
10623.0,0.002028260371516475,TR,KL-LLL,33
10644.0,0.002024573182195489,TR,KL-LLL,33
10657.0,0.015740410324382052,TR,KL-LLL,33
10658.0,0.00796694015127836,TR,KL-LLL,33
10673.0,0.008064372719351563,TR,KL-LLL,33
10676.0,0.023432141675243864,TR,KL-LLL,33
10732.0,0.0014239794829628252,QR,KLL-LLLL,33
10765.0,0.0002075480968896238,QR,KLL-LLLL,33
10776.0,3.992599874364631e-06,QR,KLL-LLLL,33
10795.0,1.713299744014849e-05,QR,KLL-LLLL,33
10861.0,0.000148029138794838,QR,KLL-LLLL,33
10867.0,0.00043782835024219974,QR,KLL-LLLL,33
10161.0,1.2979145281825875,DR,K-LL,34
10225.0,0.17015044083724054,DR,K-LL,34
10238.0,9.109781958541234,DR,K-LL,34
10253.0,0.21091492446442348,DR,K-LL,34
10261.0,10.249545703373759,DR,K-LL,34
10279.0,4.2098999996517716e-09,TR,KL-LLL,34
10317.0,10.665823034798162,DR,K-LL,34
10332.0,0.0065912939622220085,TR,KL-LLL,34
10343.0,4.3967657973680785,DR,K-LL,34
10348.0,0.016177780914771914,TR,KL-LLL,34
10352.0,2.8893825260397903,DR,K-LL,34
10365.0,6.840799999682754e-09,TR,KL-LLL,34
10369.0,0.09424781033164993,TR,KL-LLL,34
10405.0,0.020029008393515048,TR,KL-LLL,34
10416.0,0.00022520917431436945,TR,KL-LLL,34
10420.0,4.7504999992476694e-08,TR,KL-LLL,34
10432.0,0.029754029524603945,TR,KL-LLL,34
10448.0,0.006563242189286284,TR,KL-LLL,34
10452.0,0.0021134732404642985,TR,KL-LLL,34
10455.0,0.0005233586301423185,TR,KL-LLL,34
10457.0,3.1760999959542985e-07,TR,KL-LLL,34
10482.0,0.05192905698710254,TR,KL-LLL,34
10495.0,2.299899999977453e-09,TR,KL-LLL,34
10524.0,0.007760349621557761,TR,KL-LLL,34
10528.0,8.320496285542774e-05,QR,KLL-LLLL,34
10552.0,0.017100085409394623,TR,KL-LLL,34
10554.0,0.06829802927770973,TR,KL-LLL,34
10556.0,3.5117999546886234e-06,QR,KLL-LLLL,34
10567.0,0.00345736018682519,QR,KLL-LLLL,34
10612.0,1.387399892133316e-05,QR,KLL-LLLL,34
10626.0,5.131399088629844e-05,QR,KLL-LLLL,34
