DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
42417.0,0.4705191065090555,DR,K-LL,65
42167.0,0.9134807876350559,DR,K-LL,66
42213.0,0.5041523589208621,DR,K-LL,66
43554.0,9.405395338700354e-05,TR,KL-LLL,66
43588.0,6.282499169059906e-06,TR,KL-LLL,66
43902.0,7.802997077185377e-05,TR,KL-LLL,66
44045.0,0.0001343597404353214,TR,KL-LLL,66
41926.0,1.6613517771759498,DR,K-LL,67
41985.0,0.9508813597081027,DR,K-LL,67
42010.0,0.3720827253285225,DR,K-LL,67
43326.0,0.00017577995050307651,TR,KL-LLL,67
43330.0,5.986199962612963e-06,TR,KL-LLL,67
43357.0,2.2213999140436682e-05,TR,KL-LLL,67
43395.0,0.0002206099469677788,TR,KL-LLL,67
43587.0,4.21399999998415e-09,TR,KL-LLL,67
43665.0,8.631799333495825e-05,TR,KL-LLL,67
43719.0,0.00015416996241406644,TR,KL-LLL,67
43783.0,0.000637199537197654,TR,KL-LLL,67
44768.0,9.91759999743775e-08,QR,KLL-LLLL,67
45025.0,1.2893999996134156e-07,QR,KLL-LLLL,67
45034.0,5.564599996885721e-07,QR,KLL-LLLL,67
45182.0,2.964199997958186e-07,QR,KLL-LLLL,67
45458.0,9.616199982909486e-07,QR,KLL-LLLL,67
40367.0,1.9947195996803468,DR,K-LL,68
40416.0,1.6764702203926674,DR,K-LL,68
41745.0,0.7623587232627345,DR,K-LL,68
41752.0,0.9935190768384371,DR,K-LL,68
41788.0,0.3713973245554912,DR,K-LL,68
41828.0,0.2973059642618472,DR,K-LL,68
41831.0,0.6141609786399408,DR,K-LL,68
41863.0,0.09902655377688524,DR,K-LL,68
41943.0,0.0,TR,KL-LLL,68
42038.0,7.669699990859333e-07,TR,KL-LLL,68
42073.0,0.0001846998819384254,TR,KL-LLL,68
42110.0,3.5983999970681603e-07,TR,KL-LLL,68
42160.0,2.3290999987275324e-07,TR,KL-LLL,68
42219.0,0.0008459629227634823,TR,KL-LLL,68
43197.0,2.9653996594092887e-05,TR,KL-LLL,68
43244.0,0.0001764699104447143,TR,KL-LLL,68
43365.0,4.431999942432852e-06,TR,KL-LLL,68
43386.0,0.0,TR,KL-LLL,68
43437.0,1.2793999580062923e-05,TR,KL-LLL,68
43467.0,0.00010566998055414597,TR,KL-LLL,68
43499.0,5.375398026096027e-05,TR,KL-LLL,68
43508.0,0.00015261994362037232,TR,KL-LLL,68
43582.0,0.00027870963913126194,TR,KL-LLL,68
43583.0,0.00039597965145153163,TR,KL-LLL,68
43785.0,4.94669999476057e-07,QR,KLL-LLLL,68
43832.0,3.4218999975192445e-07,QR,KLL-LLLL,68
44873.0,3.7599999951937316e-07,QR,KLL-LLLL,68
45014.0,1.941199995881401e-07,QR,KLL-LLLL,68
45198.0,8.902499978786266e-07,QR,KLL-LLLL,68
45233.0,3.055099990042368e-07,QR,KLL-LLLL,68
38762.0,0.6751036055961125,DR,K-LL,69
40150.0,0.06210815197422317,DR,K-LL,69
40153.0,3.8873918976025705,DR,K-LL,69
40183.0,0.01790524756212561,DR,K-LL,69
40221.0,3.4356852490996426,DR,K-LL,69
40302.0,2.1857999999914e-09,TR,KL-LLL,69
40386.0,0.003501485453175475,TR,KL-LLL,69
40439.0,0.0076501747298943126,TR,KL-LLL,69
40505.0,0.04270173987852072,TR,KL-LLL,69
41577.0,1.84280949315747,DR,K-LL,69
41637.0,1.0186644098913822,DR,K-LL,69
41664.0,0.4186441082570737,DR,K-LL,69
41679.0,8.880499999818786e-09,TR,KL-LLL,69
41768.0,3.7007998580898804e-05,TR,KL-LLL,69
41803.0,8.370899999940659e-09,TR,KL-LLL,69
41820.0,3.333899995775978e-07,TR,KL-LLL,69
41827.0,0.0005013296257051983,TR,KL-LLL,69
41850.0,1.239999971721066e-05,TR,KL-LLL,69
41860.0,1.6693999707756997e-05,TR,KL-LLL,69
41921.0,1.010799999733516e-07,TR,KL-LLL,69
41921.0,1.0205999998715312e-07,TR,KL-LLL,69
41979.0,0.001707789613434826,TR,KL-LLL,69
42061.0,1.8889999529311825e-05,QR,KLL-LLLL,69
42122.0,1.7972999972891013e-06,QR,KLL-LLLL,69
42152.0,0.0001519699408367106,QR,KLL-LLLL,69
43178.0,1.049699999998282e-09,TR,KL-LLL,69
43258.0,0.0001103699849782377,TR,KL-LLL,69
43313.0,0.00020787990992528904,TR,KL-LLL,69
43375.0,0.000787218761798642,TR,KL-LLL,69
43487.0,1.2406999975779203e-06,QR,KLL-LLLL,69
43491.0,2.99669999907807e-07,QR,KLL-LLLL,69
43519.0,5.716199999441198e-08,QR,KLL-LLLL,69
43558.0,9.590699990168504e-07,QR,KLL-LLLL,69
44969.0,1.4335999947276973e-06,QR,KLL-LLLL,69
38373.0,1.2566785542722752,DR,K-LL,70
38409.0,0.0831979480148124,DR,K-LL,70
38509.0,0.28878603195680125,DR,K-LL,70
38659.0,0.09954708660978855,DR,K-LL,70
39811.0,1.160221272029284,DR,K-LL,70
39860.0,0.2924528087837351,DR,K-LL,70
39873.0,0.10301203366523365,DR,K-LL,70
39893.0,2.3008713405624186,DR,K-LL,70
39952.0,0.19482785162224414,DR,K-LL,70
39979.0,2.01961506808879,DR,K-LL,70
40015.0,0.0016638733799650752,DR,K-LL,70
40022.0,1.0593277174474127,DR,K-LL,70
40096.0,0.18305849981293865,DR,K-LL,70
40097.0,1.880503527035549,DR,K-LL,70
40193.0,0.036937260732900046,TR,KL-LLL,70
40243.0,0.007982525611473957,TR,KL-LLL,70
41325.0,1.174194947202726,DR,K-LL,70
41423.0,0.6835469023298665,DR,K-LL,70
41459.0,0.28150483652824,DR,K-LL,70
41496.0,0.3484611070467898,DR,K-LL,70
41545.0,0.7401348063053703,DR,K-LL,70
41592.0,2.298299976831463e-06,TR,KL-LLL,70
41606.0,0.0958025879334909,DR,K-LL,70
41636.0,2.5904999983773954e-07,TR,KL-LLL,70
41679.0,3.632199999975894e-09,TR,KL-LLL,70
41682.0,0.000755847766707769,TR,KL-LLL,70
41718.0,0.0003839971867481156,TR,KL-LLL,70
43085.0,0.00045046922644396454,TR,KL-LLL,70
43133.0,0.00010208997070802731,TR,KL-LLL,70
38078.0,2.4878123814331006,DR,K-LL,71
38132.0,0.011920540516132606,DR,K-LL,71
38135.0,0.40119660124503487,DR,K-LL,71
38293.0,3.184293572797268,DR,K-LL,71
38361.0,0.05825490955890292,DR,K-LL,71
39560.0,0.0,DR,K-LL,71
39645.0,0.24080163853577427,DR,K-LL,71
