DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
32802.0,0.6143659229615821,DR,K-LL,57
32583.0,1.2128694010200975,DR,K-LL,58
32623.0,0.6832419512561116,DR,K-LL,58
33410.0,0.0003552491780055962,TR,KL-LLL,58
33428.0,1.2085996159302872e-05,TR,KL-LLL,58
33707.0,0.00017216982293831202,TR,KL-LLL,58
33820.0,0.00030202836949305364,TR,KL-LLL,58
32370.0,2.2057326729455395,DR,K-LL,59
32422.0,1.306677013991463,DR,K-LL,59
32442.0,0.5408422115940442,DR,K-LL,59
33201.0,0.0005908892556686094,TR,KL-LLL,59
33211.0,4.80509970301838e-05,TR,KL-LLL,59
33232.0,0.00013551996017722117,TR,KL-LLL,59
33260.0,0.0007934891895704304,TR,KL-LLL,59
33428.0,4.675099999975834e-09,TR,KL-LLL,59
33494.0,0.0001865999610063531,TR,KL-LLL,59
33541.0,0.00034172977051568173,TR,KL-LLL,59
33587.0,0.0014694969556354885,TR,KL-LLL,59
34069.0,3.617599995832356e-07,QR,KLL-LLLL,59
34289.0,5.766699990461811e-07,QR,KLL-LLLL,59
34306.0,2.7745999905252212e-06,QR,KLL-LLLL,59
34417.0,8.293699980253435e-07,QR,KLL-LLLL,59
34663.0,3.302899975114954e-06,QR,KLL-LLLL,59
31389.0,2.5071147706408246,DR,K-LL,60
31432.0,2.022706718046719,DR,K-LL,60
32198.0,1.0643825229974992,DR,K-LL,60
32211.0,1.3226206635027247,DR,K-LL,60
32240.0,0.5074820298442545,DR,K-LL,60
32272.0,0.8427099732647545,DR,K-LL,60
32274.0,0.43955569454581805,DR,K-LL,60
32293.0,0.14646234486179446,DR,K-LL,60
32370.0,0.0,TR,KL-LLL,60
32452.0,1.9556999925622615e-06,TR,KL-LLL,60
32481.0,0.00039960930199163357,TR,KL-LLL,60
32514.0,1.7704999910898809e-06,TR,KL-LLL,60
32548.0,3.999099995349642e-07,TR,KL-LLL,60
32598.0,0.00160736858435774,TR,KL-LLL,60
33073.0,0.0001509898922987048,TR,KL-LLL,60
33113.0,0.0006090186828634732,TR,KL-LLL,60
33216.0,1.2055999467634998e-05,TR,KL-LLL,60
33243.0,0.0,TR,KL-LLL,60
33280.0,3.3864996308317795e-05,TR,KL-LLL,60
33309.0,0.00021503990194599436,TR,KL-LLL,60
33337.0,0.00013215985218087566,TR,KL-LLL,60
33344.0,0.0003720795860380539,TR,KL-LLL,60
33393.0,0.0006503176184624184,TR,KL-LLL,60
33398.0,0.0009676373879494746,TR,KL-LLL,60
33577.0,1.030499997187314e-06,QR,KLL-LLLL,60
33618.0,1.0820999969095797e-06,QR,KLL-LLLL,60
34141.0,1.6546999887057256e-06,QR,KLL-LLLL,60
34251.0,5.684799955868198e-07,QR,KLL-LLLL,60
34421.0,3.2759999648349644e-06,QR,KLL-LLLL,60
