DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
20406.0,0.9286281119432961,DR,K-LL,44
20236.0,1.9095256543687573,DR,K-LL,45
20266.0,1.1045752992539697,DR,K-LL,45
20553.0,0.003516377286395919,TR,KL-LLL,45
20555.0,2.7674968417646906e-05,TR,KL-LLL,45
20775.0,0.000634526242396641,TR,KL-LLL,45
20851.0,0.0011370639458672068,TR,KL-LLL,45
20069.0,3.585177022492548,DR,K-LL,46
20108.0,2.218963869584815,DR,K-LL,46
20121.0,0.9802710138906279,DR,K-LL,46
20380.0,0.00560399032478197,TR,KL-LLL,46
20394.0,0.0007994287493206908,TR,KL-LLL,46
20407.0,0.00221898329997302,TR,KL-LLL,46
20424.0,0.007278499819288778,TR,KL-LLL,46
20555.0,5.0983999999554444e-09,TR,KL-LLL,46
20602.0,0.0007205590576353628,TR,KL-LLL,46
20639.0,0.0013016947680056321,TR,KL-LLL,46
20665.0,0.0058067280253954615,TR,KL-LLL,46
20723.0,4.650699897705627e-06,QR,KLL-LLLL,46
20886.0,1.1773999402791665e-05,QR,KLL-LLLL,46
20911.0,5.573099425112664e-05,QR,KLL-LLLL,46
20978.0,7.440099751749309e-06,QR,KLL-LLLL,46
21172.0,2.8316997175134675e-05,QR,KLL-LLLL,46
19629.0,3.5851383704613253,DR,K-LL,47
19663.0,2.9169072519719754,DR,K-LL,47
19921.0,1.9924001559235527,DR,K-LL,47
19938.0,2.16124821984583,DR,K-LL,47
19957.0,0.8397240896093974,DR,K-LL,47
19979.0,1.4604457255696877,DR,K-LL,47
19983.0,0.8393682799723728,DR,K-LL,47
19986.0,0.27949685787896017,DR,K-LL,47
20052.0,0.0,TR,KL-LLL,47
20113.0,1.527599925841189e-05,TR,KL-LLL,47
20134.0,0.001376586245761262,TR,KL-LLL,47
20162.0,4.6341990284152005e-05,TR,KL-LLL,47
20180.0,9.737899959100756e-07,TR,KL-LLL,47
20217.0,0.005060236723651853,TR,KL-LLL,47
20267.0,0.002102469564592714,TR,KL-LLL,47
20296.0,0.005450839844369393,TR,KL-LLL,47
20375.0,6.917497379037403e-05,TR,KL-LLL,47
20403.0,0.0,TR,KL-LLL,47
20422.0,0.000220499751752548,TR,KL-LLL,47
20449.0,0.0006942984444851785,TR,KL-LLL,47
20470.0,0.0007056334272877772,TR,KL-LLL,47
20475.0,0.0019457823134181307,TR,KL-LLL,47
20499.0,0.0025867471480906985,TR,KL-LLL,47
20506.0,0.004438512593876419,TR,KL-LLL,47
20648.0,2.8265999672840277e-06,QR,KLL-LLLL,47
20678.0,4.75059990587609e-06,QR,KLL-LLLL,47
20762.0,3.46859927614763e-05,QR,KLL-LLLL,47
20831.0,6.4348991003123905e-06,QR,KLL-LLLL,47
20971.0,3.385899436257978e-05,QR,KLL-LLLL,47
20973.0,1.1246997418323687e-05,QR,KLL-LLLL,47
19177.0,1.0411560492364125,DR,K-LL,48
19469.0,0.04303092129858714,DR,K-LL,48
19482.0,7.125121498148201,DR,K-LL,48
19500.0,0.03697793522267993,DR,K-LL,48
19517.0,6.118280023807294,DR,K-LL,48
19566.0,6.105899999837057e-09,TR,KL-LLL,48
19626.0,0.0062015106673621485,TR,KL-LLL,48
19658.0,0.014914953055372382,TR,KL-LLL,48
19689.0,0.08516243730483522,TR,KL-LLL,48
19793.0,4.547568246608297,DR,K-LL,48
19833.0,2.4129521236518783,DR,K-LL,48
19848.0,1.243619658219403,DR,K-LL,48
19856.0,8.226199999693958e-09,TR,KL-LLL,48
19918.0,0.0008271685958043881,TR,KL-LLL,48
19945.0,6.799396415277807e-05,TR,KL-LLL,48
19947.0,3.457399999814832e-08,TR,KL-LLL,48
19964.0,0.005340217209946004,TR,KL-LLL,48
19980.0,0.00032781962909493405,TR,KL-LLL,48
19983.0,0.00031247977528587527,TR,KL-LLL,48
19999.0,2.2994997970025175e-05,TR,KL-LLL,48
20006.0,2.3929999985744264e-07,TR,KL-LLL,48
20040.0,0.01161811546273294,TR,KL-LLL,48
20105.0,4.557299945792591e-06,QR,KLL-LLLL,48
20146.0,2.8435998649391976e-05,QR,KLL-LLLL,48
20165.0,0.0008523662748606176,QR,KLL-LLLL,48
20234.0,4.731699999941138e-09,TR,KL-LLL,48
20283.0,0.0011899967847121323,TR,KL-LLL,48
20321.0,0.0024903767916725863,TR,KL-LLL,48
20341.0,0.009868092035058337,TR,KL-LLL,48
20422.0,1.1883999520157757e-05,QR,KLL-LLLL,48
20436.0,3.793199999725737e-08,QR,KLL-LLLL,48
20450.0,3.800799999952524e-09,QR,KLL-LLLL,48
20468.0,3.277199802691936e-05,QR,KLL-LLLL,48
20782.0,6.905197789842437e-05,QR,KLL-LLLL,48
18928.0,1.5865850388861642,DR,K-LL,49
18932.0,0.11748426271461536,DR,K-LL,49
19006.0,0.4270155070432804,DR,K-LL,49
19093.0,0.1565235958058236,DR,K-LL,49
19242.0,1.5823142159416481,DR,K-LL,49
19275.0,0.46310614768598674,DR,K-LL,49
19276.0,0.22400285668797537,DR,K-LL,49
19304.0,3.9318876235326887,DR,K-LL,49
19338.0,0.5208758586460954,DR,K-LL,49
19359.0,3.741358490886352,DR,K-LL,49
19386.0,2.0164614826923057,DR,K-LL,49
19386.0,0.0004661656438775941,DR,K-LL,49
19410.0,0.2610008141288966,DR,K-LL,49
19417.0,3.4653290870377833,DR,K-LL,49
19487.0,0.0705326195832603,TR,KL-LLL,49
19522.0,0.014710817572688314,TR,KL-LLL,49
19618.0,3.2223569000256296,DR,K-LL,49
19681.0,1.6733771561370319,DR,K-LL,49
19706.0,0.7617421669766584,DR,K-LL,49
19732.0,0.6690376237757952,DR,K-LL,49
19744.0,1.7047941828265225,DR,K-LL,49
19780.0,0.0003764984949122995,TR,KL-LLL,49
19783.0,0.26476076459288256,DR,K-LL,49
19817.0,1.2624999926218833e-06,TR,KL-LLL,49
19839.0,6.13499879353658e-05,TR,KL-LLL,49
19852.0,0.00579394759914746,TR,KL-LLL,49
19855.0,0.0030032649660488935,TR,KL-LLL,49
20143.0,0.005740177761425091,TR,KL-LLL,49
20174.0,0.0011046936343782825,TR,KL-LLL,49
18727.0,2.650204514837098,DR,K-LL,50
18757.0,0.0031811802583794698,DR,K-LL,50
18772.0,0.5915514279193883,DR,K-LL,50
18854.0,3.3763231529501767,DR,K-LL,50
18907.0,0.10138565137804054,DR,K-LL,50
19072.0,0.0,DR,K-LL,50
19132.0,0.40747155007980174,DR,K-LL,50
19168.0,1.2715317259174663,DR,K-LL,50
19192.0,4.951422180963901,DR,K-LL,50
19198.0,0.047814839452293804,DR,K-LL,50
19211.0,7.8191349633082945,DR,K-LL,50
19230.0,0.025469260965003557,DR,K-LL,50
19247.0,6.717889579690281,DR,K-LL,50
19536.0,4.901119806805722,DR,K-LL,50
19576.0,2.601700185004594,DR,K-LL,50
19601.0,0.8187251476910291,DR,K-LL,50
