DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
3671.0,0.5693145210189466,DR,K-LL,14
3616.6,0.3402285777860984,DR,K-LL,15
3620.7999999999997,0.13645730936619338,DR,K-LL,15
3624.4,0.015516793503417762,DR,K-LL,15
3634.5,0.12494500934867164,DR,K-LL,15
3707.3,0.0008237158469927873,TR,KL-LLL,15
3729.6,0.0014925704486075289,TR,KL-LLL,15
3544.2,12.2132395886128,DR,K-LL,16
3549.1,2.5677116520931813,TR,KL-LLL,16
3550.7000000000003,2.093323758849911,DR,K-LL,16
3564.7000000000003,3.905724431645461,DR,K-LL,16
3566.2,0.062081085126847874,TR,KL-LLL,16
3571.2000000000003,3.954995812218848,TR,KL-LLL,16
3571.5,1.2181285230941852,TR,KL-LLL,16
3580.9,0.012048148030645,QR,KLL-LLLL,16
3618.7,0.0,TR,KL-LLL,16
3622.5,0.026329140998756342,TR,KL-LLL,16
3625.6,0.006896365554462537,QR,KLL-LLLL,16
3648.2999999999997,0.03514064369799287,TR,KL-LLL,16
3650.6,0.027942671611090264,TR,KL-LLL,16
3664.0,0.022774237379311085,TR,KL-LLL,16
3666.9,0.0048138087214338755,QR,KLL-LLLL,16
3738.8000000000006,0.0005072938735630233,QR,KLL-LLLL,16
3466.6,0.24337079598906855,DR,K-LL,17
3490.2999999999997,7.151926796224268,DR,K-LL,17
3490.5,10.38570102962954,DR,K-LL,17
3491.7,7.601753345863073,DR,K-LL,17
3497.5,0.7987743224744543,DR,K-LL,17
3500.5,1.2888717199357247,DR,K-LL,17
3500.9,5.269813765845642,TR,KL-LLL,17
3502.2999999999997,3.038919849715484,DR,K-LL,17
3509.8,4.9397644832299505,DR,K-LL,17
3517.7000000000003,2.960108863745798,TR,KL-LLL,17
3523.0,0.0,TR,KL-LLL,17
3527.5,1.6051986759331732e-05,TR,KL-LLL,17
3529.7000000000003,0.0003483196461696095,TR,KL-LLL,17
3559.4000000000005,0.012335645243651244,TR,KL-LLL,17
3561.2999999999997,0.015196240160661503,TR,KL-LLL,17
3561.9,0.0,TR,KL-LLL,17
3563.5,0.007606126882477394,TR,KL-LLL,17
3565.2000000000003,0.003929207774679725,TR,KL-LLL,17
3566.0,0.008364856517385829,TR,KL-LLL,17
3579.0999999999995,0.07455636601878529,TR,KL-LLL,17
3583.5,0.000166459111401587,TR,KL-LLL,17
