DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
53862.0,0.35771273441084517,DR,K-LL,73
53581.0,0.6852445546887598,DR,K-LL,74
53634.0,0.36924364759682965,DR,K-LL,74
55813.0,2.5658997106893967e-05,TR,KL-LLL,74
55870.0,3.234899817789538e-06,TR,KL-LLL,74
56216.0,3.605699481232064e-05,TR,KL-LLL,74
56396.0,6.11269553037228e-05,TR,KL-LLL,74
53311.0,1.2555774452951556,DR,K-LL,75
53378.0,0.6904258936209791,DR,K-LL,75
53409.0,0.25114564215853225,DR,K-LL,75
55566.0,1.9759999996591333e-07,TR,KL-LLL,75
55570.0,5.448299635782475e-05,TR,KL-LLL,75
55600.0,2.379899991800245e-06,TR,KL-LLL,75
55655.0,6.473699595440651e-05,TR,KL-LLL,75
55866.0,3.648099999990083e-09,TR,KL-LLL,75
55957.0,4.08719987590558e-05,TR,KL-LLL,75
56018.0,7.153899325998749e-05,TR,KL-LLL,75
56107.0,0.0002822399243258808,TR,KL-LLL,75
57877.0,3.128999999785404e-08,QR,KLL-LLLL,75
58171.0,1.4490999998220126e-07,QR,KLL-LLLL,75
58174.0,3.950399999697059e-08,QR,KLL-LLLL,75
58365.0,1.6520999994676417e-07,QR,KLL-LLLL,75
58669.0,3.4598999981441385e-07,QR,KLL-LLLL,75
50891.0,1.589169901933385,DR,K-LL,76
50945.0,1.4174148090533591,DR,K-LL,76
53128.0,0.7491556716485073,DR,K-LL,76
53128.0,0.552883768726499,DR,K-LL,76
53172.0,0.270299798876043,DR,K-LL,76
53217.0,0.19843931044013616,DR,K-LL,76
53230.0,0.4511521448925315,DR,K-LL,76
53276.0,0.06605157685515964,DR,K-LL,76
53352.0,0.0,TR,KL-LLL,76
53462.0,3.9855999979513374e-07,TR,KL-LLL,76
53502.0,8.574397905376012e-05,TR,KL-LLL,76
53544.0,1.974199999272323e-07,TR,KL-LLL,76
53617.0,1.3767999996318453e-07,TR,KL-LLL,76
53685.0,0.0004727381513831399,TR,KL-LLL,76
