DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
37400.0,0.5381014280636335,DR,K-LL,61
37165.0,1.0529203862399008,DR,K-LL,62
37208.0,0.5872967076168836,DR,K-LL,62
38243.0,0.00018197980677175967,TR,KL-LLL,62
38268.0,8.74009821068253e-06,TR,KL-LLL,62
38565.0,0.00011563992871838443,TR,KL-LLL,62
38692.0,0.00020066935738925981,TR,KL-LLL,62
36938.0,1.9126116832680629,DR,K-LL,63
36994.0,1.1144225066646318,DR,K-LL,63
37016.0,0.4492791955984646,DR,K-LL,63
38024.0,0.00031901981229869893,TR,KL-LLL,63
38031.0,1.8110999621624924e-05,TR,KL-LLL,63
38055.0,5.6370993852950056e-05,TR,KL-LLL,63
38087.0,0.00041559979669749964,TR,KL-LLL,63
38268.0,4.459799999980332e-09,TR,KL-LLL,63
38340.0,0.00012639998409654836,TR,KL-LLL,63
38390.0,0.00022877990816657845,TR,KL-LLL,63
38444.0,0.0009650188241574939,TR,KL-LLL,63
39148.0,1.8553999990122606e-07,QR,KLL-LLLL,63
39386.0,2.640999998205667e-07,QR,KLL-LLLL,63
39400.0,1.1908999984286811e-06,QR,KLL-LLLL,63
39529.0,4.831399994001345e-07,QR,KLL-LLLL,63
39790.0,1.7590999936758674e-06,QR,KLL-LLLL,63
35698.0,2.2360182328022598,DR,K-LL,64
35744.0,1.8361958858231646,DR,K-LL,64
36761.0,0.8983881998776438,DR,K-LL,64
36772.0,1.1453324109056773,DR,K-LL,64
36804.0,0.4343089512035516,DR,K-LL,64
36841.0,0.7184479143744082,DR,K-LL,64
36841.0,0.3617175740922232,DR,K-LL,64
36867.0,0.12051224802598838,DR,K-LL,64
36946.0,0.0,TR,KL-LLL,64
37035.0,1.1653999976519752e-06,TR,KL-LLL,64
37067.0,0.00027010971780349637,TR,KL-LLL,64
37102.0,7.235599986780785e-07,TR,KL-LLL,64
37143.0,3.0464999975840727e-07,TR,KL-LLL,64
37197.0,0.0011576853557304563,TR,KL-LLL,64
37894.0,6.753398055018576e-05,TR,KL-LLL,64
37938.0,0.00032516966342127976,TR,KL-LLL,64
38049.0,7.320799824806593e-06,TR,KL-LLL,64
38074.0,0.0,TR,KL-LLL,64
38118.0,2.045099880378078e-05,TR,KL-LLL,64
38147.0,0.00015047995670747504,TR,KL-LLL,64
38177.0,8.342694732255503e-05,TR,KL-LLL,64
38185.0,0.00023629985044020416,TR,KL-LLL,64
38246.0,0.0004244290812318639,TR,KL-LLL,64
38249.0,0.0006162490588283194,TR,KL-LLL,64
38440.0,7.174399987797677e-07,QR,KLL-LLLL,64
38484.0,6.209999990925432e-07,QR,KLL-LLLL,64
39235.0,7.026799981572592e-07,QR,KLL-LLLL,64
39361.0,3.1713999877742837e-07,QR,KLL-LLLL,64
39538.0,1.6800999916746606e-06,QR,KLL-LLLL,64
39564.0,5.747399960979899e-07,QR,KLL-LLLL,64
34420.0,0.7272149914273421,DR,K-LL,65
35491.0,0.025664554073016373,DR,K-LL,65
35497.0,4.362409936434556,DR,K-LL,65
35524.0,0.018313125604960193,DR,K-LL,65
35556.0,3.815609988682388,DR,K-LL,65
35633.0,2.7175999999849426e-09,TR,KL-LLL,65
35711.0,0.0039776791388909894,TR,KL-LLL,65
35760.0,0.008753415348055056,TR,KL-LLL,65
35817.0,0.04865330946329107,TR,KL-LLL,65
36599.0,2.1533619047603887,DR,K-LL,65
36655.0,1.1972057991066534,DR,K-LL,65
36679.0,0.5124052254528504,DR,K-LL,65
36692.0,1.0066999999735875e-08,TR,KL-LLL,65
36777.0,6.035399579957505e-05,TR,KL-LLL,65
36811.0,1.3292999999836343e-08,TR,KL-LLL,65
36823.0,1.1728999994144171e-07,TR,KL-LLL,65
36834.0,0.0007669590267387011,TR,KL-LLL,65
36855.0,2.25009989673595e-05,TR,KL-LLL,65
36864.0,2.590199920983004e-05,TR,KL-LLL,65
36912.0,2.88279999765413e-07,TR,KL-LLL,65
36915.0,1.232199999789851e-07,TR,KL-LLL,65
36967.0,0.0023721779058066437,TR,KL-LLL,65
37048.0,1.008599985081903e-05,QR,KLL-LLLL,65
37104.0,3.079399999911404e-08,QR,KLL-LLLL,65
37133.0,0.0001907898962141103,QR,KLL-LLLL,65
37869.0,1.4192999999965648e-09,TR,KL-LLL,65
37943.0,0.00016798996162708114,TR,KL-LLL,65
37994.0,0.00031984976528361505,TR,KL-LLL,65
38046.0,0.0012331965873205698,TR,KL-LLL,65
38154.0,2.066499992275407e-06,QR,KLL-LLLL,65
38160.0,3.493199998617034e-07,QR,KLL-LLLL,65
38185.0,1.2058999997242513e-07,QR,KLL-LLLL,65
38218.0,2.059599995109039e-06,QR,KLL-LLLL,65
39312.0,2.7826999781440953e-06,QR,KLL-LLLL,65
34061.0,1.2724135861722614,DR,K-LL,66
34088.0,0.07842487034874368,DR,K-LL,66
34185.0,0.31134456438439384,DR,K-LL,66
34320.0,0.10787246264294333,DR,K-LL,66
35174.0,1.2431952458603717,DR,K-LL,66
35220.0,0.3167983621934589,DR,K-LL,66
35230.0,0.12460167590883985,DR,K-LL,66
35254.0,2.568302088885901,DR,K-LL,66
35306.0,0.23722304049625834,DR,K-LL,66
35332.0,2.2366122865468587,DR,K-LL,66
35367.0,0.001121186460974845,DR,K-LL,66
35372.0,1.1548001309046474,DR,K-LL,66
35433.0,0.20220253399386817,DR,K-LL,66
35436.0,2.0921636414626263,DR,K-LL,66
35529.0,0.04132194847387991,TR,KL-LLL,66
35575.0,0.008795963806802913,TR,KL-LLL,66
36361.0,1.38877291434862,DR,K-LL,66
36452.0,0.8033754209996321,DR,K-LL,66
36486.0,0.3408531356734443,DR,K-LL,66
36521.0,0.40124408083268176,DR,K-LL,66
36560.0,0.861766080025773,DR,K-LL,66
36606.0,6.3539997904233e-06,TR,KL-LLL,66
36616.0,0.116195120624049,DR,K-LL,66
36650.0,2.5568999982456876e-07,TR,KL-LLL,66
36687.0,1.4607999995780505e-07,TR,KL-LLL,66
36693.0,0.0010689950442613267,TR,KL-LLL,66
36720.0,0.0005457036771364085,TR,KL-LLL,66
37774.0,0.0007079978986957834,TR,KL-LLL,66
37819.0,0.00015649992390993954,TR,KL-LLL,66
33784.0,2.5118512813569365,DR,K-LL,67
33833.0,0.005360513965623336,DR,K-LL,67
33841.0,0.43988236142217224,DR,K-LL,67
33979.0,3.1538123517320633,DR,K-LL,67
34046.0,0.06635405883403292,DR,K-LL,67
34939.0,0.0,DR,K-LL,67
35019.0,0.26746067240543603,DR,K-LL,67
35070.0,0.6576359956464596,DR,K-LL,67
35124.0,3.073342715756877,DR,K-LL,67
35129.0,0.02795302558965015,DR,K-LL,67
35134.0,4.694803240224543,DR,K-LL,67
35162.0,0.017944188953534168,DR,K-LL,67
35195.0,4.11143863920878,DR,K-LL,67
36269.0,2.285954085872617,DR,K-LL,67
36327.0,1.2694306110251123,DR,K-LL,67
36357.0,0.40204152075248684,DR,K-LL,67
