DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
73296.0,0.24088339569909675,DR,K-LL,84
72973.0,0.4541355188881212,DR,K-LL,85
73034.0,0.2351285252293579,DR,K-LL,85
77066.0,4.575999925068329e-06,TR,KL-LLL,85
77171.0,1.2962999764293372e-06,TR,KL-LLL,85
77544.0,1.2808999467602109e-05,TR,KL-LLL,85
77792.0,2.1264995594670546e-05,TR,KL-LLL,85
72663.0,0.8477551786829184,DR,K-LL,86
72740.0,0.4365025927240354,DR,K-LL,86
72780.0,0.13733760671511783,DR,K-LL,86
76791.0,3.1319999992995596e-07,TR,KL-LLL,86
76806.0,1.0824999895362604e-05,TR,KL-LLL,86
76836.0,9.114199999902226e-09,TR,KL-LLL,86
76927.0,1.3580999840590443e-05,TR,KL-LLL,86
77147.0,2.7681999999953285e-09,TR,KL-LLL,86
77256.0,1.4930999864948694e-05,TR,KL-LLL,86
77328.0,2.5913999278716073e-05,TR,KL-LLL,86
77468.0,9.491299302835687e-05,TR,KL-LLL,86
81022.0,7.448199999900027e-09,QR,KLL-LLLL,86
81340.0,2.144399999967776e-08,QR,KLL-LLLL,86
81369.0,1.0419999999828115e-08,QR,KLL-LLLL,86
81622.0,6.00199999941941e-08,QR,KLL-LLLL,86
81945.0,1.051599999858565e-07,QR,KLL-LLLL,86
68362.0,1.1618215249805137,DR,K-LL,87
68425.0,1.149002713614922,DR,K-LL,87
72478.0,0.504429301876715,DR,K-LL,87
72491.0,0.35270653879344266,DR,K-LL,87
72534.0,0.17097158304544,DR,K-LL,87
72588.0,0.10745905087870172,DR,K-LL,87
72627.0,0.2956683322615512,DR,K-LL,87
72695.0,0.03571459360942064,DR,K-LL,87
72744.0,0.0,TR,KL-LLL,87
72875.0,2.2750999994573378e-07,TR,KL-LLL,87
72924.0,3.111799777910794e-05,TR,KL-LLL,87
72972.0,1.7141999995587282e-07,TR,KL-LLL,87
73092.0,6.736199999290804e-08,TR,KL-LLL,87
73176.0,0.0002336096316200314,TR,KL-LLL,87
76735.0,4.3411999950118153e-07,TR,KL-LLL,87
76797.0,1.1616999737241212e-05,TR,KL-LLL,87
76942.0,0.0,TR,KL-LLL,87
76950.0,1.9450999993098626e-07,TR,KL-LLL,87
77039.0,2.462199989640196e-06,TR,KL-LLL,87
77069.0,2.0225999480408688e-05,TR,KL-LLL,87
77106.0,8.181799688280239e-06,TR,KL-LLL,87
77129.0,2.187799920857099e-05,TR,KL-LLL,87
77288.0,5.391599569037346e-05,TR,KL-LLL,87
77303.0,4.13599944654214e-05,TR,KL-LLL,87
77517.0,8.898799998837326e-08,QR,KLL-LLLL,87
77579.0,1.076899999983343e-08,QR,KLL-LLLL,87
81260.0,1.133399999969457e-08,QR,KLL-LLLL,87
81510.0,3.524799999082966e-08,QR,KLL-LLLL,87
81686.0,8.050099998790759e-08,QR,KLL-LLLL,87
81792.0,2.711799999463826e-08,QR,KLL-LLLL,87
63944.0,0.515375953195843,DR,K-LL,88
68085.0,2.2608157515380416,DR,K-LL,88
68101.0,0.35303914879645004,DR,K-LL,88
68132.0,0.020037377393007236,DR,K-LL,88
68224.0,2.0074936632048814,DR,K-LL,88
68296.0,8.10349999999243e-10,TR,KL-LLL,88
68408.0,0.001791597452364286,TR,KL-LLL,88
68481.0,0.004318274399513629,TR,KL-LLL,88
68623.0,0.025445228720274767,TR,KL-LLL,88
72328.0,0.900622778297409,DR,K-LL,88
72407.0,0.4620509049703042,DR,K-LL,88
72448.0,0.14854161168772123,DR,K-LL,88
72455.0,4.976699999968151e-09,TR,KL-LLL,88
72563.0,6.116299974153802e-06,TR,KL-LLL,88
72602.0,4.5134999999987153e-10,TR,KL-LLL,88
72624.0,7.583899425312983e-05,TR,KL-LLL,88
72656.0,7.0083998822906965e-06,TR,KL-LLL,88
72659.0,3.220199998707162e-07,TR,KL-LLL,88
72683.0,2.83689999452865e-06,TR,KL-LLL,88
72820.0,3.7216999998901254e-08,TR,KL-LLL,88
72840.0,1.0948999999775421e-08,TR,KL-LLL,88
72911.0,0.0004459395104132328,TR,KL-LLL,88
72970.0,0.0001528399791798162,QR,KLL-LLLL,88
73048.0,7.280599703005901e-05,QR,KLL-LLLL,88
73093.0,9.952798298651486e-05,QR,KLL-LLLL,88
76767.0,2.6661999999992266e-10,TR,KL-LLL,88
76877.0,1.6779999760979966e-05,TR,KL-LLL,88
76950.0,3.124499859824953e-05,TR,KL-LLL,88
77091.0,0.00010875998473685061,TR,KL-LLL,88
77172.0,9.173099999404363e-08,QR,KLL-LLLL,88
77187.0,6.11139999967016e-08,QR,KLL-LLLL,88
77218.0,9.91149999998858e-10,QR,KLL-LLLL,88
77310.0,7.681299999949713e-09,QR,KLL-LLLL,88
81498.0,1.0522999998024646e-07,QR,KLL-LLLL,88
63398.0,1.4348882427279441,DR,K-LL,89
63506.0,0.23861488816143545,DR,K-LL,89
63587.0,0.21032235309556502,DR,K-LL,89
63843.0,0.07141895733290719,DR,K-LL,89
67672.0,0.8255024219382401,DR,K-LL,89
67736.0,1.3568484913516337,DR,K-LL,89
67736.0,0.2143374109198076,DR,K-LL,89
67745.0,0.049838025974762834,DR,K-LL,89
67838.0,0.055861790954734966,DR,K-LL,89
67866.0,1.2896380951926294,DR,K-LL,89
67907.0,0.0040534976288975275,DR,K-LL,89
67928.0,0.7813638526307742,DR,K-LL,89
68088.0,1.1836113266018036,DR,K-LL,89
68104.0,0.1142573258934274,DR,K-LL,89
68175.0,0.02586913701400897,TR,KL-LLL,89
68239.0,0.006260829358542693,TR,KL-LLL,89
72009.0,0.5561250973129932,DR,K-LL,89
72142.0,0.31729160643741705,DR,K-LL,89
72193.0,0.10240688999184128,DR,K-LL,89
72241.0,0.16711154603715,DR,K-LL,89
72362.0,0.3595631993505901,DR,K-LL,89
72373.0,1.5474999999501347e-08,TR,KL-LLL,89
72417.0,1.4470999996599912e-07,TR,KL-LLL,89
72447.0,0.03471362560408645,DR,K-LL,89
72475.0,0.0001876999071139176,TR,KL-LLL,89
72511.0,4.379799999717195e-08,TR,KL-LLL,89
72584.0,9.226189279482311e-05,TR,KL-LLL,89
76714.0,6.132399013549472e-05,TR,KL-LLL,89
76777.0,1.5652999531007155e-05,TR,KL-LLL,89
63025.0,2.6490225383204047,DR,K-LL,90
63059.0,0.24003533076311936,DR,K-LL,90
63094.0,0.10212305858539648,DR,K-LL,90
63352.0,3.8327504484444157,DR,K-LL,90
63393.0,0.016340123365654064,DR,K-LL,90
67337.0,0.0,DR,K-LL,90
67451.0,0.13637356990660254,DR,K-LL,90
67525.0,0.3560306751539188,DR,K-LL,90
67597.0,2.4102290370171957,DR,K-LL,90
67613.0,0.3788230439906162,DR,K-LL,90
67645.0,0.02149830085359948,DR,K-LL,90
67668.0,1.8381879044585823,DR,K-LL,90
67739.0,2.1457151862449684,DR,K-LL,90
71937.0,0.9513632210789529,DR,K-LL,90
72018.0,0.48693597467508687,DR,K-LL,90
72064.0,0.12579148589529834,DR,K-LL,90
