DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
43741.0,0.45487379158406693,DR,K-LL,66
43487.0,0.8815042063399483,DR,K-LL,67
43534.0,0.4851560136288764,DR,K-LL,67
44962.0,7.986996719529002e-05,TR,KL-LLL,67
44998.0,5.78269931365406e-06,TR,KL-LLL,67
45317.0,7.077897654087783e-05,TR,KL-LLL,67
45463.0,0.00012163979245230196,TR,KL-LLL,67
43242.0,1.6040846009894898,DR,K-LL,68
43302.0,0.913848207704145,DR,K-LL,68
43328.0,0.35471356158436385,DR,K-LL,68
44732.0,0.000151709964384482,TR,KL-LLL,68
44735.0,4.39079998035963e-06,TR,KL-LLL,68
44763.0,1.7304999491140655e-05,TR,KL-LLL,68
44803.0,0.00018869996187067373,TR,KL-LLL,68
44998.0,4.148199999985011e-09,TR,KL-LLL,68
45077.0,7.835899464393571e-05,TR,KL-LLL,68
45132.0,0.00014002996974581664,TR,KL-LLL,68
45199.0,0.0005740496334317644,TR,KL-LLL,68
46263.0,8.528399998148498e-08,QR,KLL-LLLL,68
46526.0,1.0883999997311065e-07,QR,KLL-LLLL,68
46534.0,4.569599997947709e-07,QR,KLL-LLLL,68
46687.0,2.642999998414845e-07,QR,KLL-LLLL,68
46967.0,8.306899987546096e-07,QR,KLL-LLLL,68
41594.0,1.9386730996746375,DR,K-LL,69
41643.0,1.6401036806471816,DR,K-LL,69
43061.0,0.7321333227283284,DR,K-LL,69
43067.0,0.9590227591596366,DR,K-LL,69
43104.0,0.3570911304021351,DR,K-LL,69
43145.0,0.28295728840838064,DR,K-LL,69
43148.0,0.5907558413718512,DR,K-LL,69
43183.0,0.09424217028385205,DR,K-LL,69
43262.0,0.0,TR,KL-LLL,69
43359.0,6.986999992602712e-07,TR,KL-LLL,69
43395.0,0.00016773990515497552,TR,KL-LLL,69
43432.0,3.1674999977863935e-07,TR,KL-LLL,69
43485.0,2.1796999989131579e-07,TR,KL-LLL,69
43545.0,0.0007839740653750059,TR,KL-LLL,69
44604.0,2.4111997799695177e-05,TR,KL-LLL,69
44651.0,0.00015182993529741523,TR,KL-LLL,69
44775.0,3.853399957628488e-06,TR,KL-LLL,69
44795.0,0.0,TR,KL-LLL,69
44848.0,1.1445999672471443e-05,TR,KL-LLL,69
44878.0,9.690798399824366e-05,TR,KL-LLL,69
44910.0,4.826198447014212e-05,TR,KL-LLL,69
44920.0,0.00013712995556441993,TR,KL-LLL,69
44997.0,0.00025116971341867617,TR,KL-LLL,69
44998.0,0.0003550297269373911,TR,KL-LLL,69
45202.0,4.504799995758345e-07,QR,KLL-LLLL,69
45250.0,2.928699998227427e-07,QR,KLL-LLLL,69
46374.0,3.0930999968192114e-07,QR,KLL-LLLL,69
46520.0,1.7170999968575344e-07,QR,KLL-LLLL,69
46705.0,7.637499984741859e-07,QR,KLL-LLLL,69
46742.0,2.709699992353683e-07,QR,KLL-LLLL,69
39896.0,0.6631919331644398,DR,K-LL,70
41374.0,0.07347607711227296,DR,K-LL,70
41376.0,3.77743478129103,DR,K-LL,70
41407.0,0.01788426803206076,DR,K-LL,70
41447.0,3.3460659514952553,DR,K-LL,70
41529.0,2.0696999999925103e-09,TR,KL-LLL,70
