DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
22081.0,0.8739396599624851,DR,K-LL,46
21903.0,1.7834475295998296,DR,K-LL,47
21934.0,1.0279796905054985,DR,K-LL,47
22275.0,0.002434545251352378,TR,KL-LLL,47
22278.0,2.5667974867474513e-05,TR,KL-LLL,47
22508.0,0.0005199376651183227,TR,KL-LLL,47
22588.0,0.0009288177304953206,TR,KL-LLL,47
21729.0,3.3172494183374237,DR,K-LL,48
21770.0,2.041730681464659,DR,K-LL,48
21784.0,0.8949030701215736,DR,K-LL,48
22096.0,0.0038289526449873223,TR,KL-LLL,48
22110.0,0.0005278794925989302,TR,KL-LLL,48
22124.0,0.0014328935562838102,TR,KL-LLL,48
22142.0,0.005102054066109625,TR,KL-LLL,48
22279.0,5.065999999959237e-09,TR,KL-LLL,48
22328.0,0.0005788794423155557,TR,KL-LLL,48
22367.0,0.0010586968053038501,TR,KL-LLL,48
22396.0,0.004711055802342567,TR,KL-LLL,48
22496.0,2.9961999602900068e-06,QR,KLL-LLLL,48
22667.0,7.019699801562447e-06,QR,KLL-LLLL,48
22691.0,3.400299800575741e-05,QR,KLL-LLLL,48
22764.0,4.911599900015414e-06,QR,KLL-LLLL,48
22966.0,2.0298998654379994e-05,QR,KLL-LLLL,48
21229.0,3.4065067864581384,DR,K-LL,49
21265.0,2.7404473284778668,DR,K-LL,49
21577.0,1.7890377739744316,DR,K-LL,49
21594.0,1.9979313316988159,DR,K-LL,49
21614.0,0.777495466001854,DR,K-LL,49
21637.0,1.3362325601960652,DR,K-LL,49
21642.0,0.7577970278720728,DR,K-LL,49
21646.0,0.2523805503226482,DR,K-LL,49
21714.0,0.0,TR,KL-LLL,49
21779.0,1.0791999661934745e-05,TR,KL-LLL,49
21800.0,0.001150591241772751,TR,KL-LLL,49
21829.0,2.8008996726172843e-05,TR,KL-LLL,49
21849.0,8.660199969597522e-07,TR,KL-LLL,49
21888.0,0.004220098271463526,TR,KL-LLL,49
21979.0,0.0013853875823853674,TR,KL-LLL,49
22011.0,0.003814826933335117,TR,KL-LLL,49
22092.0,5.1623986320206603e-05,TR,KL-LLL,49
22121.0,0.0,TR,KL-LLL,49
22143.0,0.00016147987702264712,TR,KL-LLL,49
22170.0,0.0005809289892428576,TR,KL-LLL,49
22192.0,0.0005326565380085982,TR,KL-LLL,49
22198.0,0.001473190651102605,TR,KL-LLL,49
22224.0,0.002109466572609528,TR,KL-LLL,49
22231.0,0.003496949939132651,TR,KL-LLL,49
22379.0,2.455299977115372e-06,QR,KLL-LLLL,49
22411.0,3.923099940786149e-06,QR,KLL-LLLL,49
22538.0,2.0997997511300257e-05,QR,KLL-LLLL,49
22613.0,4.204299646030788e-06,QR,KLL-LLLL,49
22758.0,2.3369997494413738e-05,QR,KLL-LLLL,49
22762.0,7.767198858547207e-06,QR,KLL-LLLL,49
20716.0,0.9963920003978112,DR,K-LL,50
21064.0,0.028119592845254827,DR,K-LL,50
21077.0,6.738894529389985,DR,K-LL,50
21096.0,0.03163086324914721,DR,K-LL,50
21113.0,5.755050298359601,DR,K-LL,50
21166.0,5.6873999998746276e-09,TR,KL-LLL,50
21228.0,0.005954123921587194,TR,KL-LLL,50
21262.0,0.01413614750663494,TR,KL-LLL,50
21295.0,0.08002342432970425,TR,KL-LLL,50
21445.0,4.118793992349599,DR,K-LL,50
21486.0,2.2171711480013077,DR,K-LL,50
21502.0,1.1141174162363505,DR,K-LL,50
21510.0,8.099199999721633e-09,TR,KL-LLL,50
21575.0,0.0005748493749024232,TR,KL-LLL,50
21604.0,4.801698355012129e-05,TR,KL-LLL,50
21605.0,3.042099999867011e-08,TR,KL-LLL,50
21623.0,0.004212652367443497,TR,KL-LLL,50
21639.0,0.0002369698191608219,TR,KL-LLL,50
