DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
38613.0,0.5204299192213104,DR,K-LL,62
38375.0,1.0162076114887388,DR,K-LL,63
38419.0,0.5653959414944494,DR,K-LL,63
39524.0,0.0001541998648572112,TR,KL-LLL,63
39551.0,8.05059852301165e-06,TR,KL-LLL,63
39853.0,0.00010475994305663387,TR,KL-LLL,63
39983.0,0.0001814494885675219,TR,KL-LLL,63
38145.0,1.8462177059927245,DR,K-LL,64
38201.0,1.0711424314548657,DR,K-LL,64
38224.0,0.4287357389390968,DR,K-LL,64
39303.0,0.0002743698660271374,TR,KL-LLL,64
39309.0,1.3948999781276625e-05,TR,KL-LLL,64
39334.0,4.4920996200548143e-05,TR,KL-LLL,64
39367.0,0.0003542998552381921,TR,KL-LLL,64
39551.0,4.400999999981347e-09,TR,KL-LLL,64
39624.0,0.00011482998723316321,TR,KL-LLL,64
39675.0,0.0002071799266883464,TR,KL-LLL,64
39732.0,0.0008696590698543651,TR,KL-LLL,64
40500.0,1.5807999993004932e-07,QR,KLL-LLLL,64
40743.0,2.1945999987928283e-07,QR,KLL-LLLL,64
40756.0,1.0156999988851385e-06,QR,KLL-LLLL,64
40889.0,4.256199995464323e-07,QR,KLL-LLLL,64
41154.0,1.5086999954673315e-06,QR,KLL-LLLL,64
36831.0,2.1730990202930953,DR,K-LL,65
36877.0,1.7939581691784028,DR,K-LL,65
37966.0,0.8619194880985881,DR,K-LL,65
37976.0,1.1051326198235982,DR,K-LL,65
38009.0,0.41769104329069806,DR,K-LL,65
38047.0,0.34447594212830357,DR,K-LL,65
38047.0,0.6906583649053177,DR,K-LL,65
38075.0,0.11475979118405523,DR,K-LL,65
38154.0,0.0,TR,KL-LLL,65
38245.0,1.042399998172659e-06,TR,KL-LLL,65
38277.0,0.0002450397743370032,TR,KL-LLL,65
38313.0,5.911499991420713e-07,TR,KL-LLL,65
38356.0,2.8470999979453385e-07,TR,KL-LLL,65
38412.0,0.0010688878312692797,TR,KL-LLL,65
39173.0,5.509798736865773e-05,TR,KL-LLL,65
39217.0,0.00027871975908773085,TR,KL-LLL,65
39331.0,6.462499867212717e-06,TR,KL-LLL,65
39355.0,0.0,TR,KL-LLL,65
39400.0,1.8126999086243107e-05,TR,KL-LLL,65
39430.0,0.00013765996463486641,TR,KL-LLL,65
39461.0,7.472795883564347e-05,TR,KL-LLL,65
39469.0,0.00021153988323035334,TR,KL-LLL,65
39532.0,0.0003818292739809062,TR,KL-LLL,65
39535.0,0.0005512792676610049,TR,KL-LLL,65
39729.0,6.541999990117091e-07,QR,KLL-LLLL,65
39774.0,5.372299993390214e-07,QR,KLL-LLLL,65
40591.0,5.697499988172331e-07,QR,KLL-LLLL,65
40721.0,2.7675999909414384e-07,QR,KLL-LLLL,65
40900.0,1.4288999941266843e-06,QR,KLL-LLLL,65
