DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
6725.6,1.1914625187392462,DR,K-LL,22
6639.8,1.9595711971567809,DR,K-LL,23
6651.099999999999,1.0108596296086212,DR,K-LL,23
6669.9,0.0052754776398532335,TR,KL-LLL,23
6678.7,0.20268214313408325,TR,KL-LLL,23
6789.1,0.002589591440704646,TR,KL-LLL,23
6822.9,0.004727731965926456,TR,KL-LLL,23
6543.7,9.18547803821027,DR,K-LL,24
6559.8,3.9975956249734814,DR,K-LL,24
6562.5,2.0725321896433964,DR,K-LL,24
6579.3,1.7768508734686452,TR,KL-LLL,24
6588.2,0.04850940642988371,TR,KL-LLL,24
6593.2,0.4511523336265875,TR,KL-LLL,24
6598.099999999999,0.6496348018616148,TR,KL-LLL,24
6625.8,0.0024880219420652014,QR,KLL-LLLL,24
6666.9,4.170999999902751e-09,TR,KL-LLL,24
6679.400000000001,0.010286170583309853,TR,KL-LLL,24
6691.400000000001,0.005295763360105269,QR,KLL-LLLL,24
6714.199999999999,0.029773561258567383,TR,KL-LLL,24
6720.7,0.007679885492387231,TR,KL-LLL,24
6739.300000000001,0.012414991099141817,QR,KLL-LLLL,24
6751.900000000001,0.0008609878557174118,QR,KLL-LLLL,24
6857.2,0.0005363066860966073,QR,KLL-LLLL,24
6427.7,1.8624747704495401,DR,K-LL,25
6454.599999999999,6.891823737747209,DR,K-LL,25
6462.3,9.520812705233572,DR,K-LL,25
6469.9,5.6292584331778155,DR,K-LL,25
6478.0,1.426786427622302,DR,K-LL,25
6485.1,0.9241433072246205,DR,K-LL,25
6486.900000000001,4.51460305903305,DR,K-LL,25
6489.0,2.599637178158937,DR,K-LL,25
6508.3,0.5801374114086856,TR,KL-LLL,25
6519.4,0.0,TR,KL-LLL,25
6521.599999999999,0.5753061115242738,TR,KL-LLL,25
6535.800000000001,7.744086360615386e-05,TR,KL-LLL,25
6541.800000000001,0.001441619648460663,TR,KL-LLL,25
6573.199999999999,0.0023229585653407815,TR,KL-LLL,25
6576.199999999999,0.0037613802129420493,TR,KL-LLL,25
6585.2,0.0,TR,KL-LLL,25
6585.599999999999,0.0031672759541470853,TR,KL-LLL,25
6592.099999999999,0.0030745632835614176,TR,KL-LLL,25
6592.7,0.012981070677699425,TR,KL-LLL,25
6610.199999999999,0.0018028553871428448,TR,KL-LLL,25
6611.900000000001,0.04172371181009507,TR,KL-LLL,25
6621.4,0.036513775282231396,TR,KL-LLL,25
6626.800000000001,0.05745485197475614,TR,KL-LLL,25
6628.5,0.016022684221310136,TR,KL-LLL,25
6649.0,0.009396180881070497,QR,KLL-LLLL,25
6664.7,0.002364485381690785,QR,KLL-LLLL,25
6704.100000000001,2.3713999255227857e-06,QR,KLL-LLLL,25
6715.8,0.0002339090613040884,QR,KLL-LLLL,25
6735.0,0.0005686086262128775,QR,KLL-LLLL,25
6744.5,0.0014828723157353273,QR,KLL-LLLL,25
6326.8,1.0426351136182843,DR,K-LL,26
6345.8,0.17020828646811254,DR,K-LL,26
6354.2,6.352990621520329,DR,K-LL,26
6371.5,0.7120297279254477,DR,K-LL,26
6372.6,0.0,TR,KL-LLL,26
6374.3,14.928383421095027,DR,K-LL,26
6387.9,19.51111801121481,DR,K-LL,26
6404.9,5.818486199997703,DR,K-LL,26
6411.6,4.881868358215855,DR,K-LL,26
6424.300000000001,0.004753497066498827,TR,KL-LLL,26
6429.3,2.655899999928158e-09,TR,KL-LLL,26
6429.900000000001,0.009803256654967153,TR,KL-LLL,26
6439.5,0.023508220635202998,TR,KL-LLL,26
6457.2,5.0272926566836334e-05,TR,KL-LLL,26
6457.900000000001,0.02101852566041864,TR,KL-LLL,26
6459.6,1.7675999997640245e-08,TR,KL-LLL,26
6473.400000000001,0.0931909220523294,TR,KL-LLL,26
6485.0,2.5987999970832793e-07,TR,KL-LLL,26
6485.699999999999,0.029672137838625573,TR,KL-LLL,26
6491.699999999999,0.0001408998512254237,TR,KL-LLL,26
6493.400000000001,0.000329828942424976,TR,KL-LLL,26
6503.4,3.50719999899003e-08,TR,KL-LLL,26
6510.900000000001,0.12215400158240716,TR,KL-LLL,26
6516.6,0.016173175565760867,TR,KL-LLL,26
6533.7,0.22699210787313,TR,KL-LLL,26
6537.2,0.051076647137868386,TR,KL-LLL,26
6544.100000000001,0.00019676962600781247,QR,KLL-LLLL,26
6560.900000000001,2.791399225970515e-05,QR,KLL-LLLL,26
6566.1,0.0038949965119097455,QR,KLL-LLLL,26
6581.099999999999,1.590699840511874e-05,QR,KLL-LLLL,26
6590.0,0.0003822091965007568,QR,KLL-LLLL,26
6598.3,0.0023091528599543266,QR,KLL-LLLL,26
6600.5,0.00041173911814202497,QR,KLL-LLLL,26
6638.4,0.006973948290308982,QR,KLL-LLLL,26
6195.0,0.20934624039200678,DR,K-LL,27
6197.6,2.693841362391859,DR,K-LL,27
6220.0,0.23087976584379932,DR,K-LL,27
6223.3,1.4238985495390735,DR,K-LL,27
6235.5,0.1347529646182741,DR,K-LL,27
6243.5,0.5604049457307189,DR,K-LL,27
6246.2,1.6270321649705066,DR,K-LL,27
6273.3,0.1411389515447562,DR,K-LL,27
6282.600000000001,2.2286494300389226,DR,K-LL,27
6287.0,9.99147547451844,DR,K-LL,27
6294.8,6.058825826111436,DR,K-LL,27
6297.4,14.501241830430086,DR,K-LL,27
6306.2,5.478621946844802,DR,K-LL,27
6310.6,0.08313122533877579,DR,K-LL,27
6311.2,1.0384008559742504,DR,K-LL,27
6328.3,7.26896662605848,DR,K-LL,27
6337.0,1.9017812048626588,DR,K-LL,27
6337.4,0.06859388921416774,TR,KL-LLL,27
6347.8,4.1430238488464255,DR,K-LL,27
6356.7,0.41714218970726546,DR,K-LL,27
6367.7,0.03507080648694539,TR,KL-LLL,27
6368.7,0.9342695003819135,DR,K-LL,27
6374.100000000001,0.05493670187677738,TR,KL-LLL,27
6389.0,0.0037969166781368266,TR,KL-LLL,27
6399.399999999999,0.032329514895687854,TR,KL-LLL,27
6405.8,0.0384710055349599,TR,KL-LLL,27
6409.099999999999,0.08541271184046577,TR,KL-LLL,27
6426.100000000001,0.11013095878827409,TR,KL-LLL,27
6442.6,0.009551428288624866,TR,KL-LLL,27
6088.9,2.181986347153339,DR,K-LL,28
6102.8,0.012984118443267788,DR,K-LL,28
6108.8,0.27391578955353935,DR,K-LL,28
6131.1,0.0,DR,K-LL,28
6152.4,3.9808919650089245,DR,K-LL,28
6171.1,0.19478585908180715,DR,K-LL,28
6175.0,0.04848246188799633,DR,K-LL,28
6188.0,5.237292255518044,DR,K-LL,28
6192.4,0.20649074005572046,DR,K-LL,28
6193.1,0.34786812800801087,DR,K-LL,28
6201.3,7.427358145906888,DR,K-LL,28
6221.0,0.11427759246506708,DR,K-LL,28
6222.5,17.276677322068842,DR,K-LL,28
6237.3,21.88501625844672,DR,K-LL,28
6255.7,6.6299585563823324,DR,K-LL,28
6276.8,2.0390780296252857,DR,K-LL,28
